"accuracy","macroPrecision","macroRecall","macroF1","kappa","kappa_w","data","class_method","inconsistency","disc_method","NB_interval","exe_time","iter","modif_nb_inter","name","exetimepervar"
0.8,0.822435897435897,0.639629136131468,0.659872705198484,0.352364273204904,0.352364273204904,"train","RF",0,"Forest_disc_NLD50",7.66666666666667,1.33615517616272,1,7.66666666666667,"Haberman",0.445385058720907
0.747252747252747,0.660227272727273,0.587686567164179,0.593197278911565,0.212269476853594,0.212269476853594,"test","RF",0,"Forest_disc_NLD50",7.66666666666667,1.33615517616272,1,7.66666666666667,"Haberman",0.445385058720907
0.781395348837209,0.724472377405338,0.660615145458583,0.677578890271529,0.364105468504185,0.364105468504185,"train","CART",0,"Forest_disc_NLD50",7.66666666666667,1.33615517616272,1,7.66666666666667,"Haberman",0.445385058720907
0.714285714285714,0.619366197183099,0.605410447761194,0.61034255599473,0.222733245729304,0.222733245729304,"test","CART",0,"Forest_disc_NLD50",7.66666666666667,1.33615517616272,1,7.66666666666667,"Haberman",0.445385058720907
0.832558139534884,0.807910839160839,0.734676882078614,0.758607784431138,0.522045201926639,0.522045201926639,"train","Boosting",0,"Forest_disc_NLD50",7.66666666666667,1.33615517616272,1,7.66666666666667,"Haberman",0.445385058720907
0.714285714285714,0.619366197183099,0.605410447761194,0.61034255599473,0.222733245729304,0.222733245729304,"test","Boosting",0,"Forest_disc_NLD50",7.66666666666667,1.33615517616272,1,7.66666666666667,"Haberman",0.445385058720907
0.734883720930233,0.367441860465116,0.5,0.423592493297587,0,0,"train","SVM",0,"Forest_disc_NLD50",7.66666666666667,1.33615517616272,1,7.66666666666667,"Haberman",0.445385058720907
0.736263736263736,0.368131868131868,0.5,0.424050632911392,0,0,"test","SVM",0,"Forest_disc_NLD50",7.66666666666667,1.33615517616272,1,7.66666666666667,"Haberman",0.445385058720907
0.772093023255814,0.713963963963964,0.631856540084388,0.64696223316913,0.310762185148839,0.310762185148839,"train","NaiveBayes",0,"Forest_disc_NLD50",7.66666666666667,1.33615517616272,1,7.66666666666667,"Haberman",0.445385058720907
0.736263736263736,0.63961038961039,0.593594527363184,0.600877192982456,0.21608040201005,0.21608040201005,"test","NaiveBayes",0,"Forest_disc_NLD50",7.66666666666667,1.33615517616272,1,7.66666666666667,"Haberman",0.445385058720907
