"accuracy","macroPrecision","macroRecall","macroF1","kappa","kappa_w","data","class_method","inconsistency","disc_method","NB_interval","exe_time","iter","modif_nb_inter","name","exetimepervar"
1,1,1,1,1,1,"train","RF",0,"cont","NA",0,1,"NA","banknote",0
0.997572815533981,0.997282608695652,0.997816593886463,0.997543510276117,0.99508704984498,0.99508704984498,"test","RF",0,"cont","NA",0,1,"NA","banknote",0
0.971875,0.971633169805349,0.97141143542583,0.971521209118047,0.943042480816391,0.943042480816391,"train","CART",0,"cont","NA",0,1,"NA","banknote",0
0.944174757281553,0.944804571209066,0.942097978857947,0.943306031362366,0.886629019908116,0.886629019908116,"test","CART",0,"cont","NA",0,1,"NA","banknote",0
1,1,1,1,1,1,"train","Boosting",0,"cont","NA",0,1,"NA","banknote",0
0.995145631067961,0.995084353449304,0.995084353449304,0.995084353449304,0.990168706898609,0.990168706898609,"test","Boosting",0,"cont","NA",0,1,"NA","banknote",0
1,1,1,1,1,1,"train","SVM",0,"cont","NA",0,1,"NA","banknote",0
1,1,1,1,1,1,"test","SVM",0,"cont","NA",0,1,"NA","banknote",0
0.842708333333333,0.842124893435635,0.838554688014904,0.839995584867132,0.6801186315009,0.6801186315009,"train","NaiveBayes",0,"cont","NA",0,1,"NA","banknote",0
0.856796116504854,0.862400793650794,0.848676832032835,0.852663607765649,0.706269031852675,0.706269031852675,"test","NaiveBayes",0,"cont","NA",0,1,"NA","banknote",0
0.998958333333333,0.998831775700935,0.99906191369606,0.998945721110287,0.997891444536206,0.997891444536206,"train","KNN_Class",0,"cont","NA",0,1,"NA","banknote",0
0.997572815533981,0.997282608695652,0.997816593886463,0.997543510276117,0.99508704984498,0.99508704984498,"test","KNN_Class",0,"cont","NA",0,1,"NA","banknote",0
1,1,1,1,1,1,"train","RF",0,"cont","NA",0,2,"NA","banknote",0
0.995145631067961,0.994594594594595,0.995633187772926,0.995089626239512,0.990179486568303,0.990179486568303,"test","RF",0,"cont","NA",0,2,"NA","banknote",0
0.991666666666667,0.99114908398721,0.992029561801653,0.991571516995246,0.983143329982485,0.983143329982485,"train","CART",0,"cont","NA",0,2,"NA","banknote",0
0.983009708737864,0.983062589584329,0.982520819910755,0.982785686572955,0.965571578645784,0.965571578645784,"test","CART",0,"cont","NA",0,2,"NA","banknote",0
1,1,1,1,1,1,"train","Boosting",0,"cont","NA",0,2,"NA","banknote",0
0.995145631067961,0.995084353449304,0.995084353449304,0.995084353449304,0.990168706898609,0.990168706898609,"test","Boosting",0,"cont","NA",0,2,"NA","banknote",0
1,1,1,1,1,1,"train","SVM",0,"cont","NA",0,2,"NA","banknote",0
1,1,1,1,1,1,"test","SVM",0,"cont","NA",0,2,"NA","banknote",0
0.838541666666667,0.838509067565399,0.833637973382076,0.835478125114021,0.671183474317838,0.671183474317838,"train","NaiveBayes",0,"cont","NA",0,2,"NA","banknote",0
0.861650485436893,0.863729508196721,0.855787815878016,0.858549719014835,0.717482315576729,0.717482315576729,"test","NaiveBayes",0,"cont","NA",0,2,"NA","banknote",0
0.997916666666667,0.997668997668998,0.99812382739212,0.997891926076874,0.995783870670233,0.995783870670233,"train","KNN_Class",0,"cont","NA",0,2,"NA","banknote",0
1,1,1,1,1,1,"test","KNN_Class",0,"cont","NA",0,2,"NA","banknote",0
1,1,1,1,1,1,"train","RF",0,"cont","NA",0,3,"NA","banknote",0
0.980582524271845,0.979878556971068,0.980886248120839,0.980358504958047,0.96071794627321,0.96071794627321,"test","RF",0,"cont","NA",0,3,"NA","banknote",0
0.970833333333333,0.970687190764156,0.970240475238476,0.970459460885161,0.940919181484493,0.940919181484493,"train","CART",0,"cont","NA",0,3,"NA","banknote",0
0.939320388349515,0.939858830308268,0.937182332307252,0.93837612104605,0.87677067381317,0.87677067381317,"test","CART",0,"cont","NA",0,3,"NA","banknote",0
1,1,1,1,1,1,"train","Boosting",0,"cont","NA",0,3,"NA","banknote",0
0.985436893203884,0.984783902845577,0.985801894671535,0.985268878718536,0.970538459704908,0.970538459704908,"test","Boosting",0,"cont","NA",0,3,"NA","banknote",0
1,1,1,1,1,1,"train","SVM",0,"cont","NA",0,3,"NA","banknote",0
1,1,1,1,1,1,"test","SVM",0,"cont","NA",0,3,"NA","banknote",0
0.842708333333333,0.842554669135978,0.838088940248077,0.839815947462813,0.679819058894209,0.679819058894209,"train","NaiveBayes",0,"cont","NA",0,3,"NA","banknote",0
0.808252427184466,0.807412790697674,0.802813372467607,0.804510645965344,0.609305228789552,0.609305228789552,"test","NaiveBayes",0,"cont","NA",0,3,"NA","banknote",0
0.998958333333333,0.998831775700935,0.99906191369606,0.998945721110287,0.997891444536206,0.997891444536206,"train","KNN_Class",0,"cont","NA",0,3,"NA","banknote",0
0.997572815533981,0.997282608695652,0.997816593886463,0.997543510276117,0.99508704984498,0.99508704984498,"test","KNN_Class",0,"cont","NA",0,3,"NA","banknote",0
1,1,1,1,1,1,"train","RF",0,"cont","NA",0,4,"NA","banknote",0
0.990291262135922,0.989304812834225,0.991266375545852,0.990189308250982,0.980380485249649,0.980380485249649,"test","RF",0,"cont","NA",0,4,"NA","banknote",0
0.980208333333333,0.979662132514261,0.980313369157831,0.97997784829927,0.959956092206367,0.959956092206367,"train","CART",0,"cont","NA",0,4,"NA","banknote",0
0.949029126213592,0.947392128971076,0.950306631350371,0.948568269499414,0.897166492345726,0.897166492345726,"test","CART",0,"cont","NA",0,4,"NA","banknote",0
1,1,1,1,1,1,"train","Boosting",0,"cont","NA",0,4,"NA","banknote",0
0.987864077669903,0.987034922447426,0.988534135108693,0.987730426754817,0.975462168858395,0.975462168858395,"test","Boosting",0,"cont","NA",0,4,"NA","banknote",0
1,1,1,1,1,1,"train","SVM",0,"cont","NA",0,4,"NA","banknote",0
1,1,1,1,1,1,"test","SVM",0,"cont","NA",0,4,"NA","banknote",0
0.832291666666667,0.831870147446399,0.827543707791609,0.829207732063,0.658615023059389,0.658615023059389,"train","NaiveBayes",0,"cont","NA",0,4,"NA","banknote",0
0.859223300970874,0.858951175406872,0.855250912735342,0.856762653751169,0.713635165256573,0.713635165256573,"test","NaiveBayes",0,"cont","NA",0,4,"NA","banknote",0
