"Discretizer","Wins_count","Ties_count","Loss_count","class_method"
"ForestDisc",15,5,0,"RF"
"OneR",0,1,19,"RF"
"ScottEqualWidth",9,9,2,"RF"
"ClusterDisc",2,4,14,"RF"
"Infogain",9,7,4,"RF"
"Logreg",2,4,14,"RF"
"Naive",2,4,14,"RF"
"RDGR",7,2,11,"RF"
"QuantilDisc",10,7,3,"RF"
"EqualLength",2,4,14,"RF"
"RSTGDH",2,4,14,"RF"
"RSTLDH",7,1,12,"RF"
"Chi2",15,5,0,"RF"
"ChiMerge",11,9,0,"RF"
"CAIM",9,7,4,"RF"
"CACC",11,6,3,"RF"
"AMEVA",14,6,0,"RF"
"ExtendedChi2",10,10,0,"RF"
"MDLP",9,10,1,"RF"
"ModifiedChi2",8,6,6,"RF"
"GLMDisc",0,1,19,"RF"
"ForestDisc",9,9,2,"CART"
"OneR",0,1,19,"CART"
"ScottEqualWidth",9,8,3,"CART"
"ClusterDisc",3,2,15,"CART"
"Infogain",10,10,0,"CART"
"Logreg",4,4,12,"CART"
"Naive",4,4,12,"CART"
"RDGR",3,5,12,"CART"
"QuantilDisc",5,7,8,"CART"
"EqualLength",2,0,18,"CART"
"RSTGDH",3,5,12,"CART"
"RSTLDH",8,10,2,"CART"
"Chi2",9,10,1,"CART"
"ChiMerge",9,10,1,"CART"
"CAIM",9,10,1,"CART"
"CACC",8,10,2,"CART"
"AMEVA",14,6,0,"CART"
"ExtendedChi2",17,3,0,"CART"
"MDLP",7,11,2,"CART"
"ModifiedChi2",9,10,1,"CART"
"GLMDisc",0,1,19,"CART"
"ForestDisc",13,5,2,"Boosting"
"OneR",0,2,18,"Boosting"
"ScottEqualWidth",11,6,3,"Boosting"
"ClusterDisc",3,5,12,"Boosting"
"Infogain",9,5,6,"Boosting"
"Logreg",3,4,13,"Boosting"
"Naive",2,5,13,"Boosting"
"RDGR",3,5,12,"Boosting"
"QuantilDisc",9,3,8,"Boosting"
"EqualLength",1,3,16,"Boosting"
"RSTGDH",2,5,13,"Boosting"
"RSTLDH",6,2,12,"Boosting"
"Chi2",19,1,0,"Boosting"
"ChiMerge",19,1,0,"Boosting"
"CAIM",9,5,6,"Boosting"
"CACC",15,3,2,"Boosting"
"AMEVA",13,4,3,"Boosting"
"ExtendedChi2",14,4,2,"Boosting"
"MDLP",10,7,3,"Boosting"
"ModifiedChi2",9,4,7,"Boosting"
"GLMDisc",0,1,19,"Boosting"
"ForestDisc",1,2,17,"SVM"
"OneR",1,1,18,"SVM"
"ScottEqualWidth",3,1,16,"SVM"
"ClusterDisc",5,8,7,"SVM"
"Infogain",13,6,1,"SVM"
"Logreg",6,6,8,"SVM"
"Naive",5,7,8,"SVM"
"RDGR",6,9,5,"SVM"
"QuantilDisc",5,7,8,"SVM"
"EqualLength",0,0,20,"SVM"
"RSTGDH",5,8,7,"SVM"
"RSTLDH",11,6,3,"SVM"
"Chi2",5,4,11,"SVM"
"ChiMerge",6,6,8,"SVM"
"CAIM",14,6,0,"SVM"
"CACC",11,6,3,"SVM"
"AMEVA",18,2,0,"SVM"
"ExtendedChi2",17,3,0,"SVM"
"MDLP",13,5,2,"SVM"
"ModifiedChi2",13,5,2,"SVM"
"GLMDisc",2,2,16,"SVM"
"ForestDisc",13,7,0,"NaiveBayes"
"OneR",0,1,19,"NaiveBayes"
"ScottEqualWidth",11,7,2,"NaiveBayes"
"ClusterDisc",2,6,12,"NaiveBayes"
"Infogain",10,6,4,"NaiveBayes"
"Logreg",2,6,12,"NaiveBayes"
"Naive",2,6,12,"NaiveBayes"
"RDGR",2,6,12,"NaiveBayes"
"QuantilDisc",9,1,10,"NaiveBayes"
"EqualLength",2,6,12,"NaiveBayes"
"RSTGDH",2,6,12,"NaiveBayes"
"RSTLDH",2,6,12,"NaiveBayes"
"Chi2",17,3,0,"NaiveBayes"
"ChiMerge",18,2,0,"NaiveBayes"
"CAIM",10,6,4,"NaiveBayes"
"CACC",10,8,2,"NaiveBayes"
"AMEVA",13,5,2,"NaiveBayes"
"ExtendedChi2",11,8,1,"NaiveBayes"
"MDLP",10,8,2,"NaiveBayes"
"ModifiedChi2",9,5,6,"NaiveBayes"
"GLMDisc",0,1,19,"NaiveBayes"
"ForestDisc",16,3,1,"KNNC"
"OneR",0,3,17,"KNNC"
"ScottEqualWidth",16,3,1,"KNNC"
"ClusterDisc",2,8,10,"KNNC"
"Infogain",5,5,10,"KNNC"
"Logreg",5,6,9,"KNNC"
"Naive",8,3,9,"KNNC"
"RDGR",13,2,5,"KNNC"
"QuantilDisc",16,3,1,"KNNC"
"EqualLength",4,7,9,"KNNC"
"RSTGDH",2,9,9,"KNNC"
"RSTLDH",12,2,6,"KNNC"
"Chi2",20,0,0,"KNNC"
"ChiMerge",16,3,1,"KNNC"
"CAIM",3,6,11,"KNNC"
"CACC",14,1,5,"KNNC"
"AMEVA",12,1,7,"KNNC"
"ExtendedChi2",4,5,11,"KNNC"
"MDLP",1,4,15,"KNNC"
"ModifiedChi2",1,5,14,"KNNC"
"GLMDisc",0,1,19,"KNNC"
