"ForestDisc","OneR","ScottEqualWidth","ClusterDisc","Infogain","Logreg","Naive","RDGR","QuantilDisc","EqualLength","RSTGDH","RSTLDH","Chi2","ChiMerge","CAIM","CACC","AMEVA","ExtendedChi2","MDLP","ModifiedChi2","GLMDisc"
NA,1.57310532541824e-248,0,0,0,0,0,0,0,0,0,0,5.91737286920936e-283,3.55858792125589e-129,0,0.578797935340417,0,1.86260670882697e-122,3.17502995727895e-77,1.11113883228383e-197,0
1.57310532541824e-248,NA,0,8.51267764710397e-243,6.81835219935557e-249,5.27519788688391e-274,9.89469105011704e-205,1.75205957694716e-35,1.16060625037987e-10,8.39054640812256e-22,5.10292704367631e-245,5.59763156032563e-244,0,0,7.25453284517755e-189,2.86690083304239e-128,7.54846878423364e-118,3.03357503432882e-27,6.09805737831782e-18,2.25844117607872e-74,1.56373650140871e-285
0,0,NA,0,0,0,0,0,0,0,0,0,1.40332083590176e-11,2.18899894631548e-07,0,7.72602315909868e-79,0,0,0,0,0
0,8.51267764710397e-243,0,NA,6.86634638533363e-06,7.16581335654249e-27,8.85988743737716e-07,8.77721477863019e-268,0,0,4.01250955424304e-93,7.27496106184623e-24,0,0,0.0335426052955782,0,1.82396330451638e-16,5.15980321075229e-07,4.84990467501306e-06,0.148087551871478,2.89750954681954e-51
0,6.81835219935557e-249,0,6.86634638533363e-06,NA,9.29426005362927e-79,1.06038688370386e-70,1.55633328873064e-139,0,0,1.06311544574205e-07,1.40659828123578e-05,0,0,7.40206707835422e-108,0,0,3.16758651864924e-40,3.49555811820018e-48,5.1773523161474e-14,0.210337898390134
0,5.27519788688391e-274,0,7.16581335654249e-27,9.29426005362927e-79,NA,1.15769205752985e-136,4.92562179733284e-160,0,0,0.00010966528417538,2.98624916778235e-26,0,0,6.34351320367799e-156,0,0,1.07804317497004e-54,1.30351073319404e-62,3.4095919443373e-21,1.7957762420671e-05
0,9.89469105011704e-205,0,8.85988743737716e-07,1.06038688370386e-70,1.15769205752985e-136,NA,1.08377428574747e-76,7.1673847697012e-243,2.08382266534168e-267,3.85711820524799e-09,1.44650262115671e-06,0,0,1.27643563447708e-71,0,0,3.36504776460454e-32,1.34881051071688e-41,4.06662833584471e-10,0.276600976458069
0,1.75205957694716e-35,0,8.77721477863019e-268,1.55633328873064e-139,4.92562179733284e-160,1.08377428574747e-76,NA,0,0,4.56227250448253e-239,3.27810571741016e-269,0,0,8.87824108849512e-70,7.54020150465903e-158,1.73972230043851e-31,1.00775672875594e-06,0.104768580420196,1.18557602948168e-25,5.3515427009877e-288
0,1.16060625037987e-10,0,0,0,0,7.1673847697012e-243,0,NA,2.78867550943349e-206,0,0,0,4.58002478622581e-281,2.01781219667552e-236,4.48242580285177e-49,7.77361358155875e-210,1.79476350677678e-54,6.15080822201206e-21,2.82609146910818e-88,0
0,8.39054640812256e-22,0,0,0,0,2.08382266534168e-267,0,2.78867550943349e-206,NA,0,0,0,1.02956692170738e-253,3.31633702818287e-264,9.81559705455991e-33,3.08290669127552e-237,2.11371397057352e-61,5.69755558892195e-33,1.11148274411707e-93,0
