"ForestDisc","OneR","ScottEqualWidth","ClusterDisc","Infogain","Logreg","Naive","RDGR","QuantilDisc","EqualLength","RSTGDH","RSTLDH","Chi2","ChiMerge","CAIM","CACC","AMEVA","ExtendedChi2","MDLP","ModifiedChi2","GLMDisc"
NA,0,0,0,0,0,0,0,0,0,0,0,2.13835453374152e-95,4.9674362013113e-33,4.18466897016236e-83,0.00405668969005974,2.97122088427435e-75,6.70885236678833e-254,8.00128283156776e-178,2.70417811472676e-52,0
0,NA,0,0,0,4.6073384618588e-102,0,0,0,0,7.54575000317053e-130,0,0,0,0,0,0,0,0,0,0
0,0,NA,0,0,0,2.39141721475886e-12,0,3.99643561622744e-99,7.14379396940827e-115,0,7.37425774997798e-244,0,0,0,0,0,0,0,0,0
0,0,0,NA,0,0,0,0,9.39715561587789e-102,5.06609542633909e-22,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,NA,0,0,1.34140110915277e-159,0,0,0,0,0,0,0,0,0,0,2.35298739263008e-96,0,0
0,4.6073384618588e-102,0,0,0,NA,0,0,0,0,1.77035177911987e-06,0,0,0,0,0,0,0,0,0,0
0,0,2.39141721475886e-12,0,0,0,NA,0,1.33104505740672e-142,1.82831603148736e-157,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1.34140110915277e-159,0,0,NA,0,0,0,0,0,6.65057371962233e-161,2.21101249985715e-08,1.58771669232957e-82,4.78427842492713e-06,0,5.60368164844021e-40,3.3475836357947e-255,0
0,0,3.99643561622744e-99,9.39715561587789e-102,0,0,1.33104505740672e-142,0,NA,6.52380472135434e-64,0,0,0,0,0,0,0,0,0,0,0
0,0,7.14379396940827e-115,5.06609542633909e-22,0,0,1.82831603148736e-157,0,6.52380472135434e-64,NA,0,0,0,0,0,0,0,0,0,0,0
0,7.54575000317053e-130,0,0,0,1.77035177911987e-06,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0
0,0,7.37425774997798e-244,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
2.13835453374152e-95,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,2.89131808833176e-153,0,0,0,3.93492816664466e-241,3.94004877579499e-70
4.9674362013113e-33,0,0,0,0,0,0,6.65057371962233e-161,0,0,0,0,0,NA,0,4.08851246545197e-45,0,0,0,0,7.21609317521787e-104
4.18466897016236e-83,0,0,0,0,0,0,2.21101249985715e-08,0,0,0,0,0,0,NA,6.14218012708101e-235,0.889524997689589,0,1.11955893254271e-191,0,0
0.00405668969005974,0,0,0,0,0,0,1.58771669232957e-82,0,0,0,0,2.89131808833176e-153,4.08851246545197e-45,6.14218012708101e-235,NA,0,4.75104563973107e-198,0,8.37216018235329e-97,1.05095701970844e-280
2.97122088427435e-75,0,0,0,0,0,0,4.78427842492713e-06,0,0,0,0,0,0,0.889524997689589,0,NA,0,7.53926499284941e-232,0,0
6.70885236678833e-254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75104563973107e-198,0,NA,0,0,1.22147291728789e-60
8.00128283156776e-178,0,0,0,2.35298739263008e-96,0,0,5.60368164844021e-40,0,0,0,0,0,0,1.11955893254271e-191,0,7.53926499284941e-232,0,NA,0,0
2.70417811472676e-52,0,0,0,0,0,0,3.3475836357947e-255,0,0,0,0,3.93492816664466e-241,0,0,8.37216018235329e-97,0,0,0,NA,1.35979881229103e-100
0,0,0,0,0,0,0,0,0,0,0,0,3.94004877579499e-70,7.21609317521787e-104,0,1.05095701970844e-280,0,1.22147291728789e-60,0,1.35979881229103e-100,NA
