"var","Split","freq","opt_value","iter","forest","name"
1,1.5,0.3208,1.8809315120026e-31,1,"Forest_disc_NLD50","balance"
1,2.7,0.1527,1.8809315120026e-31,1,"Forest_disc_NLD50","balance"
1,3.1,0.1116,1.8809315120026e-31,1,"Forest_disc_NLD50","balance"
1,3.3,0.1254,1.8809315120026e-31,1,"Forest_disc_NLD50","balance"
1,4.4,0.2894,1.8809315120026e-31,1,"Forest_disc_NLD50","balance"
2,1.5,0.1784,2.06230178870168e-32,1,"Forest_disc_NLD50","balance"
2,1.8,0.1485,2.06230178870168e-32,1,"Forest_disc_NLD50","balance"
2,1.9,0.0011,2.06230178870168e-32,1,"Forest_disc_NLD50","balance"
2,2.2,0.0015,2.06230178870168e-32,1,"Forest_disc_NLD50","balance"
2,3.1,0.3548,2.06230178870168e-32,1,"Forest_disc_NLD50","balance"
2,4.5,0.3158,2.06230178870168e-32,1,"Forest_disc_NLD50","balance"
3,1.5,0.2777,2.00894205338757e-29,1,"Forest_disc_NLD50","balance"
3,2.8,0.4145,2.00894205338757e-29,1,"Forest_disc_NLD50","balance"
3,4.4,0.3078,2.00894205338757e-29,1,"Forest_disc_NLD50","balance"
4,1.6,0.3378,1.33431763762846e-30,1,"Forest_disc_NLD50","balance"
4,3.1,0.3282,1.33431763762846e-30,1,"Forest_disc_NLD50","balance"
4,4.4,0.3341,1.33431763762846e-30,1,"Forest_disc_NLD50","balance"
1,1.5,0.3193,3.50349276678982e-32,1,"Forest_disc_NLD100","balance"
1,1.6,1e-04,3.50349276678982e-32,1,"Forest_disc_NLD100","balance"
1,2.8,0.3865,3.50349276678982e-32,1,"Forest_disc_NLD100","balance"
1,4.3,0.2942,3.50349276678982e-32,1,"Forest_disc_NLD100","balance"
2,1.6,0.2923,1.38170612955121e-11,1,"Forest_disc_NLD100","balance"
2,3,0.3768,1.38170612955121e-11,1,"Forest_disc_NLD100","balance"
2,4.4,0.3309,1.38170612955121e-11,1,"Forest_disc_NLD100","balance"
3,1.5,0.2549,2.75017419383097e-31,1,"Forest_disc_NLD100","balance"
3,2.6,0.0197,2.75017419383097e-31,1,"Forest_disc_NLD100","balance"
3,2.7,0.2866,2.75017419383097e-31,1,"Forest_disc_NLD100","balance"
3,3.3,0.1294,2.75017419383097e-31,1,"Forest_disc_NLD100","balance"
3,4.4,0.3094,2.75017419383097e-31,1,"Forest_disc_NLD100","balance"
4,1.5,0.2783,8.81011443416323e-32,1,"Forest_disc_NLD100","balance"
4,2.5,0.0274,8.81011443416323e-32,1,"Forest_disc_NLD100","balance"
4,2.9,0.3361,8.81011443416323e-32,1,"Forest_disc_NLD100","balance"
4,3.1,0.0032,8.81011443416323e-32,1,"Forest_disc_NLD100","balance"
4,4.4,0.3549,8.81011443416323e-32,1,"Forest_disc_NLD100","balance"
1,1.5,0.2769,9.26585804892568e-30,1,"Forest_disc_NLD200","balance"
1,2.3,0.0966,9.26585804892568e-30,1,"Forest_disc_NLD200","balance"
1,2.5,0.077,9.26585804892568e-30,1,"Forest_disc_NLD200","balance"
1,3,0.1036,9.26585804892568e-30,1,"Forest_disc_NLD200","balance"
1,3.3,0.1929,9.26585804892568e-30,1,"Forest_disc_NLD200","balance"
1,4.4,0.2528,9.26585804892568e-30,1,"Forest_disc_NLD200","balance"
2,1.5,0.2814,2.36066569274747e-29,1,"Forest_disc_NLD200","balance"
2,2.8,0.2593,2.36066569274747e-29,1,"Forest_disc_NLD200","balance"
2,3.3,0.1379,2.36066569274747e-29,1,"Forest_disc_NLD200","balance"
2,4.4,0.3214,2.36066569274747e-29,1,"Forest_disc_NLD200","balance"
3,1.5,0.2625,7.61525948402547e-31,1,"Forest_disc_NLD200","balance"
3,2.8,0.41,7.61525948402547e-31,1,"Forest_disc_NLD200","balance"
3,4.4,0.3275,7.61525948402547e-31,1,"Forest_disc_NLD200","balance"
4,1.5,0.2868,2.06990462960944e-29,1,"Forest_disc_NLD200","balance"
4,2.8,0.3604,2.06990462960944e-29,1,"Forest_disc_NLD200","balance"
4,4.4,0.3528,2.06990462960944e-29,1,"Forest_disc_NLD200","balance"
1,1.6,0.0556,2.18350165680438e-07,1,"Forest_disc_DIR50","balance"
1,1.7,0.1667,2.18350165680438e-07,1,"Forest_disc_DIR50","balance"
1,2,0.2223,2.18350165680438e-07,1,"Forest_disc_DIR50","balance"
1,2.3,0.1111,2.18350165680438e-07,1,"Forest_disc_DIR50","balance"
1,4,0.2778,2.18350165680438e-07,1,"Forest_disc_DIR50","balance"
1,4.3,0.1667,2.18350165680438e-07,1,"Forest_disc_DIR50","balance"
2,2,0.4957,7.25626857590445e-07,1,"Forest_disc_DIR50","balance"
2,4.2,0.5043,7.25626857590445e-07,1,"Forest_disc_DIR50","balance"
