"var","Split","freq","opt_value","iter","forest","name"
1,1.5,0.3336,8.91329727812669e-21,1,"Forest_disc_25","balance"
1,2.9,0.3495,8.91329727812669e-21,1,"Forest_disc_25","balance"
1,4.4,0.3167,8.91329727812669e-21,1,"Forest_disc_25","balance"
2,1.5,0.2892,2.77614297130899e-21,1,"Forest_disc_25","balance"
2,2.9,0.3525,2.77614297130899e-21,1,"Forest_disc_25","balance"
2,4.4,0.3584,2.77614297130899e-21,1,"Forest_disc_25","balance"
3,1.5,0.2768,5.87381088257173e-19,1,"Forest_disc_25","balance"
3,2.8,0.4185,5.87381088257173e-19,1,"Forest_disc_25","balance"
3,4.3,0.3043,5.87381088257173e-19,1,"Forest_disc_25","balance"
4,1.6,0.3593,2.34408998428136e-19,1,"Forest_disc_25","balance"
4,3.3,0.3583,2.34408998428136e-19,1,"Forest_disc_25","balance"
4,4.5,0.2824,2.34408998428136e-19,1,"Forest_disc_25","balance"
1,1.6,0.3717,2.3642722374439e-21,1,"Forest_disc_50","balance"
1,3,0.3727,2.3642722374439e-21,1,"Forest_disc_50","balance"
1,4.4,0.2557,2.3642722374439e-21,1,"Forest_disc_50","balance"
2,1.5,0.247,6.32549869864806e-19,1,"Forest_disc_50","balance"
2,2.8,0.3801,6.32549869864806e-19,1,"Forest_disc_50","balance"
2,4.4,0.373,6.32549869864806e-19,1,"Forest_disc_50","balance"
3,1.5,0.272,1.31973558185322e-18,1,"Forest_disc_50","balance"
3,2.8,0.3981,1.31973558185322e-18,1,"Forest_disc_50","balance"
3,4.4,0.3301,1.31973558185322e-18,1,"Forest_disc_50","balance"
4,1.5,0.2863,2.66161716246681e-20,1,"Forest_disc_50","balance"
4,2.8,0.3734,2.66161716246681e-20,1,"Forest_disc_50","balance"
4,4.4,0.3405,2.66161716246681e-20,1,"Forest_disc_50","balance"
1,1.5,0.3224,6.56907962469623e-23,1,"Forest_disc_75","balance"
1,2.9,0.3714,6.56907962469623e-23,1,"Forest_disc_75","balance"
1,4.4,0.3063,6.56907962469623e-23,1,"Forest_disc_75","balance"
2,1.5,0.2592,2.98239538296186e-20,1,"Forest_disc_75","balance"
2,2.8,0.3988,2.98239538296186e-20,1,"Forest_disc_75","balance"
2,4.4,0.342,2.98239538296186e-20,1,"Forest_disc_75","balance"
3,1.6,0.3491,1.36768959618096e-18,1,"Forest_disc_75","balance"
3,3.2,0.4088,1.36768959618096e-18,1,"Forest_disc_75","balance"
3,4.5,0.2421,1.36768959618096e-18,1,"Forest_disc_75","balance"
4,1.5,0.2772,2.34261623797766e-21,1,"Forest_disc_75","balance"
4,2.9,0.3784,2.34261623797766e-21,1,"Forest_disc_75","balance"
4,4.4,0.3446,2.34261623797766e-21,1,"Forest_disc_75","balance"
1,1.5,0.3085,4.92919631586839e-21,1,"Forest_disc_100","balance"
1,2.9,0.39,4.92919631586839e-21,1,"Forest_disc_100","balance"
1,4.3,0.3013,4.92919631586839e-21,1,"Forest_disc_100","balance"
2,1.6,0.2926,3.06250895287408e-19,1,"Forest_disc_100","balance"
2,3.1,0.3794,3.06250895287408e-19,1,"Forest_disc_100","balance"
2,4.4,0.3279,3.06250895287408e-19,1,"Forest_disc_100","balance"
3,1.5,0.286,7.98471943808847e-22,1,"Forest_disc_100","balance"
3,2.9,0.3946,7.98471943808847e-22,1,"Forest_disc_100","balance"
3,4.4,0.3195,7.98471943808847e-22,1,"Forest_disc_100","balance"
4,1.5,0.2824,8.89545799105781e-20,1,"Forest_disc_100","balance"
4,2.9,0.3588,8.89545799105781e-20,1,"Forest_disc_100","balance"
4,4.4,0.3588,8.89545799105781e-20,1,"Forest_disc_100","balance"
1,1.5,0.3038,1.47631565172882e-22,1,"Forest_disc_125","balance"
1,2.8,0.389,1.47631565172882e-22,1,"Forest_disc_125","balance"
1,4.4,0.307,1.47631565172882e-22,1,"Forest_disc_125","balance"
2,1.5,0.2745,1.99934581780002e-18,1,"Forest_disc_125","balance"
2,2.9,0.372,1.99934581780002e-18,1,"Forest_disc_125","balance"
2,4.4,0.3536,1.99934581780002e-18,1,"Forest_disc_125","balance"
3,1.5,0.2688,1.70329323339604e-22,1,"Forest_disc_125","balance"
3,2.8,0.4078,1.70329323339604e-22,1,"Forest_disc_125","balance"
3,4.4,0.3233,1.70329323339604e-22,1,"Forest_disc_125","balance"
4,1.5,0.2955,4.69237420389509e-19,1,"Forest_disc_125","balance"
4,2.9,0.358,4.69237420389509e-19,1,"Forest_disc_125","balance"
4,4.4,0.3467,4.69237420389509e-19,1,"Forest_disc_125","balance"
1,1.5,0.311,2.15106913251677e-20,1,"Forest_disc_150","balance"
1,2.8,0.3897,2.15106913251677e-20,1,"Forest_disc_150","balance"
1,4.4,0.2992,2.15106913251677e-20,1,"Forest_disc_150","balance"
2,1.6,0.3215,1.17546324269541e-19,1,"Forest_disc_150","balance"
2,3.2,0.4008,1.17546324269541e-19,1,"Forest_disc_150","balance"
2,4.5,0.2777,1.17546324269541e-19,1,"Forest_disc_150","balance"
3,1.6,0.341,3.78519771069422e-19,1,"Forest_disc_150","balance"
3,3.2,0.4034,3.78519771069422e-19,1,"Forest_disc_150","balance"
3,4.5,0.2556,3.78519771069422e-19,1,"Forest_disc_150","balance"
4,1.6,0.3482,6.19965217452177e-22,1,"Forest_disc_150","balance"
4,3.2,0.3736,6.19965217452177e-22,1,"Forest_disc_150","balance"
4,4.5,0.2782,6.19965217452177e-22,1,"Forest_disc_150","balance"
1,1.5,0.3381,6.23759317194405e-21,1,"Forest_disc_175","balance"
1,2.9,0.3764,6.23759317194405e-21,1,"Forest_disc_175","balance"
1,4.4,0.2855,6.23759317194405e-21,1,"Forest_disc_175","balance"
2,1.5,0.2576,5.43689112734381e-19,1,"Forest_disc_175","balance"
2,2.8,0.3903,5.43689112734381e-19,1,"Forest_disc_175","balance"
2,4.4,0.3523,5.43689112734381e-19,1,"Forest_disc_175","balance"
3,1.6,0.3442,4.56947918307131e-19,1,"Forest_disc_175","balance"
3,3.2,0.4089,4.56947918307131e-19,1,"Forest_disc_175","balance"
3,4.5,0.2468,4.56947918307131e-19,1,"Forest_disc_175","balance"
4,1.5,0.2886,8.08381559164312e-19,1,"Forest_disc_175","balance"
4,2.9,0.3598,8.08381559164312e-19,1,"Forest_disc_175","balance"
4,4.4,0.3513,8.08381559164312e-19,1,"Forest_disc_175","balance"
1,1.6,0.3799,8.81350387586166e-19,1,"Forest_disc_200","balance"
1,3.2,0.3988,8.81350387586166e-19,1,"Forest_disc_200","balance"
1,4.5,0.2213,8.81350387586166e-19,1,"Forest_disc_200","balance"
2,1.6,0.272,2.19654366988729e-19,1,"Forest_disc_200","balance"
2,3,0.3836,2.19654366988729e-19,1,"Forest_disc_200","balance"
2,4.4,0.3443,2.19654366988729e-19,1,"Forest_disc_200","balance"
3,1.6,0.3459,2.06840302796812e-19,1,"Forest_disc_200","balance"
3,3.2,0.4082,2.06840302796812e-19,1,"Forest_disc_200","balance"
3,4.5,0.2459,2.06840302796812e-19,1,"Forest_disc_200","balance"
4,1.6,0.3424,4.4720701791242e-22,1,"Forest_disc_200","balance"
4,3.2,0.3734,4.4720701791242e-22,1,"Forest_disc_200","balance"
4,4.5,0.2842,4.4720701791242e-22,1,"Forest_disc_200","balance"
1,1.5,0.3224,2.14706646451073e-19,2,"Forest_disc_25","balance"
1,3,0.3561,2.14706646451073e-19,2,"Forest_disc_25","balance"
1,4.4,0.3214,2.14706646451073e-19,2,"Forest_disc_25","balance"
2,1.5,0.2902,1.02087555950146e-21,2,"Forest_disc_25","balance"
2,3,0.4021,1.02087555950146e-21,2,"Forest_disc_25","balance"
2,4.4,0.3078,1.02087555950146e-21,2,"Forest_disc_25","balance"
3,1.5,0.2779,3.35162499763858e-21,2,"Forest_disc_25","balance"
3,2.8,0.4081,3.35162499763858e-21,2,"Forest_disc_25","balance"
3,4.4,0.3142,3.35162499763858e-21,2,"Forest_disc_25","balance"
4,1.5,0.28,4.73535312588715e-19,2,"Forest_disc_25","balance"
4,2.9,0.3727,4.73535312588715e-19,2,"Forest_disc_25","balance"
4,4.4,0.3475,4.73535312588715e-19,2,"Forest_disc_25","balance"
1,1.6,0.3525,8.76326883022251e-20,2,"Forest_disc_50","balance"
1,3.2,0.384,8.76326883022251e-20,2,"Forest_disc_50","balance"
1,4.5,0.2635,8.76326883022251e-20,2,"Forest_disc_50","balance"
2,1.5,0.2978,1.4824230350497e-20,2,"Forest_disc_50","balance"
2,3,0.3891,1.4824230350497e-20,2,"Forest_disc_50","balance"
2,4.4,0.3131,1.4824230350497e-20,2,"Forest_disc_50","balance"
3,1.6,0.3352,7.7146645126918e-22,2,"Forest_disc_50","balance"
3,3.2,0.3866,7.7146645126918e-22,2,"Forest_disc_50","balance"
3,4.5,0.2781,7.7146645126918e-22,2,"Forest_disc_50","balance"
4,1.5,0.2898,2.91275913869077e-19,2,"Forest_disc_50","balance"
4,2.9,0.3753,2.91275913869077e-19,2,"Forest_disc_50","balance"
4,4.4,0.3349,2.91275913869077e-19,2,"Forest_disc_50","balance"
1,1.5,0.287,1.83736592539192e-21,2,"Forest_disc_75","balance"
1,2.9,0.388,1.83736592539192e-21,2,"Forest_disc_75","balance"
1,4.4,0.325,1.83736592539192e-21,2,"Forest_disc_75","balance"
2,1.5,0.2608,9.00826074555245e-19,2,"Forest_disc_75","balance"
2,2.8,0.4101,9.00826074555245e-19,2,"Forest_disc_75","balance"
2,4.4,0.329,9.00826074555245e-19,2,"Forest_disc_75","balance"
3,1.5,0.2639,3.84128232066519e-19,2,"Forest_disc_75","balance"
3,2.8,0.3876,3.84128232066519e-19,2,"Forest_disc_75","balance"
3,4.4,0.3488,3.84128232066519e-19,2,"Forest_disc_75","balance"
4,1.5,0.2632,8.08611784379701e-19,2,"Forest_disc_75","balance"
4,2.8,0.389,8.08611784379701e-19,2,"Forest_disc_75","balance"
4,4.4,0.3477,8.08611784379701e-19,2,"Forest_disc_75","balance"
1,1.6,0.3402,1.62623047811802e-21,2,"Forest_disc_100","balance"
1,3.2,0.3933,1.62623047811802e-21,2,"Forest_disc_100","balance"
1,4.5,0.2665,1.62623047811802e-21,2,"Forest_disc_100","balance"
2,1.5,0.2595,1.08488215805412e-21,2,"Forest_disc_100","balance"
2,2.8,0.4092,1.08488215805412e-21,2,"Forest_disc_100","balance"
2,4.4,0.3312,1.08488215805412e-21,2,"Forest_disc_100","balance"
3,1.6,0.3147,1.86620490316084e-22,2,"Forest_disc_100","balance"
3,3.1,0.3869,1.86620490316084e-22,2,"Forest_disc_100","balance"
3,4.4,0.2984,1.86620490316084e-22,2,"Forest_disc_100","balance"
4,1.6,0.3101,6.04334815353092e-21,2,"Forest_disc_100","balance"
4,3,0.3623,6.04334815353092e-21,2,"Forest_disc_100","balance"
4,4.4,0.3276,6.04334815353092e-21,2,"Forest_disc_100","balance"
1,1.5,0.2945,2.72811634339764e-19,2,"Forest_disc_125","balance"
1,2.9,0.3806,2.72811634339764e-19,2,"Forest_disc_125","balance"
1,4.4,0.325,2.72811634339764e-19,2,"Forest_disc_125","balance"
2,1.5,0.2994,7.80503394633278e-19,2,"Forest_disc_125","balance"
2,3,0.3814,7.80503394633278e-19,2,"Forest_disc_125","balance"
2,4.4,0.3193,7.80503394633278e-19,2,"Forest_disc_125","balance"
3,1.6,0.3415,1.2794238572605e-20,2,"Forest_disc_125","balance"
3,3.2,0.3913,1.2794238572605e-20,2,"Forest_disc_125","balance"
3,4.5,0.2672,1.2794238572605e-20,2,"Forest_disc_125","balance"
4,1.5,0.2802,2.08476483690118e-19,2,"Forest_disc_125","balance"
4,2.8,0.389,2.08476483690118e-19,2,"Forest_disc_125","balance"
4,4.4,0.3306,2.08476483690118e-19,2,"Forest_disc_125","balance"
1,1.6,0.3584,6.1235311670291e-19,2,"Forest_disc_150","balance"
1,3.2,0.3854,6.1235311670291e-19,2,"Forest_disc_150","balance"
1,4.5,0.2563,6.1235311670291e-19,2,"Forest_disc_150","balance"
2,1.5,0.2568,2.41015216853991e-21,2,"Forest_disc_150","balance"
2,2.9,0.4096,2.41015216853991e-21,2,"Forest_disc_150","balance"
2,4.4,0.3334,2.41015216853991e-21,2,"Forest_disc_150","balance"
3,1.6,0.3218,1.09789882059369e-20,2,"Forest_disc_150","balance"
3,3.1,0.3675,1.09789882059369e-20,2,"Forest_disc_150","balance"
3,4.4,0.3107,1.09789882059369e-20,2,"Forest_disc_150","balance"
4,1.5,0.2816,2.51378395436702e-21,2,"Forest_disc_150","balance"
4,2.9,0.3772,2.51378395436702e-21,2,"Forest_disc_150","balance"
4,4.4,0.3412,2.51378395436702e-21,2,"Forest_disc_150","balance"
1,1.5,0.2916,3.9573311804043e-20,2,"Forest_disc_175","balance"
1,2.9,0.3714,3.9573311804043e-20,2,"Forest_disc_175","balance"
1,4.4,0.337,3.9573311804043e-20,2,"Forest_disc_175","balance"
2,1.5,0.264,6.53620133121892e-21,2,"Forest_disc_175","balance"
2,2.9,0.4056,6.53620133121892e-21,2,"Forest_disc_175","balance"
2,4.4,0.3301,6.53620133121892e-21,2,"Forest_disc_175","balance"
3,1.5,0.2808,2.75838715119533e-19,2,"Forest_disc_175","balance"
3,2.8,0.3787,2.75838715119533e-19,2,"Forest_disc_175","balance"
3,4.4,0.3402,2.75838715119533e-19,2,"Forest_disc_175","balance"
4,1.5,0.2862,2.52558419751573e-21,2,"Forest_disc_175","balance"
4,2.9,0.3747,2.52558419751573e-21,2,"Forest_disc_175","balance"
4,4.4,0.3391,2.52558419751573e-21,2,"Forest_disc_175","balance"
1,1.5,0.3044,4.53540577417105e-22,2,"Forest_disc_200","balance"
1,3,0.3645,4.53540577417105e-22,2,"Forest_disc_200","balance"
1,4.4,0.3312,4.53540577417105e-22,2,"Forest_disc_200","balance"
2,1.5,0.2715,2.08796916437262e-21,2,"Forest_disc_200","balance"
2,2.9,0.3996,2.08796916437262e-21,2,"Forest_disc_200","balance"
2,4.4,0.329,2.08796916437262e-21,2,"Forest_disc_200","balance"
3,1.6,0.3088,6.53553731002843e-21,2,"Forest_disc_200","balance"
3,3,0.386,6.53553731002843e-21,2,"Forest_disc_200","balance"
3,4.4,0.3053,6.53553731002843e-21,2,"Forest_disc_200","balance"
4,1.6,0.3552,8.2916533696287e-19,2,"Forest_disc_200","balance"
4,3.3,0.3884,8.2916533696287e-19,2,"Forest_disc_200","balance"
4,4.5,0.2564,8.2916533696287e-19,2,"Forest_disc_200","balance"
1,1.5,0.2604,1.03290791506756e-18,3,"Forest_disc_25","balance"
1,2.8,0.4212,1.03290791506756e-18,3,"Forest_disc_25","balance"
1,4.4,0.3183,1.03290791506756e-18,3,"Forest_disc_25","balance"
2,1.5,0.3042,8.08376126197261e-19,3,"Forest_disc_25","balance"
2,2.9,0.3637,8.08376126197261e-19,3,"Forest_disc_25","balance"
2,4.3,0.3318,8.08376126197261e-19,3,"Forest_disc_25","balance"
3,1.6,0.3344,8.55058704493774e-19,3,"Forest_disc_25","balance"
3,3.2,0.4344,8.55058704493774e-19,3,"Forest_disc_25","balance"
3,4.4,0.2312,8.55058704493774e-19,3,"Forest_disc_25","balance"
4,1.6,0.3049,3.67954989807954e-19,3,"Forest_disc_25","balance"
4,3.3,0.3781,3.67954989807954e-19,3,"Forest_disc_25","balance"
4,4.5,0.317,3.67954989807954e-19,3,"Forest_disc_25","balance"
1,1.5,0.2523,9.66138752325278e-22,3,"Forest_disc_50","balance"
1,2.9,0.418,9.66138752325278e-22,3,"Forest_disc_50","balance"
1,4.4,0.3296,9.66138752325278e-22,3,"Forest_disc_50","balance"
2,1.5,0.3144,1.87021223468331e-21,3,"Forest_disc_50","balance"
2,2.9,0.3643,1.87021223468331e-21,3,"Forest_disc_50","balance"
2,4.4,0.321,1.87021223468331e-21,3,"Forest_disc_50","balance"
3,1.5,0.2655,1.60188505802062e-20,3,"Forest_disc_50","balance"
3,2.9,0.3988,1.60188505802062e-20,3,"Forest_disc_50","balance"
3,4.4,0.3359,1.60188505802062e-20,3,"Forest_disc_50","balance"
4,1.5,0.2807,1.74280362635281e-18,3,"Forest_disc_50","balance"
4,2.9,0.3752,1.74280362635281e-18,3,"Forest_disc_50","balance"
