"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
1,2,1.41135909661494e-08,72.2,43.1,"NA","NA","NA","NA","NA","NA","NA","NA",0.5066,0.4934,"NA","NA","NA","NA","NA","NA","NA","NA",1.41135909661494e-08,2,1,"Forest_disc_25","BRcancer"
1,3,7.318649712477e-23,73.6,49.5,"35","NA","NA","NA","NA","NA","NA","NA",0.4305,0.4268,"0.1427","NA","NA","NA","NA","NA","NA","NA",7.318649712477e-22,3,1,"Forest_disc_25","BRcancer"
1,4,5.9423801771303e-23,73.6,49.5,"35","35","NA","NA","NA","NA","NA","NA",0.4305,0.4268,"0.0714","0.0714","NA","NA","NA","NA","NA","NA",5.9423801771303e-22,3,1,"Forest_disc_25","BRcancer"
1,5,6.88911577271974e-23,73.6,49.5,"35","35","35","NA","NA","NA","NA","NA",0.4305,0.4268,"0.0476","0.0476","0.0476","NA","NA","NA","NA","NA",6.88911577271974e-22,3,1,"Forest_disc_25","BRcancer"
1,6,7.3170289809302e-23,73.6,49.5,"35","35","35","35","NA","NA","NA","NA",0.4305,0.4268,"0.0357","0.0357","0.0357","0.0357","NA","NA","NA","NA",7.3170289809302e-22,3,1,"Forest_disc_25","BRcancer"
1,7,6.10967828475811e-23,73.6,49.5,"35","35","35","35","35","NA","NA","NA",0.4305,0.4268,"0.0285","0.0285","0.0285","0.0285","0.0285","NA","NA","NA",6.10967828475811e-22,3,1,"Forest_disc_25","BRcancer"
1,8,6.70952033764869e-23,73.6,49.5,"35","35","35","35","35","35","NA","NA",0.4305,0.4269,"0.0238","0.0238","0.0238","0.0238","0.0238","0.0238","NA","NA",6.70952033764869e-22,3,1,"Forest_disc_25","BRcancer"
1,9,7.43018701550322e-23,73.6,49.5,"35","35","35","35","35","35","35","NA",0.4305,0.4269,"0.0204","0.0204","0.0204","0.0204","0.0204","0.0204","0.0204","NA",7.43018701550322e-22,3,1,"Forest_disc_25","BRcancer"
1,10,7.30132800022544e-23,73.6,49.5,"35","35","35","35","35","35","35","35",0.4305,0.4269,"0.0178","0.0178","0.0178","0.0178","0.0178","0.0178","0.0178","0.0178",7.30132800022544e-22,3,1,"Forest_disc_25","BRcancer"
2,2,2.55907221726904e-09,34.2,23.7,"NA","NA","NA","NA","NA","NA","NA","NA",0.6068,0.3932,"NA","NA","NA","NA","NA","NA","NA","NA",2.55907221726904e-09,2,1,"Forest_disc_25","BRcancer"
2,3,3.71106806902673e-20,34.9,27,"20.6","NA","NA","NA","NA","NA","NA","NA",0.4951,0.375,"0.1299","NA","NA","NA","NA","NA","NA","NA",3.71106806902673e-19,3,1,"Forest_disc_25","BRcancer"
2,4,9.06303280859485e-21,34.9,27,"20.6","20.6","NA","NA","NA","NA","NA","NA",0.4954,0.3752,"0.0647","0.0647","NA","NA","NA","NA","NA","NA",9.06303280859485e-20,3,1,"Forest_disc_25","BRcancer"
2,5,3.58048699148747e-20,34.8,27,"20.6","20.6","20.6","NA","NA","NA","NA","NA",0.4957,0.3754,"0.043","0.043","0.043","NA","NA","NA","NA","NA",3.58048699148747e-19,3,1,"Forest_disc_25","BRcancer"
2,6,3.25941166021049e-20,34.8,27,"20.6","20.6","20.6","20.6","NA","NA","NA","NA",0.496,0.3755,"0.0321","0.0321","0.0321","0.0321","NA","NA","NA","NA",3.25941166021049e-19,3,1,"Forest_disc_25","BRcancer"
2,7,3.54114707180219e-20,34.8,27,"20.6","20.6","20.6","20.6","20.6","NA","NA","NA",0.4962,0.3757,"0.0256","0.0256","0.0256","0.0256","0.0256","NA","NA","NA",3.54114707180219e-19,3,1,"Forest_disc_25","BRcancer"
2,8,2.4794557635596e-20,34.8,27,"20.6","20.6","20.6","20.6","20.6","20.6","NA","NA",0.4964,0.3758,"0.0213","0.0213","0.0213","0.0213","0.0213","0.0213","NA","NA",2.4794557635596e-19,3,1,"Forest_disc_25","BRcancer"
2,9,3.61448455794953e-20,34.8,27,"20.6","20.6","20.6","20.6","20.6","20.6","20.6","NA",0.4966,0.376,"0.0182","0.0182","0.0182","0.0182","0.0182","0.0182","0.0182","NA",3.61448455794953e-19,3,1,"Forest_disc_25","BRcancer"
2,10,3.30497303332407e-20,34.8,27,"20.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6",0.4967,0.3761,"0.0159","0.0159","0.0159","0.0159","0.0159","0.0159","0.0159","0.0159",3.30497303332407e-19,3,1,"Forest_disc_25","BRcancer"
3,2,8.34911710437961e-11,88.9,109.9,"NA","NA","NA","NA","NA","NA","NA","NA",0.7451,0.2549,"NA","NA","NA","NA","NA","NA","NA","NA",8.34911710437961e-11,2,1,"Forest_disc_25","BRcancer"
3,3,2.05455447170029e-21,92,113.3,"79.5","NA","NA","NA","NA","NA","NA","NA",0.7412,0.1633,"0.0955","NA","NA","NA","NA","NA","NA","NA",2.05455447170029e-20,3,1,"Forest_disc_25","BRcancer"
3,4,2.07475961308324e-21,92,113.3,"79.5","79.5","NA","NA","NA","NA","NA","NA",0.7412,0.1633,"0.0477","0.0477","NA","NA","NA","NA","NA","NA",2.07475961308324e-20,3,1,"Forest_disc_25","BRcancer"
3,5,7.91080401317516e-22,92,113.3,"79.5","79.5","79.5","NA","NA","NA","NA","NA",0.7412,0.1633,"0.0318","0.0318","0.0318","NA","NA","NA","NA","NA",7.91080401317516e-21,3,1,"Forest_disc_25","BRcancer"
3,6,2.0988195402588e-21,92,113.3,"79.5","79.5","79.5","79.5","NA","NA","NA","NA",0.7412,0.1633,"0.0239","0.0239","0.0239","0.0239","NA","NA","NA","NA",2.0988195402588e-20,3,1,"Forest_disc_25","BRcancer"
3,7,1.5354367820101e-21,92,113.3,"79.5","79.5","79.5","79.5","79.5","NA","NA","NA",0.7413,0.1633,"0.0191","0.0191","0.0191","0.0191","0.0191","NA","NA","NA",1.5354367820101e-20,3,1,"Forest_disc_25","BRcancer"
3,8,2.04206826274048e-21,92,113.3,"79.5","79.5","79.5","79.5","79.5","79.5","NA","NA",0.7413,0.1634,"0.0159","0.0159","0.0159","0.0159","0.0159","0.0159","NA","NA",2.04206826274048e-20,3,1,"Forest_disc_25","BRcancer"
3,9,1.92545974464053e-21,92,113.3,"79.5","79.5","79.5","79.5","79.5","79.5","79.5","NA",0.7413,0.1634,"0.0136","0.0136","0.0136","0.0136","0.0136","0.0136","0.0136","NA",1.92545974464053e-20,3,1,"Forest_disc_25","BRcancer"
3,10,2.02394362949393e-21,92,113.3,"79.5","79.5","79.5","79.5","79.5","79.5","79.5","79.5",0.7413,0.1634,"0.0119","0.0119","0.0119","0.0119","0.0119","0.0119","0.0119","0.0119",2.02394362949393e-20,3,1,"Forest_disc_25","BRcancer"
