"var","Split","freq","opt_value","iter","forest","name"
1,35,0.1428,5.9423801771303e-23,1,"Forest_disc_25","BRcancer"
1,49.5,0.4268,5.9423801771303e-23,1,"Forest_disc_25","BRcancer"
1,73.6,0.4305,5.9423801771303e-23,1,"Forest_disc_25","BRcancer"
2,20.6,0.1294,9.06303280859485e-21,1,"Forest_disc_25","BRcancer"
2,27,0.3752,9.06303280859485e-21,1,"Forest_disc_25","BRcancer"
2,34.9,0.4954,9.06303280859485e-21,1,"Forest_disc_25","BRcancer"
3,79.5,0.0954,7.91080401317516e-22,1,"Forest_disc_25","BRcancer"
3,92,0.7412,7.91080401317516e-22,1,"Forest_disc_25","BRcancer"
3,113.3,0.1633,7.91080401317516e-22,1,"Forest_disc_25","BRcancer"
4,2.78,0.4422,3.71023425310324e-24,1,"Forest_disc_25","BRcancer"
4,7.1,0.3761,3.71023425310324e-24,1,"Forest_disc_25","BRcancer"
4,23.36,0.1816,3.71023425310324e-24,1,"Forest_disc_25","BRcancer"
5,0.621,0.3204,2.68504213540936e-21,1,"Forest_disc_25","BRcancer"
5,2.597,0.4776,2.68504213540936e-21,1,"Forest_disc_25","BRcancer"
5,5.914,0.2021,2.68504213540936e-21,1,"Forest_disc_25","BRcancer"
6,6.07,0.3837,1.64183240909357e-25,1,"Forest_disc_25","BRcancer"
6,24.22,0.4211,1.64183240909357e-25,1,"Forest_disc_25","BRcancer"
6,59.76,0.1951,1.64183240909357e-25,1,"Forest_disc_25","BRcancer"
7,2.31,0.3102,1.6778042753194e-25,1,"Forest_disc_25","BRcancer"
7,9.43,0.5431,1.6778042753194e-25,1,"Forest_disc_25","BRcancer"
7,26.54,0.1469,1.6778042753194e-25,1,"Forest_disc_25","BRcancer"
8,3.34,0.112,1.52899591749785e-23,1,"Forest_disc_25","BRcancer"
8,11.57,0.6814,1.52899591749785e-23,1,"Forest_disc_25","BRcancer"
8,24.22,0.2064,1.52899591749785e-23,1,"Forest_disc_25","BRcancer"
9,68,0.1617,2.24301420875097e-33,1,"Forest_disc_25","BRcancer"
9,516.5,0.6649,2.24301420875097e-33,1,"Forest_disc_25","BRcancer"
9,1254.3,0.1731,2.24301420875097e-33,1,"Forest_disc_25","BRcancer"
1,34.5,0.1152,4.75560489228191e-23,1,"Forest_disc_50","BRcancer"
1,49.1,0.4038,4.75560489228191e-23,1,"Forest_disc_50","BRcancer"
1,72.1,0.4808,4.75560489228191e-23,1,"Forest_disc_50","BRcancer"
2,19,0.1074,1.12272263290245e-20,1,"Forest_disc_50","BRcancer"
2,25.8,0.4923,1.12272263290245e-20,1,"Forest_disc_50","BRcancer"
2,34.5,0.4006,1.12272263290245e-20,1,"Forest_disc_50","BRcancer"
3,73.5,0.0519,3.66530333681019e-23,1,"Forest_disc_50","BRcancer"
3,92.4,0.818,3.66530333681019e-23,1,"Forest_disc_50","BRcancer"
3,120,0.1301,3.66530333681019e-23,1,"Forest_disc_50","BRcancer"
4,2.67,0.3544,2.61550628086986e-24,1,"Forest_disc_50","BRcancer"
4,8.48,0.4679,2.61550628086986e-24,1,"Forest_disc_50","BRcancer"
4,24.07,0.1779,2.61550628086986e-24,1,"Forest_disc_50","BRcancer"
5,0.555,0.3716,7.03941135613676e-22,1,"Forest_disc_50","BRcancer"
5,2.227,0.4725,7.03941135613676e-22,1,"Forest_disc_50","BRcancer"
5,5.667,0.1561,7.03941135613676e-22,1,"Forest_disc_50","BRcancer"
