"var","Split","freq","opt_value","iter","forest","name"
1,33,0.1014,1.06941257056813e-32,1,"Forest_disc_NLD50","BRcancer"
1,49.8,0.416,1.06941257056813e-32,1,"Forest_disc_NLD50","BRcancer"
1,72.1,0.0956,1.06941257056813e-32,1,"Forest_disc_NLD50","BRcancer"
1,74.1,0.3869,1.06941257056813e-32,1,"Forest_disc_NLD50","BRcancer"
2,21.6,0.205,4.02337353456152e-32,1,"Forest_disc_NLD50","BRcancer"
2,28.5,0.4491,4.02337353456152e-32,1,"Forest_disc_NLD50","BRcancer"
2,34.2,0.2033,4.02337353456152e-32,1,"Forest_disc_NLD50","BRcancer"
2,35.5,0.1425,4.02337353456152e-32,1,"Forest_disc_NLD50","BRcancer"
3,72,0.0662,2.92072810525637e-32,1,"Forest_disc_NLD50","BRcancer"
3,91.2,0.7412,2.92072810525637e-32,1,"Forest_disc_NLD50","BRcancer"
3,102.6,0.0932,2.92072810525637e-32,1,"Forest_disc_NLD50","BRcancer"
3,110.5,0.0335,2.92072810525637e-32,1,"Forest_disc_NLD50","BRcancer"
3,131.4,0.0659,2.92072810525637e-32,1,"Forest_disc_NLD50","BRcancer"
4,3.03,0.331,3.77218922629455e-32,1,"Forest_disc_NLD50","BRcancer"
4,3.22,0.0296,3.77218922629455e-32,1,"Forest_disc_NLD50","BRcancer"
4,3.3,0.0131,3.77218922629455e-32,1,"Forest_disc_NLD50","BRcancer"
4,3.64,0.0101,3.77218922629455e-32,1,"Forest_disc_NLD50","BRcancer"
4,9.95,0.4762,3.77218922629455e-32,1,"Forest_disc_NLD50","BRcancer"
4,12.83,0.0018,3.77218922629455e-32,1,"Forest_disc_NLD50","BRcancer"
4,18.66,0.0324,3.77218922629455e-32,1,"Forest_disc_NLD50","BRcancer"
4,27.03,0.0984,3.77218922629455e-32,1,"Forest_disc_NLD50","BRcancer"
4,31.22,0.0073,3.77218922629455e-32,1,"Forest_disc_NLD50","BRcancer"
5,0.516,0.3634,1.54913963118828e-34,1,"Forest_disc_NLD50","BRcancer"
5,3.028,0.5523,1.54913963118828e-34,1,"Forest_disc_NLD50","BRcancer"
5,3.493,0.0188,1.54913963118828e-34,1,"Forest_disc_NLD50","BRcancer"
5,3.521,0.0043,1.54913963118828e-34,1,"Forest_disc_NLD50","BRcancer"
5,5.33,0.0067,1.54913963118828e-34,1,"Forest_disc_NLD50","BRcancer"
5,9.502,0.0378,1.54913963118828e-34,1,"Forest_disc_NLD50","BRcancer"
5,10.142,0.0168,1.54913963118828e-34,1,"Forest_disc_NLD50","BRcancer"
6,7.42,0.4138,4.94614194786251e-31,1,"Forest_disc_NLD50","BRcancer"
6,14.56,0.087,4.94614194786251e-31,1,"Forest_disc_NLD50","BRcancer"
6,29.18,0.3334,4.94614194786251e-31,1,"Forest_disc_NLD50","BRcancer"
