"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
2,2,3.7464084664655e-07,16.2,41.1,NA,NA,NA,NA,NA,NA,NA,NA,0.7491,0.2509,NA,NA,NA,NA,NA,NA,NA,NA,3.7464084664655e-07,2,1,"Forest_disc_25","german"
2,3,6.14298826641604e-25,20.8,45.2,7,NA,NA,NA,NA,NA,NA,NA,0.6925,0.1545,0.1531,NA,NA,NA,NA,NA,NA,NA,6.14298826641604e-24,3,1,"Forest_disc_25","german"
2,4,6.28886866020796e-25,20.8,45.2,7,7,NA,NA,NA,NA,NA,NA,0.6925,0.1545,0.0765,0.0765,NA,NA,NA,NA,NA,NA,6.28886866020796e-24,3,1,"Forest_disc_25","german"
2,5,6.15374487894576e-25,20.8,45.2,7,7,7,NA,NA,NA,NA,NA,0.6925,0.1545,0.051,0.051,0.051,NA,NA,NA,NA,NA,6.15374487894576e-24,3,1,"Forest_disc_25","german"
2,6,6.38042968066937e-25,20.8,45.2,7,7,7,7,NA,NA,NA,NA,0.6925,0.1545,0.0383,0.0383,0.0383,0.0383,NA,NA,NA,NA,6.38042968066937e-24,3,1,"Forest_disc_25","german"
2,7,5.97547574962066e-25,20.8,45.2,7,7,7,7,7,NA,NA,NA,0.6925,0.1545,0.0306,0.0306,0.0306,0.0306,0.0306,NA,NA,NA,5.97547574962066e-24,3,1,"Forest_disc_25","german"
2,8,6.22357241721624e-25,20.8,45.2,7,7,7,7,7,7,NA,NA,0.6925,0.1545,0.0255,0.0255,0.0255,0.0255,0.0255,0.0255,NA,NA,6.22357241721624e-24,3,1,"Forest_disc_25","german"
2,9,6.03482754105044e-25,20.8,45.2,7,7,7,7,7,7,7,NA,0.6925,0.1545,0.0219,0.0219,0.0219,0.0219,0.0219,0.0219,0.0219,NA,6.03482754105044e-24,3,1,"Forest_disc_25","german"
2,10,6.30320426806043e-25,20.8,45.2,7,7,7,7,7,7,7,7,0.6925,0.1545,0.0191,0.0191,0.0191,0.0191,0.0191,0.0191,0.0191,0.0191,6.30320426806043e-24,3,1,"Forest_disc_25","german"
5,2,1.49356367761672e-06,2180.4,9466.4,NA,NA,NA,NA,NA,NA,NA,NA,0.7959,0.2041,NA,NA,NA,NA,NA,NA,NA,NA,1.49356367761672e-06,2,1,"Forest_disc_25","german"
