"var","Split","freq","opt_value","iter","forest","name"
1,0.6,0.188,5.23481026633445e-23,1,"Forest_disc_25","PIMA"
1,4.5,0.5983,5.23481026633445e-23,1,"Forest_disc_25","PIMA"
1,10.6,0.2137,5.23481026633445e-23,1,"Forest_disc_25","PIMA"
2,22,0.018,7.41964353042606e-27,1,"Forest_disc_25","PIMA"
2,110.3,0.6058,7.41964353042606e-27,1,"Forest_disc_25","PIMA"
2,159.5,0.3762,7.41964353042606e-27,1,"Forest_disc_25","PIMA"
3,12,0.023,3.85578374617597e-24,1,"Forest_disc_25","PIMA"
3,61.8,0.5228,3.85578374617597e-24,1,"Forest_disc_25","PIMA"
3,87.4,0.4544,3.85578374617597e-24,1,"Forest_disc_25","PIMA"
4,3.5,0.1044,2.08724734988292e-25,1,"Forest_disc_25","PIMA"
4,22,0.5319,2.08724734988292e-25,1,"Forest_disc_25","PIMA"
4,40.7,0.3637,2.08724734988292e-25,1,"Forest_disc_25","PIMA"
5,9,0.1918,3.34551727448919e-31,1,"Forest_disc_25","PIMA"
5,139.1,0.7045,3.34551727448919e-31,1,"Forest_disc_25","PIMA"
5,408.7,0.1038,3.34551727448919e-31,1,"Forest_disc_25","PIMA"
6,9.24,0.0174,6.44134528761078e-23,1,"Forest_disc_25","PIMA"
6,29.55,0.6584,6.44134528761078e-23,1,"Forest_disc_25","PIMA"
6,41.81,0.3244,6.44134528761078e-23,1,"Forest_disc_25","PIMA"
7,0.142,0.2216,3.00675665403886e-21,1,"Forest_disc_25","PIMA"
7,0.472,0.6082,3.00675665403886e-21,1,"Forest_disc_25","PIMA"
7,1.096,0.17,3.00675665403886e-21,1,"Forest_disc_25","PIMA"
8,21.5,0.1698,8.56820261225458e-24,1,"Forest_disc_25","PIMA"
8,34.8,0.5909,8.56820261225458e-24,1,"Forest_disc_25","PIMA"
8,57.5,0.2396,8.56820261225458e-24,1,"Forest_disc_25","PIMA"
1,0.7,0.2096,5.44561455353709e-25,1,"Forest_disc_50","PIMA"
1,4.8,0.5546,5.44561455353709e-25,1,"Forest_disc_50","PIMA"
1,10.3,0.2358,5.44561455353709e-25,1,"Forest_disc_50","PIMA"
2,28,0.023,2.00914008837851e-25,1,"Forest_disc_50","PIMA"
2,110.5,0.6251,2.00914008837851e-25,1,"Forest_disc_50","PIMA"
2,161.8,0.3521,2.00914008837851e-25,1,"Forest_disc_50","PIMA"
3,12,0.0264,2.72719439324957e-24,1,"Forest_disc_50","PIMA"
3,56.2,0.4256,2.72719439324957e-24,1,"Forest_disc_50","PIMA"
3,84.7,0.5482,2.72719439324957e-24,1,"Forest_disc_50","PIMA"
4,3.5,0.0885,6.69841047438665e-25,1,"Forest_disc_50","PIMA"
4,21.4,0.5224,6.69841047438665e-25,1,"Forest_disc_50","PIMA"
