"var","Split","freq","opt_value","iter","forest","name"
1,3.5,0.1189,8.53483843530505e-28,1,"Forest_disc_25","Segmentation"
1,87.1,0.6049,8.53483843530505e-28,1,"Forest_disc_25","Segmentation"
1,196,0.2762,8.53483843530505e-28,1,"Forest_disc_25","Segmentation"
2,51,0.0198,1.86574918442354e-24,1,"Forest_disc_25","Segmentation"
2,123.1,0.5509,1.86574918442354e-24,1,"Forest_disc_25","Segmentation"
2,160.3,0.4292,1.86574918442354e-24,1,"Forest_disc_25","Segmentation"
3,0.05555556,1,0,1,"Forest_disc_25","Segmentation"
4,0.05559228,0.2862,1.14947847747224e-16,1,"Forest_disc_25","Segmentation"
4,0.05559229,0.5724,1.14947847747224e-16,1,"Forest_disc_25","Segmentation"
4,0.11192195,0.0702,1.14947847747224e-16,1,"Forest_disc_25","Segmentation"
4,0.16663364,0.0713,1.14947847747224e-16,1,"Forest_disc_25","Segmentation"
5,0.05842587,0.4214,2.01532504318301e-25,1,"Forest_disc_25","Segmentation"
5,3.68505445,0.5316,2.01532504318301e-25,1,"Forest_disc_25","Segmentation"
5,19.30217504,0.0471,2.01532504318301e-25,1,"Forest_disc_25","Segmentation"
6,0.075043784,0.8062,3.12739949670287e-31,1,"Forest_disc_25","Segmentation"
6,27.187190282,0.1814,3.12739949670287e-31,1,"Forest_disc_25","Segmentation"
6,176.735662319,0.0124,3.12739949670287e-31,1,"Forest_disc_25","Segmentation"
7,0.08610183,0.534,1.42860921093129e-25,1,"Forest_disc_25","Segmentation"
7,4.45200735,0.4205,1.42860921093129e-25,1,"Forest_disc_25","Segmentation"
7,21.5751196,0.0457,1.42860921093129e-25,1,"Forest_disc_25","Segmentation"
8,0.04681839,0.8519,4.93337112447145e-32,1,"Forest_disc_25","Segmentation"
8,62.27318794,0.1307,4.93337112447145e-32,1,"Forest_disc_25","Segmentation"
8,388.45060068,0.0172,4.93337112447145e-32,1,"Forest_disc_25","Segmentation"
9,0.1578595,0.3568,1.76371195170786e-27,1,"Forest_disc_25","Segmentation"
9,20.5805299,0.5896,1.76371195170786e-27,1,"Forest_disc_25","Segmentation"
9,70.0999525,0.0537,1.76371195170786e-27,1,"Forest_disc_25","Segmentation"
10,0.08609459,0.402,8.87185546582702e-28,1,"Forest_disc_25","Segmentation"
10,21.48416552,0.5186,8.87185546582702e-28,1,"Forest_disc_25","Segmentation"
10,69.65235675,0.0794,8.87185546582702e-28,1,"Forest_disc_25","Segmentation"
11,0.1281742,0.2856,6.23956355632158e-27,1,"Forest_disc_25","Segmentation"
11,27.8642624,0.5889,6.23956355632158e-27,1,"Forest_disc_25","Segmentation"
11,98.6646514,0.1257,6.23956355632158e-27,1,"Forest_disc_25","Segmentation"
12,0.06866966,0.2562,1.44528048607377e-26,1,"Forest_disc_25","Segmentation"
12,19.99307627,0.6327,1.44528048607377e-26,1,"Forest_disc_25","Segmentation"
12,69.68004562,0.1112,1.44528048607377e-26,1,"Forest_disc_25","Segmentation"
13,-36.32241708,0.0165,2.81995942194342e-25,1,"Forest_disc_25","Segmentation"
13,-16.34505467,0.4465,2.81995942194342e-25,1,"Forest_disc_25","Segmentation"
13,-1.57977394,0.5372,2.81995942194342e-25,1,"Forest_disc_25","Segmentation"
14,-2.1545324,0.2064,1.51398699716374e-26,1,"Forest_disc_25","Segmentation"
14,14.8488638,0.6255,1.51398699716374e-26,1,"Forest_disc_25","Segmentation"
14,41.9967479,0.1679,1.51398699716374e-26,1,"Forest_disc_25","Segmentation"
15,-25.0839368,0.0327,8.91058961208883e-25,1,"Forest_disc_25","Segmentation"
15,-11.3306637,0.5618,8.91058961208883e-25,1,"Forest_disc_25","Segmentation"
15,-1.0075536,0.4056,8.91058961208883e-25,1,"Forest_disc_25","Segmentation"
16,0.5744713,0.3128,1.76899497118489e-27,1,"Forest_disc_25","Segmentation"
16,27.5546511,0.5853,1.76899497118489e-27,1,"Forest_disc_25","Segmentation"
16,94.7590776,0.1017,1.76899497118489e-27,1,"Forest_disc_25","Segmentation"
17,0.1616991,0.1016,1.41830172840167e-17,1,"Forest_disc_25","Segmentation"
17,0.4319684,0.6454,1.41830172840167e-17,1,"Forest_disc_25","Segmentation"
17,0.840273,0.2529,1.41830172840167e-17,1,"Forest_disc_25","Segmentation"
18,-2.09294431,0.1103,2.0301364866106e-22,1,"Forest_disc_25","Segmentation"
18,-2.09294428,0.1103,2.0301364866106e-22,1,"Forest_disc_25","Segmentation"
18,-2.09294425,0.1103,2.0301364866106e-22,1,"Forest_disc_25","Segmentation"
18,-2.09294417,0.1103,2.0301364866106e-22,1,"Forest_disc_25","Segmentation"
18,-2.09294414,0.2206,2.0301364866106e-22,1,"Forest_disc_25","Segmentation"
18,-2.09294397,0.1103,2.0301364866106e-22,1,"Forest_disc_25","Segmentation"
18,-2.0929439,0.1103,2.0301364866106e-22,1,"Forest_disc_25","Segmentation"
18,-0.36694946,0.0732,2.0301364866106e-22,1,"Forest_disc_25","Segmentation"
18,0.94118909,0.0445,2.0301364866106e-22,1,"Forest_disc_25","Segmentation"
1,5.5,0.1022,1.55545520806425e-27,1,"Forest_disc_50","Segmentation"
1,88.7,0.6407,1.55545520806425e-27,1,"Forest_disc_50","Segmentation"
1,201.8,0.2571,1.55545520806425e-27,1,"Forest_disc_50","Segmentation"
2,61,0.0228,3.69812303054815e-27,1,"Forest_disc_50","Segmentation"
2,128.3,0.6719,3.69812303054815e-27,1,"Forest_disc_50","Segmentation"
2,166.9,0.3053,3.69812303054815e-27,1,"Forest_disc_50","Segmentation"
3,0.05555556,1,0,1,"Forest_disc_50","Segmentation"
4,0.05555556,1,0,1,"Forest_disc_50","Segmentation"
5,0.03007386,0.4746,6.43903460861842e-26,1,"Forest_disc_50","Segmentation"
5,3.68995234,0.5038,6.43903460861842e-26,1,"Forest_disc_50","Segmentation"
5,21.5890717,0.0216,6.43903460861842e-26,1,"Forest_disc_50","Segmentation"
6,0.01871081,0.9192,1.94089872658458e-34,1,"Forest_disc_50","Segmentation"
6,53.31992072,0.0696,1.94089872658458e-34,1,"Forest_disc_50","Segmentation"
6,510.34931341,0.0113,1.94089872658458e-34,1,"Forest_disc_50","Segmentation"
7,1.05115583,0.7913,1.60663255143178e-25,1,"Forest_disc_50","Segmentation"
7,9.07619586,0.1677,1.60663255143178e-25,1,"Forest_disc_50","Segmentation"
7,23.37526873,0.0411,1.60663255143178e-25,1,"Forest_disc_50","Segmentation"
8,0.06118698,0.875,9.19709376048308e-32,1,"Forest_disc_50","Segmentation"
8,64.16477501,0.1155,9.19709376048308e-32,1,"Forest_disc_50","Segmentation"
