"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
2,2,6.07393801949003e-07,8.7,20.1,NA,NA,NA,NA,NA,NA,NA,NA,0.5255,0.4745,NA,NA,NA,NA,NA,NA,NA,NA,6.07393801949003e-07,2,1,"Forest_disc_25","TAE"
2,3,1.39365671217772e-22,10.3,20.7,2.6,NA,NA,NA,NA,NA,NA,NA,0.5351,0.4069,0.058,NA,NA,NA,NA,NA,NA,NA,1.39365671217772e-21,3,1,"Forest_disc_25","TAE"
2,4,1.57104954178752e-22,10.3,20.7,2.6,2.6,NA,NA,NA,NA,NA,NA,0.5351,0.4069,0.029,0.029,NA,NA,NA,NA,NA,NA,1.57104954178752e-21,3,1,"Forest_disc_25","TAE"
2,5,1.57611019114494e-22,10.3,20.7,2.6,2.6,2.6,NA,NA,NA,NA,NA,0.5351,0.4069,0.0193,0.0193,0.0193,NA,NA,NA,NA,NA,1.57611019114494e-21,3,1,"Forest_disc_25","TAE"
2,6,1.57525148031343e-22,10.3,20.7,2.5,2.5,2.5,2.5,NA,NA,NA,NA,0.5352,0.407,0.0145,0.0145,0.0145,0.0145,NA,NA,NA,NA,1.57525148031343e-21,3,1,"Forest_disc_25","TAE"
2,7,1.57528834293194e-22,10.3,20.7,2.5,2.5,2.5,2.5,2.5,NA,NA,NA,0.5352,0.407,0.0116,0.0116,0.0116,0.0116,0.0116,NA,NA,NA,1.57528834293194e-21,3,1,"Forest_disc_25","TAE"
2,8,1.56676146089047e-22,10.3,20.7,2.5,2.5,2.5,2.5,2.5,2.5,NA,NA,0.5352,0.407,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,NA,NA,1.56676146089047e-21,3,1,"Forest_disc_25","TAE"
2,9,1.57299431332571e-22,10.3,20.7,2.5,2.5,2.5,2.5,2.5,2.5,2.5,NA,0.5352,0.407,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083,0.0083,NA,1.57299431332571e-21,3,1,"Forest_disc_25","TAE"
2,10,1.57167103183452e-22,10.3,20.7,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5352,0.407,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,0.0072,1.57167103183452e-21,3,1,"Forest_disc_25","TAE"
3,2,2.29259209492597e-06,4.7,17.6,NA,NA,NA,NA,NA,NA,NA,NA,0.6188,0.3812,NA,NA,NA,NA,NA,NA,NA,NA,2.29259209492597e-06,2,1,"Forest_disc_25","TAE"
