"var","Split","freq","opt_value","iter","forest","name"
1,0.151,0.025,4.96952754563479e-17,1,"Forest_disc_25","Yeast"
1,0.45,0.6892,4.96952754563479e-17,1,"Forest_disc_25","Yeast"
1,0.723,0.2858,4.96952754563479e-17,1,"Forest_disc_25","Yeast"
2,0.155,0.0232,8.27423917827877e-17,1,"Forest_disc_25","Yeast"
2,0.45,0.735,8.27423917827877e-17,1,"Forest_disc_25","Yeast"
2,0.719,0.242,8.27423917827877e-17,1,"Forest_disc_25","Yeast"
3,0.311,0.066,2.41285357713109e-18,1,"Forest_disc_25","Yeast"
3,0.469,0.6399,2.41285357713109e-18,1,"Forest_disc_25","Yeast"
3,0.602,0.294,2.41285357713109e-18,1,"Forest_disc_25","Yeast"
4,0.057,0.1011,1.12758670020684e-18,1,"Forest_disc_25","Yeast"
4,0.248,0.7964,1.12758670020684e-18,1,"Forest_disc_25","Yeast"
4,0.579,0.1025,1.12758670020684e-18,1,"Forest_disc_25","Yeast"
7,0.308,0.0364,3.04560685489269e-18,1,"Forest_disc_25","Yeast"
7,0.472,0.5926,3.04560685489269e-18,1,"Forest_disc_25","Yeast"
7,0.554,0.3712,3.04560685489269e-18,1,"Forest_disc_25","Yeast"
8,0.102,0.0476,3.27756190943547e-18,1,"Forest_disc_25","Yeast"
8,0.28,0.8608,3.27756190943547e-18,1,"Forest_disc_25","Yeast"
8,0.587,0.0916,3.27756190943547e-18,1,"Forest_disc_25","Yeast"
1,0.151,0.0232,2.79681271013119e-17,1,"Forest_disc_50","Yeast"
1,0.452,0.6893,2.79681271013119e-17,1,"Forest_disc_50","Yeast"
1,0.724,0.2877,2.79681271013119e-17,1,"Forest_disc_50","Yeast"
2,0.205,0.039,2.67301595482786e-16,1,"Forest_disc_50","Yeast"
2,0.455,0.7148,2.67301595482786e-16,1,"Forest_disc_50","Yeast"
2,0.702,0.2462,2.67301595482786e-16,1,"Forest_disc_50","Yeast"
3,0.314,0.0657,2.46884834460653e-18,1,"Forest_disc_50","Yeast"
3,0.464,0.6117,2.46884834460653e-18,1,"Forest_disc_50","Yeast"
3,0.592,0.3225,2.46884834460653e-18,1,"Forest_disc_50","Yeast"
4,0.046,0.0798,2.69819999165055e-18,1,"Forest_disc_50","Yeast"
4,0.238,0.7851,2.69819999165055e-18,1,"Forest_disc_50","Yeast"
4,0.55,0.1352,2.69819999165055e-18,1,"Forest_disc_50","Yeast"
7,0.3,0.0285,3.02864456666612e-18,1,"Forest_disc_50","Yeast"
7,0.471,0.5956,3.02864456666612e-18,1,"Forest_disc_50","Yeast"
7,0.555,0.376,3.02864456666612e-18,1,"Forest_disc_50","Yeast"
8,0.073,0.0322,5.66416791323204e-18,1,"Forest_disc_50","Yeast"
8,0.28,0.8699,5.66416791323204e-18,1,"Forest_disc_50","Yeast"
8,0.58,0.098,5.66416791323204e-18,1,"Forest_disc_50","Yeast"
1,0.15,0.0228,7.28049869727509e-18,1,"Forest_disc_75","Yeast"
1,0.453,0.7012,7.28049869727509e-18,1,"Forest_disc_75","Yeast"
1,0.727,0.276,7.28049869727509e-18,1,"Forest_disc_75","Yeast"
2,0.15,0.0188,1.4685700163816e-16,1,"Forest_disc_75","Yeast"
2,0.445,0.703,1.4685700163816e-16,1,"Forest_disc_75","Yeast"
2,0.691,0.2781,1.4685700163816e-16,1,"Forest_disc_75","Yeast"
3,0.311,0.0644,1.47434326304414e-17,1,"Forest_disc_75","Yeast"
3,0.463,0.6273,1.47434326304414e-17,1,"Forest_disc_75","Yeast"
3,0.595,0.3083,1.47434326304414e-17,1,"Forest_disc_75","Yeast"
4,0.061,0.1109,2.12251127900302e-18,1,"Forest_disc_75","Yeast"
4,0.25,0.7767,2.12251127900302e-18,1,"Forest_disc_75","Yeast"
4,0.587,0.1124,2.12251127900302e-18,1,"Forest_disc_75","Yeast"
7,0.306,0.0345,1.16854309640973e-18,1,"Forest_disc_75","Yeast"
7,0.47,0.5771,1.16854309640973e-18,1,"Forest_disc_75","Yeast"
7,0.555,0.3885,1.16854309640973e-18,1,"Forest_disc_75","Yeast"
8,0.121,0.0738,5.7722602216412e-19,1,"Forest_disc_75","Yeast"
8,0.289,0.8313,5.7722602216412e-19,1,"Forest_disc_75","Yeast"
8,0.612,0.0949,5.7722602216412e-19,1,"Forest_disc_75","Yeast"
1,0.15,0.024,4.21262625149591e-18,1,"Forest_disc_100","Yeast"
1,0.453,0.698,4.21262625149591e-18,1,"Forest_disc_100","Yeast"
1,0.73,0.2779,4.21262625149591e-18,1,"Forest_disc_100","Yeast"
2,0.156,0.0198,5.01394840163286e-17,1,"Forest_disc_100","Yeast"
2,0.45,0.7226,5.01394840163286e-17,1,"Forest_disc_100","Yeast"
2,0.697,0.2577,5.01394840163286e-17,1,"Forest_disc_100","Yeast"
3,0.306,0.0558,2.88837072074024e-18,1,"Forest_disc_100","Yeast"
3,0.461,0.6303,2.88837072074024e-18,1,"Forest_disc_100","Yeast"
3,0.593,0.314,2.88837072074024e-18,1,"Forest_disc_100","Yeast"
4,0.038,0.071,9.03142224079591e-19,1,"Forest_disc_100","Yeast"
4,0.238,0.7919,9.03142224079591e-19,1,"Forest_disc_100","Yeast"
4,0.537,0.1371,9.03142224079591e-19,1,"Forest_disc_100","Yeast"
7,0.31,0.0321,5.73156384435763e-18,1,"Forest_disc_100","Yeast"
7,0.474,0.6166,5.73156384435763e-18,1,"Forest_disc_100","Yeast"
7,0.56,0.3512,5.73156384435763e-18,1,"Forest_disc_100","Yeast"
8,0.074,0.0372,1.01458348091448e-18,1,"Forest_disc_100","Yeast"
8,0.28,0.8563,1.01458348091448e-18,1,"Forest_disc_100","Yeast"
8,0.589,0.1064,1.01458348091448e-18,1,"Forest_disc_100","Yeast"
1,0.16,0.027,2.11840029746858e-19,1,"Forest_disc_125","Yeast"
1,0.455,0.703,2.11840029746858e-19,1,"Forest_disc_125","Yeast"
1,0.732,0.2699,2.11840029746858e-19,1,"Forest_disc_125","Yeast"
2,0.15,0.0196,1.76651310537319e-17,1,"Forest_disc_125","Yeast"
2,0.445,0.7019,1.76651310537319e-17,1,"Forest_disc_125","Yeast"
2,0.689,0.2789,1.76651310537319e-17,1,"Forest_disc_125","Yeast"
3,0.305,0.0524,9.33091718309812e-18,1,"Forest_disc_125","Yeast"
3,0.455,0.6029,9.33091718309812e-18,1,"Forest_disc_125","Yeast"
3,0.584,0.3448,9.33091718309812e-18,1,"Forest_disc_125","Yeast"
4,0.031,0.064,3.41648690218714e-18,1,"Forest_disc_125","Yeast"
4,0.233,0.7992,3.41648690218714e-18,1,"Forest_disc_125","Yeast"
4,0.539,0.1366,3.41648690218714e-18,1,"Forest_disc_125","Yeast"
7,0.274,0.0188,7.08802537577745e-19,1,"Forest_disc_125","Yeast"
7,0.465,0.5565,7.08802537577745e-19,1,"Forest_disc_125","Yeast"
7,0.554,0.4247,7.08802537577745e-19,1,"Forest_disc_125","Yeast"
8,0.057,0.0312,5.42836860971766e-18,1,"Forest_disc_125","Yeast"
8,0.279,0.8716,5.42836860971766e-18,1,"Forest_disc_125","Yeast"
8,0.6,0.097,5.42836860971766e-18,1,"Forest_disc_125","Yeast"
1,0.151,0.0252,2.54379309026353e-17,1,"Forest_disc_150","Yeast"
1,0.45,0.689,2.54379309026353e-17,1,"Forest_disc_150","Yeast"
1,0.726,0.2859,2.54379309026353e-17,1,"Forest_disc_150","Yeast"
2,0.155,0.0196,1.40436392958815e-16,1,"Forest_disc_150","Yeast"
2,0.447,0.7145,1.40436392958815e-16,1,"Forest_disc_150","Yeast"
2,0.69,0.2659,1.40436392958815e-16,1,"Forest_disc_150","Yeast"
3,0.328,0.0832,1.52865177736235e-17,1,"Forest_disc_150","Yeast"
3,0.468,0.6041,1.52865177736235e-17,1,"Forest_disc_150","Yeast"
3,0.588,0.3128,1.52865177736235e-17,1,"Forest_disc_150","Yeast"
4,0.037,0.0729,1.34879151660349e-18,1,"Forest_disc_150","Yeast"
4,0.238,0.797,1.34879151660349e-18,1,"Forest_disc_150","Yeast"
4,0.553,0.1302,1.34879151660349e-18,1,"Forest_disc_150","Yeast"
7,0.271,0.0201,5.19296954728037e-18,1,"Forest_disc_150","Yeast"
7,0.468,0.5634,5.19296954728037e-18,1,"Forest_disc_150","Yeast"
7,0.553,0.4166,5.19296954728037e-18,1,"Forest_disc_150","Yeast"
8,0.071,0.0366,4.18537506062347e-18,1,"Forest_disc_150","Yeast"
8,0.281,0.8614,4.18537506062347e-18,1,"Forest_disc_150","Yeast"
8,0.601,0.1019,4.18537506062347e-18,1,"Forest_disc_150","Yeast"
1,0.15,0.024,5.22254975983527e-17,1,"Forest_disc_175","Yeast"
