"var","Split","freq","opt_value","iter","forest","name"
1,-1.56424,0.1342,4.92835902537417e-32,1,"Forest_disc_NLD50","banana"
1,-0.27506,0.0715,4.92835902537417e-32,1,"Forest_disc_NLD50","banana"
1,-0.24953,0.0376,4.92835902537417e-32,1,"Forest_disc_NLD50","banana"
1,-0.10214,0.0888,4.92835902537417e-32,1,"Forest_disc_NLD50","banana"
1,-0.09906,0.0946,4.92835902537417e-32,1,"Forest_disc_NLD50","banana"
1,-0.0876,0.0396,4.92835902537417e-32,1,"Forest_disc_NLD50","banana"
1,0.02268,0.0991,4.92835902537417e-32,1,"Forest_disc_NLD50","banana"
1,0.20426,0.1053,4.92835902537417e-32,1,"Forest_disc_NLD50","banana"
1,1.21589,0.3293,4.92835902537417e-32,1,"Forest_disc_NLD50","banana"
2,-0.9773,0.231,1.04059566391162e-31,1,"Forest_disc_NLD50","banana"
2,-0.96087,0.0157,1.04059566391162e-31,1,"Forest_disc_NLD50","banana"
2,-0.56574,0.0918,1.04059566391162e-31,1,"Forest_disc_NLD50","banana"
2,0.3042,0.156,1.04059566391162e-31,1,"Forest_disc_NLD50","banana"
2,0.34862,0.11,1.04059566391162e-31,1,"Forest_disc_NLD50","banana"
2,0.38822,0.0953,1.04059566391162e-31,1,"Forest_disc_NLD50","banana"
2,1.31772,0.1127,1.04059566391162e-31,1,"Forest_disc_NLD50","banana"
2,1.47102,0.0054,1.04059566391162e-31,1,"Forest_disc_NLD50","banana"
2,1.83079,0.1822,1.04059566391162e-31,1,"Forest_disc_NLD50","banana"
1,-2.0369,0.0147,3.87099785415957e-32,1,"Forest_disc_NLD100","banana"
1,-1.61346,0.0837,3.87099785415957e-32,1,"Forest_disc_NLD100","banana"
1,-0.32558,0.204,3.87099785415957e-32,1,"Forest_disc_NLD100","banana"
1,-0.25733,0.1547,3.87099785415957e-32,1,"Forest_disc_NLD100","banana"
1,0.0205,0.0648,3.87099785415957e-32,1,"Forest_disc_NLD100","banana"
1,0.02896,0.0941,3.87099785415957e-32,1,"Forest_disc_NLD100","banana"
1,1.14702,0.384,3.87099785415957e-32,1,"Forest_disc_NLD100","banana"
2,-1.02025,0.2649,5.71068852743985e-31,1,"Forest_disc_NLD100","banana"
2,0.01204,0.1118,5.71068852743985e-31,1,"Forest_disc_NLD100","banana"
2,0.03315,0.1052,5.71068852743985e-31,1,"Forest_disc_NLD100","banana"
2,0.18029,0.0618,5.71068852743985e-31,1,"Forest_disc_NLD100","banana"
2,0.25057,0.035,5.71068852743985e-31,1,"Forest_disc_NLD100","banana"
2,0.26465,0.0682,5.71068852743985e-31,1,"Forest_disc_NLD100","banana"
2,1.03566,0.0803,5.71068852743985e-31,1,"Forest_disc_NLD100","banana"
2,1.28905,0.065,5.71068852743985e-31,1,"Forest_disc_NLD100","banana"
2,1.73287,0.1563,5.71068852743985e-31,1,"Forest_disc_NLD100","banana"
2,1.92652,0.0515,5.71068852743985e-31,1,"Forest_disc_NLD100","banana"
1,-1.55221,0.0363,5.5022943428471e-33,1,"Forest_disc_NLD200","banana"
1,-1.50156,0.1108,5.5022943428471e-33,1,"Forest_disc_NLD200","banana"
1,0.00863,0.5362,5.5022943428471e-33,1,"Forest_disc_NLD200","banana"
1,1.14204,6e-04,5.5022943428471e-33,1,"Forest_disc_NLD200","banana"
1,1.23501,0.3162,5.5022943428471e-33,1,"Forest_disc_NLD200","banana"
2,-1.2823,0.116,8.73471262196886e-33,1,"Forest_disc_NLD200","banana"
2,-0.71851,0.0759,8.73471262196886e-33,1,"Forest_disc_NLD200","banana"
2,-0.24545,0.136,8.73471262196886e-33,1,"Forest_disc_NLD200","banana"
2,-0.23128,0.1267,8.73471262196886e-33,1,"Forest_disc_NLD200","banana"
2,0.01514,0.1001,8.73471262196886e-33,1,"Forest_disc_NLD200","banana"
2,0.10772,0.0734,8.73471262196886e-33,1,"Forest_disc_NLD200","banana"
2,1.28241,0.0988,8.73471262196886e-33,1,"Forest_disc_NLD200","banana"
2,1.49637,0.2067,8.73471262196886e-33,1,"Forest_disc_NLD200","banana"
2,1.98229,0.0664,8.73471262196886e-33,1,"Forest_disc_NLD200","banana"
1,-2.12111,0.0514,3.4433190130342e-05,1,"Forest_disc_DIR50","banana"
1,-0.29148,0.5362,3.4433190130342e-05,1,"Forest_disc_DIR50","banana"
