"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
1,2,0.000234768112423939,0.8769734,-0.9919545,NA,NA,NA,NA,NA,NA,NA,NA,0.6079,0.3921,NA,NA,NA,NA,NA,NA,NA,NA,0.000234768112423939,2,5,"Forest_disc_25","banana"
1,3,1.19297208369876e-22,-0.0740042,1.1991804,-1.5457781,NA,NA,NA,NA,NA,NA,NA,0.5209,0.3362,0.1429,NA,NA,NA,NA,NA,NA,NA,1.19297208369876e-21,3,5,"Forest_disc_25","banana"
1,4,5.91125402781886e-23,-0.4843248,1.0576761,-2.1301607,-2.1301607,NA,NA,NA,NA,NA,NA,0.5008,0.4548,0.0222,0.0222,NA,NA,NA,NA,NA,NA,5.91125402781886e-22,3,5,"Forest_disc_25","banana"
1,5,3.41583615063477e-23,-0.5532024,1.037455,-2.3429457,-2.3429457,-2.3429457,NA,NA,NA,NA,NA,0.4971,0.4724,0.0101,0.0101,0.0101,NA,NA,NA,NA,NA,3.41583615063477e-22,3,5,"Forest_disc_25","banana"
1,6,4.2167424075066e-23,-0.5783261,1.0300143,-2.4398588,-2.4398588,-2.4398588,-2.4398588,NA,NA,NA,NA,0.4952,0.4789,0.0065,0.0065,0.0065,0.0065,NA,NA,NA,NA,4.2167424075066e-22,3,5,"Forest_disc_25","banana"
1,7,3.89909559251083e-23,-0.591166,1.0261819,-2.4945421,-2.4945421,-2.4945421,-2.4945421,-2.4945421,NA,NA,NA,0.4941,0.4823,0.0047,0.0047,0.0047,0.0047,0.0047,NA,NA,NA,3.89909559251083e-22,3,5,"Forest_disc_25","banana"
1,8,3.69819504430505e-23,-0.5989456,1.0238477,-2.5295877,-2.5295877,-2.5295877,-2.5295877,-2.5295877,-2.5295877,NA,NA,0.4933,0.4843,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,NA,NA,3.69819504430505e-22,3,5,"Forest_disc_25","banana"
1,9,3.9112862185248e-23,-0.6041264,1.0222875,-2.5537862,-2.5537862,-2.5537862,-2.5537862,-2.5537862,-2.5537862,-2.5537862,NA,0.4928,0.4857,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,0.0031,NA,3.9112862185248e-22,3,5,"Forest_disc_25","banana"
1,10,3.74891391643625e-23,-0.6078489,1.0211634,-2.5716182,-2.5716182,-2.5716182,-2.5716182,-2.5716182,-2.5716182,-2.5716182,-2.5716182,0.4924,0.4866,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,3.74891391643625e-22,3,5,"Forest_disc_25","banana"
2,2,0.000244971222501916,-0.6070371,1.4629379,NA,NA,NA,NA,NA,NA,NA,NA,0.5408,0.4592,NA,NA,NA,NA,NA,NA,NA,NA,0.000244971222501916,2,5,"Forest_disc_25","banana"
2,3,1.57373695758626e-22,0.7001197,-0.8808247,1.9028252,NA,NA,NA,NA,NA,NA,NA,0.4531,0.3634,0.1835,NA,NA,NA,NA,NA,NA,NA,1.57373695758626e-21,3,5,"Forest_disc_25","banana"
2,4,7.23943389833553e-22,0.8490306,-0.8477136,-0.8477136,2.0537405,NA,NA,NA,NA,NA,NA,0.4844,0.1937,0.1937,0.1283,NA,NA,NA,NA,NA,NA,7.23943389833553e-21,3,5,"Forest_disc_25","banana"
2,5,1.16871412934541e-22,0.8026279,1.9985444,-0.8577786,-0.8577786,-0.8577786,NA,NA,NA,NA,NA,0.4738,0.1461,0.1267,0.1267,0.1267,NA,NA,NA,NA,NA,1.16871412934541e-21,3,5,"Forest_disc_25","banana"
2,6,4.54921084297184e-22,0.6339448,1.854673,-0.8966866,-0.8966866,-0.8966866,-0.8966866,NA,NA,NA,NA,0.4423,0.2058,0.088,0.088,0.088,0.088,NA,NA,NA,NA,4.54921084297184e-21,3,5,"Forest_disc_25","banana"
2,7,6.50060326721588e-22,0.2263235,1.6748216,-1.0332386,-1.0332386,-1.0332386,-1.0332386,-1.0332386,NA,NA,NA,0.4298,0.3095,0.0521,0.0521,0.0521,0.0521,0.0521,NA,NA,NA,6.50060326721588e-21,3,5,"Forest_disc_25","banana"
2,8,5.14048980907799e-22,-0.0502487,1.6035548,-1.2208148,-1.2208148,-1.2208148,-1.2208148,-1.2208148,-1.2208148,NA,NA,0.4761,0.3576,0.0277,0.0277,0.0277,0.0277,0.0277,0.0277,NA,NA,5.14048980907799e-21,3,5,"Forest_disc_25","banana"
2,9,1.97145194311373e-22,-0.1730376,1.5760062,-1.3717337,-1.3717337,-1.3717337,-1.3717337,-1.3717337,-1.3717337,-1.3717337,NA,0.5075,0.3765,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,0.0166,NA,1.97145194311373e-21,3,5,"Forest_disc_25","banana"
2,10,9.24090217814076e-23,-0.2344356,1.562209,-1.4800756,-1.4800756,-1.4800756,-1.4800756,-1.4800756,-1.4800756,-1.4800756,-1.4800756,0.5237,0.3859,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,9.24090217814076e-22,3,5,"Forest_disc_25","banana"
1,2,0.000247216816206988,0.9004686,-0.9498845,NA,NA,NA,NA,NA,NA,NA,NA,0.6118,0.3882,NA,NA,NA,NA,NA,NA,NA,NA,0.000247216816206988,2,1,"Forest_disc_25","banana"
1,3,1.20209868992281e-22,0.03822,1.266564,-1.4838975,NA,NA,NA,NA,NA,NA,NA,0.5454,0.3039,0.1507,NA,NA,NA,NA,NA,NA,NA,1.20209868992281e-21,3,1,"Forest_disc_25","banana"
1,4,7.70172573340374e-23,-0.4138553,1.0890868,-2.0723331,-2.0723331,NA,NA,NA,NA,NA,NA,0.5046,0.4484,0.0235,0.0235,NA,NA,NA,NA,NA,NA,7.70172573340374e-22,3,1,"Forest_disc_25","banana"
1,5,5.10616364025326e-23,-0.4953076,1.064081,-2.3074248,-2.3074248,-2.3074248,NA,NA,NA,NA,NA,0.4985,0.4705,0.0103,0.0103,0.0103,NA,NA,NA,NA,NA,5.10616364025326e-22,3,1,"Forest_disc_25","banana"
1,6,5.4877390633514e-23,-0.5246176,1.0550908,-2.4155673,-2.4155673,-2.4155673,-2.4155673,NA,NA,NA,NA,0.4957,0.4784,0.0065,0.0065,0.0065,0.0065,NA,NA,NA,NA,5.4877390633514e-22,3,1,"Forest_disc_25","banana"
1,7,5.11215023924922e-23,-0.5394188,1.0505285,-2.4764771,-2.4764771,-2.4764771,-2.4764771,-2.4764771,NA,NA,NA,0.4941,0.4824,0.0047,0.0047,0.0047,0.0047,0.0047,NA,NA,NA,5.11215023924922e-22,3,1,"Forest_disc_25","banana"
1,8,2.92021355325299e-23,-0.5483279,1.0477716,-2.5154685,-2.5154685,-2.5154685,-2.5154685,-2.5154685,-2.5154685,NA,NA,0.4931,0.4848,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,NA,NA,2.92021355325299e-22,3,1,"Forest_disc_25","banana"
1,9,4.12100864384709e-23,-0.5542202,1.0459429,-2.5422955,-2.5422955,-2.5422955,-2.5422955,-2.5422955,-2.5422955,-2.5422955,NA,0.4924,0.4864,0.003,0.003,0.003,0.003,0.003,0.003,0.003,NA,4.12100864384709e-22,3,1,"Forest_disc_25","banana"
1,10,4.96026660006672e-23,-0.5583728,1.0446513,-2.5617247,-2.5617247,-2.5617247,-2.5617247,-2.5617247,-2.5617247,-2.5617247,-2.5617247,0.4919,0.4876,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,4.96026660006672e-22,3,1,"Forest_disc_25","banana"
2,2,0.000446360122710513,-0.545487,1.4971,NA,NA,NA,NA,NA,NA,NA,NA,0.5712,0.4288,NA,NA,NA,NA,NA,NA,NA,NA,0.000446360122710513,2,1,"Forest_disc_25","banana"
2,3,6.03891172777997e-22,-0.120535,1.601074,-1.242695,NA,NA,NA,NA,NA,NA,NA,0.5127,0.3525,0.1348,NA,NA,NA,NA,NA,NA,NA,6.03891172777997e-21,3,1,"Forest_disc_25","banana"
2,4,5.47662882230844e-22,-0.27609,1.564531,-1.563655,-1.563655,NA,NA,NA,NA,NA,NA,0.5601,0.3764,0.0317,0.0317,NA,NA,NA,NA,NA,NA,5.47662882230844e-21,3,1,"Forest_disc_25","banana"
2,5,4.87059990227079e-22,-0.318017,1.553599,-1.710872,-1.710872,-1.710872,NA,NA,NA,NA,NA,0.57,0.3835,0.0155,0.0155,0.0155,NA,NA,NA,NA,NA,4.87059990227079e-21,3,1,"Forest_disc_25","banana"
2,6,4.6738295662226e-22,-0.336074,1.548621,-1.788713,-1.788713,-1.788713,-1.788713,NA,NA,NA,NA,0.5736,0.3867,0.0099,0.0099,0.0099,0.0099,NA,NA,NA,NA,4.6738295662226e-21,3,1,"Forest_disc_25","banana"
2,7,4.68410499275286e-22,-0.345866,1.545838,-1.835559,-1.835559,-1.835559,-1.835559,-1.835559,NA,NA,NA,0.5753,0.3885,0.0072,0.0072,0.0072,0.0072,0.0072,NA,NA,NA,4.68410499275286e-21,3,1,"Forest_disc_25","banana"
2,8,4.61016429537489e-22,-0.35164,1.544168,-1.864911,-1.864911,-1.864911,-1.864911,-1.864911,-1.864911,NA,NA,0.5762,0.3896,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,NA,NA,4.61016429537489e-21,3,1,"Forest_disc_25","banana"
2,9,4.20358187424936e-22,-0.355507,1.543035,-1.885349,-1.885349,-1.885349,-1.885349,-1.885349,-1.885349,-1.885349,NA,0.5768,0.3903,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,NA,4.20358187424936e-21,3,1,"Forest_disc_25","banana"
2,10,4.56753756919844e-22,-0.35828,1.542216,-1.900407,-1.900407,-1.900407,-1.900407,-1.900407,-1.900407,-1.900407,-1.900407,0.5772,0.3908,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,4.56753756919843e-21,3,1,"Forest_disc_25","banana"
1,2,0.000245920106412305,0.8752874,-1.0074541,NA,NA,NA,NA,NA,NA,NA,NA,0.6239,0.3761,NA,NA,NA,NA,NA,NA,NA,NA,0.000245920106412305,2,1,"Forest_disc_50","banana"
1,3,1.21358110959313e-22,0.2462094,1.3960416,-1.3822475,NA,NA,NA,NA,NA,NA,NA,0.5868,0.2136,0.1996,NA,NA,NA,NA,NA,NA,NA,1.21358110959313e-21,3,1,"Forest_disc_50","banana"
1,4,1.02739614287457e-22,-0.3323404,1.0984262,-1.8695859,-1.8695859,NA,NA,NA,NA,NA,NA,0.4964,0.429,0.0373,0.0373,NA,NA,NA,NA,NA,NA,1.02739614287457e-21,3,1,"Forest_disc_50","banana"
1,5,6.10598349109569e-23,-0.4829496,1.0539003,-2.173757,-2.173757,-2.173757,NA,NA,NA,NA,NA,0.4891,0.4689,0.014,0.014,0.014,NA,NA,NA,NA,NA,6.10598349109569e-22,3,1,"Forest_disc_50","banana"
1,6,2.31421970411913e-23,-0.5322109,1.0398348,-2.3186185,-2.3186185,-2.3186185,-2.3186185,NA,NA,NA,NA,0.4859,0.4816,0.0081,0.0081,0.0081,0.0081,NA,NA,NA,NA,2.31421970411913e-22,3,1,"Forest_disc_50","banana"
