"var","Split","freq","opt_value","iter","forest","name"
1,-2.3429457,0.0303,3.41583615063477e-23,5,"Forest_disc_25","banana"
1,-0.5532024,0.4971,3.41583615063477e-23,5,"Forest_disc_25","banana"
1,1.037455,0.4724,3.41583615063477e-23,5,"Forest_disc_25","banana"
2,-1.4800756,0.0904,9.24090217814076e-23,5,"Forest_disc_25","banana"
2,-0.2344356,0.5237,9.24090217814076e-23,5,"Forest_disc_25","banana"
2,1.562209,0.3859,9.24090217814076e-23,5,"Forest_disc_25","banana"
1,-2.5154685,0.0222,2.92021355325299e-23,1,"Forest_disc_25","banana"
1,-0.5483279,0.4931,2.92021355325299e-23,1,"Forest_disc_25","banana"
1,1.0477716,0.4848,2.92021355325299e-23,1,"Forest_disc_25","banana"
2,-1.885349,0.0329,4.20358187424936e-22,1,"Forest_disc_25","banana"
2,-0.355507,0.5768,4.20358187424936e-22,1,"Forest_disc_25","banana"
2,1.543035,0.3903,4.20358187424936e-22,1,"Forest_disc_25","banana"
1,-2.3186185,0.0324,2.31421970411913e-23,1,"Forest_disc_50","banana"
1,-0.5322109,0.4859,2.31421970411913e-23,1,"Forest_disc_50","banana"
1,1.0398348,0.4816,2.31421970411913e-23,1,"Forest_disc_50","banana"
2,-1.983386,0.0315,2.58583356547398e-22,1,"Forest_disc_50","banana"
2,-0.393266,0.5746,2.58583356547398e-22,1,"Forest_disc_50","banana"
2,1.528612,0.3938,2.58583356547398e-22,1,"Forest_disc_50","banana"
1,-2.4066779,0.0272,3.98186143848544e-23,1,"Forest_disc_75","banana"
1,-0.5511375,0.4907,3.98186143848544e-23,1,"Forest_disc_75","banana"
1,1.0265442,0.4822,3.98186143848544e-23,1,"Forest_disc_75","banana"
2,-1.768028,0.0483,2.34478324511499e-22,1,"Forest_disc_75","banana"
2,-0.347409,0.5704,2.34478324511499e-22,1,"Forest_disc_75","banana"
2,1.548692,0.3813,2.34478324511499e-22,1,"Forest_disc_75","banana"
1,-2.439574,0.0246,2.82925476212215e-23,1,"Forest_disc_100","banana"
1,-0.5412888,0.4859,2.82925476212215e-23,1,"Forest_disc_100","banana"
1,1.0328324,0.4894,2.82925476212215e-23,1,"Forest_disc_100","banana"
2,-2.000454,0.0304,2.87816425892892e-22,1,"Forest_disc_100","banana"
2,-0.402795,0.5801,2.87816425892892e-22,1,"Forest_disc_100","banana"
2,1.527403,0.3896,2.87816425892892e-22,1,"Forest_disc_100","banana"
1,-1.3560536,0.1967,1.33142453586932e-23,1,"Forest_disc_125","banana"
1,0.268048,0.5998,1.33142453586932e-23,1,"Forest_disc_125","banana"
1,1.4128988,0.2036,1.33142453586932e-23,1,"Forest_disc_125","banana"
2,-1.891566,0.0364,1.27687836030313e-22,1,"Forest_disc_125","banana"
2,-0.368116,0.5749,1.27687836030313e-22,1,"Forest_disc_125","banana"
2,1.538069,0.3886,1.27687836030313e-22,1,"Forest_disc_125","banana"
1,-2.4407803,0.0252,1.44551437848845e-23,1,"Forest_disc_150","banana"
1,-0.5477257,0.4881,1.44551437848845e-23,1,"Forest_disc_150","banana"
1,1.0386426,0.4867,1.44551437848845e-23,1,"Forest_disc_150","banana"
2,-2.008292,0.0294,1.53492120817807e-22,1,"Forest_disc_150","banana"
2,-0.398963,0.5783,1.53492120817807e-22,1,"Forest_disc_150","banana"
2,1.534508,0.3926,1.53492120817807e-22,1,"Forest_disc_150","banana"
1,-2.2849762,0.032,1.67510613516814e-23,1,"Forest_disc_175","banana"
1,-0.5034255,0.4904,1.67510613516814e-23,1,"Forest_disc_175","banana"
1,1.0395456,0.4775,1.67510613516814e-23,1,"Forest_disc_175","banana"
2,-1.82463,0.0416,3.06310543762796e-22,1,"Forest_disc_175","banana"
2,-0.361629,0.5751,3.06310543762796e-22,1,"Forest_disc_175","banana"
2,1.545451,0.3832,3.06310543762796e-22,1,"Forest_disc_175","banana"
1,-2.1347267,0.0438,3.61037420990688e-23,1,"Forest_disc_200","banana"
1,-0.4505405,0.495,3.61037420990688e-23,1,"Forest_disc_200","banana"
1,1.0574845,0.4612,3.61037420990688e-23,1,"Forest_disc_200","banana"
2,-1.8092315,0.0441,2.57122959591974e-22,1,"Forest_disc_200","banana"
2,-0.358242,0.571,2.57122959591974e-22,1,"Forest_disc_200","banana"
2,1.5456984,0.3848,2.57122959591974e-22,1,"Forest_disc_200","banana"
1,-2.550222,0.0232,1.77664508085536e-23,2,"Forest_disc_25","banana"
1,-0.598665,0.4953,1.77664508085536e-23,2,"Forest_disc_25","banana"
1,1.011616,0.4816,1.77664508085536e-23,2,"Forest_disc_25","banana"
2,-0.982607,0.3018,1.16045134288744e-22,2,"Forest_disc_25","banana"
2,0.317869,0.4244,1.16045134288744e-22,2,"Forest_disc_25","banana"
2,1.690348,0.2738,1.16045134288744e-22,2,"Forest_disc_25","banana"
1,-2.412911,0.0268,1.0504544758645e-23,2,"Forest_disc_50","banana"
1,-0.554396,0.5023,1.0504544758645e-23,2,"Forest_disc_50","banana"
1,1.022409,0.4708,1.0504544758645e-23,2,"Forest_disc_50","banana"
2,-0.890093,0.3828,5.26229017577069e-23,2,"Forest_disc_50","banana"
2,0.658515,0.4389,5.26229017577069e-23,2,"Forest_disc_50","banana"
2,1.882232,0.1781,5.26229017577069e-23,2,"Forest_disc_50","banana"
1,-2.553625,0.0216,1.79599871830091e-23,2,"Forest_disc_75","banana"
1,-0.604989,0.4992,1.79599871830091e-23,2,"Forest_disc_75","banana"
1,1.013556,0.4792,1.79599871830091e-23,2,"Forest_disc_75","banana"
2,-0.8810987,0.3837,1.53174062981252e-23,2,"Forest_disc_75","banana"
2,0.6507264,0.438,1.53174062981252e-23,2,"Forest_disc_75","banana"
2,1.8677339,0.1784,1.53174062981252e-23,2,"Forest_disc_75","banana"
1,-2.462707,0.0245,1.46112358839767e-23,2,"Forest_disc_100","banana"
1,-0.577595,0.4998,1.46112358839767e-23,2,"Forest_disc_100","banana"
1,1.020577,0.4756,1.46112358839767e-23,2,"Forest_disc_100","banana"
2,-0.8671689,0.397,8.47300783113831e-23,2,"Forest_disc_100","banana"
2,0.7450382,0.4577,8.47300783113831e-23,2,"Forest_disc_100","banana"
2,1.9555388,0.1456,8.47300783113831e-23,2,"Forest_disc_100","banana"
1,-2.5432129,0.021,3.428309679509e-23,2,"Forest_disc_125","banana"
1,-0.5865943,0.4966,3.428309679509e-23,2,"Forest_disc_125","banana"
1,1.0122658,0.4824,3.428309679509e-23,2,"Forest_disc_125","banana"
2,-0.8696736,0.383,3.76836965501398e-23,2,"Forest_disc_125","banana"
2,0.6870138,0.4426,3.76836965501398e-23,2,"Forest_disc_125","banana"
2,1.8888095,0.1743,3.76836965501398e-23,2,"Forest_disc_125","banana"
1,-2.556635,0.0216,9.46902596024109e-25,2,"Forest_disc_150","banana"
1,-0.602611,0.4981,9.46902596024109e-25,2,"Forest_disc_150","banana"
1,1.02072,0.4805,9.46902596024109e-25,2,"Forest_disc_150","banana"
2,-0.8748594,0.387,3.22984190282196e-23,2,"Forest_disc_150","banana"
2,0.7028787,0.4482,3.22984190282196e-23,2,"Forest_disc_150","banana"
2,1.9065938,0.1649,3.22984190282196e-23,2,"Forest_disc_150","banana"
1,-2.413543,0.0256,2.29527770612347e-23,2,"Forest_disc_175","banana"
1,-0.563212,0.4998,2.29527770612347e-23,2,"Forest_disc_175","banana"
1,1.015466,0.4747,2.29527770612347e-23,2,"Forest_disc_175","banana"
2,-0.8767992,0.3864,2.59612798675204e-23,2,"Forest_disc_175","banana"
2,0.682331,0.4433,2.59612798675204e-23,2,"Forest_disc_175","banana"
2,1.8906069,0.1704,2.59612798675204e-23,2,"Forest_disc_175","banana"
1,-2.560072,0.0208,3.58658470323616e-23,2,"Forest_disc_200","banana"
1,-0.5739663,0.5087,3.58658470323616e-23,2,"Forest_disc_200","banana"
1,1.0394841,0.4702,3.58658470323616e-23,2,"Forest_disc_200","banana"
2,-0.8706286,0.3882,3.02874755903618e-23,2,"Forest_disc_200","banana"
2,0.6925247,0.4448,3.02874755903618e-23,2,"Forest_disc_200","banana"
2,1.8976449,0.1668,3.02874755903618e-23,2,"Forest_disc_200","banana"
1,-2.52483,0.021,2.7525690765829e-23,3,"Forest_disc_25","banana"
1,-0.557984,0.4879,2.7525690765829e-23,3,"Forest_disc_25","banana"
1,1.047312,0.491,2.7525690765829e-23,3,"Forest_disc_25","banana"
2,-1.77625,0.046,7.26567197602331e-23,3,"Forest_disc_25","banana"
2,-0.37302,0.5488,7.26567197602331e-23,3,"Forest_disc_25","banana"
2,1.533163,0.4051,7.26567197602331e-23,3,"Forest_disc_25","banana"
1,-2.552778,0.02,1.57758341576182e-23,3,"Forest_disc_50","banana"
1,-0.563898,0.4977,1.57758341576182e-23,3,"Forest_disc_50","banana"
1,1.060724,0.4823,1.57758341576182e-23,3,"Forest_disc_50","banana"
2,-1.7130522,0.0552,1.72106009044939e-22,3,"Forest_disc_50","banana"
2,-0.3517747,0.558,1.72106009044939e-22,3,"Forest_disc_50","banana"
2,1.5254777,0.3868,1.72106009044939e-22,3,"Forest_disc_50","banana"
1,-2.550194,0.0216,2.22745846521966e-23,3,"Forest_disc_75","banana"
1,-0.559051,0.4897,2.22745846521966e-23,3,"Forest_disc_75","banana"
1,1.057739,0.4891,2.22745846521966e-23,3,"Forest_disc_75","banana"
2,-0.9175825,0.3272,4.69662926508976e-23,3,"Forest_disc_75","banana"
2,0.4536565,0.4171,4.69662926508976e-23,3,"Forest_disc_75","banana"
2,1.7428571,0.2558,4.69662926508976e-23,3,"Forest_disc_75","banana"
1,-2.546318,0.0203,2.41460709090641e-23,3,"Forest_disc_100","banana"
1,-0.563663,0.4925,2.41460709090641e-23,3,"Forest_disc_100","banana"
1,1.04642,0.4871,2.41460709090641e-23,3,"Forest_disc_100","banana"
2,-1.8724845,0.0392,3.59958334704362e-23,3,"Forest_disc_100","banana"
2,-0.3961279,0.5606,3.59958334704362e-23,3,"Forest_disc_100","banana"
2,1.5093374,0.4003,3.59958334704362e-23,3,"Forest_disc_100","banana"
1,-2.545016,0.0203,2.81106089912639e-23,3,"Forest_disc_125","banana"
1,-0.57967,0.4884,2.81106089912639e-23,3,"Forest_disc_125","banana"
1,1.044956,0.4915,2.81106089912639e-23,3,"Forest_disc_125","banana"
2,-0.8058583,0.4404,3.08602828411488e-24,3,"Forest_disc_125","banana"
2,1.0688466,0.5213,3.08602828411488e-24,3,"Forest_disc_125","banana"
2,2.5888416,0.0386,3.08602828411488e-24,3,"Forest_disc_125","banana"
1,-2.479662,0.0225,3.1503862895644e-23,3,"Forest_disc_150","banana"
1,-0.544173,0.4955,3.1503862895644e-23,3,"Forest_disc_150","banana"
1,1.050077,0.4819,3.1503862895644e-23,3,"Forest_disc_150","banana"
2,-0.80876,0.4408,2.6093890810745e-24,3,"Forest_disc_150","banana"
2,1.0769194,0.5213,2.6093890810745e-24,3,"Forest_disc_150","banana"
2,2.6031877,0.0379,2.6093890810745e-24,3,"Forest_disc_150","banana"
1,-2.524098,0.0217,1.69354877722293e-23,3,"Forest_disc_175","banana"
1,-0.562842,0.4918,1.69354877722293e-23,3,"Forest_disc_175","banana"
1,1.047497,0.4866,1.69354877722293e-23,3,"Forest_disc_175","banana"
2,-0.7922275,0.4389,3.73867597330377e-24,3,"Forest_disc_175","banana"
2,1.0845936,0.5228,3.73867597330377e-24,3,"Forest_disc_175","banana"
2,2.5940102,0.0381,3.73867597330377e-24,3,"Forest_disc_175","banana"
1,-2.526326,0.021,2.47853760514527e-23,3,"Forest_disc_200","banana"
1,-0.573655,0.4895,2.47853760514527e-23,3,"Forest_disc_200","banana"
1,1.034807,0.4895,2.47853760514527e-23,3,"Forest_disc_200","banana"
2,-1.8756578,0.04,2.3148311913762e-23,3,"Forest_disc_200","banana"
2,-0.39777,0.5648,2.3148311913762e-23,3,"Forest_disc_200","banana"
2,1.5135156,0.3951,2.3148311913762e-23,3,"Forest_disc_200","banana"
1,-2.491094,0.0224,3.98695881608157e-23,4,"Forest_disc_25","banana"
1,-0.543541,0.4893,3.98695881608157e-23,4,"Forest_disc_25","banana"
1,1.040858,0.488,3.98695881608157e-23,4,"Forest_disc_25","banana"
2,-1.740811,0.0549,3.02101189874666e-24,4,"Forest_disc_25","banana"
2,-0.351713,0.5582,3.02101189874666e-24,4,"Forest_disc_25","banana"
2,1.520817,0.387,3.02101189874666e-24,4,"Forest_disc_25","banana"
1,-2.242968,0.0336,5.27900456651849e-23,4,"Forest_disc_50","banana"
1,-0.493511,0.4907,5.27900456651849e-23,4,"Forest_disc_50","banana"
1,1.053133,0.4758,5.27900456651849e-23,4,"Forest_disc_50","banana"
2,-1.9001674,0.0384,6.25011499902608e-23,4,"Forest_disc_50","banana"
2,-0.376249,0.5629,6.25011499902608e-23,4,"Forest_disc_50","banana"
2,1.5430239,0.3984,6.25011499902608e-23,4,"Forest_disc_50","banana"
1,-1.99329,0.051,1.85288223389691e-23,4,"Forest_disc_75","banana"
1,-0.385445,0.5046,1.85288223389691e-23,4,"Forest_disc_75","banana"
1,1.079892,0.4444,1.85288223389691e-23,4,"Forest_disc_75","banana"
2,-0.789879,0.4403,6.1303206420746e-24,4,"Forest_disc_75","banana"
