"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
1,2,3.69689552454513e-09,38.4,53.9,NA,NA,NA,NA,NA,NA,NA,NA,0.5159,0.4841,NA,NA,NA,NA,NA,NA,NA,NA,3.69689552454513e-09,2,1,"Forest_disc_25","bands"
1,3,1.45215740417697e-21,43,56,31.3,NA,NA,NA,NA,NA,NA,NA,0.5762,0.3178,0.1059,NA,NA,NA,NA,NA,NA,NA,1.45215740417697e-20,3,1,"Forest_disc_25","bands"
1,4,1.42695990528475e-21,43,56,31.3,31.3,NA,NA,NA,NA,NA,NA,0.5762,0.3179,0.053,0.053,NA,NA,NA,NA,NA,NA,1.42695990528475e-20,3,1,"Forest_disc_25","bands"
1,5,7.97845545092833e-22,43,56,31.3,31.3,31.3,NA,NA,NA,NA,NA,0.5762,0.3179,0.0353,0.0353,0.0353,NA,NA,NA,NA,NA,7.97845545092833e-21,3,1,"Forest_disc_25","bands"
1,6,1.46029316232598e-21,43,56,31.3,31.3,31.3,31.3,NA,NA,NA,NA,0.5762,0.3179,0.0265,0.0265,0.0265,0.0265,NA,NA,NA,NA,1.46029316232598e-20,3,1,"Forest_disc_25","bands"
1,7,1.47866841668943e-21,43,56,31.3,31.3,31.3,31.3,31.3,NA,NA,NA,0.5762,0.318,0.0212,0.0212,0.0212,0.0212,0.0212,NA,NA,NA,1.47866841668943e-20,3,1,"Forest_disc_25","bands"
1,8,1.45572904038407e-21,43,56,31.3,31.3,31.3,31.3,31.3,31.3,NA,NA,0.5762,0.318,0.0176,0.0176,0.0176,0.0176,0.0176,0.0176,NA,NA,1.45572904038407e-20,3,1,"Forest_disc_25","bands"
1,9,1.07427774529336e-21,43,56,31.3,31.3,31.3,31.3,31.3,31.3,31.3,NA,0.5763,0.318,0.0151,0.0151,0.0151,0.0151,0.0151,0.0151,0.0151,NA,1.07427774529336e-20,3,1,"Forest_disc_25","bands"
1,10,1.35566761183505e-21,43,56,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,0.5763,0.318,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,0.0132,1.35566761183505e-20,3,1,"Forest_disc_25","bands"
2,2,7.35038270271481e-10,45.6,60.3,NA,NA,NA,NA,NA,NA,NA,NA,0.5525,0.4475,NA,NA,NA,NA,NA,NA,NA,NA,7.35038270271481e-10,2,1,"Forest_disc_25","bands"
2,3,4.30399064415479e-21,49,62,39,NA,NA,NA,NA,NA,NA,NA,0.5818,0.3197,0.0985,NA,NA,NA,NA,NA,NA,NA,4.30399064415479e-20,3,1,"Forest_disc_25","bands"
