"var","Split","freq","opt_value","iter","forest","name"
1,31.3,0.1059,7.97845545092833e-22,1,"Forest_disc_25","bands"
1,43,0.5762,7.97845545092833e-22,1,"Forest_disc_25","bands"
1,56,0.3179,7.97845545092833e-22,1,"Forest_disc_25","bands"
2,39,0.0984,2.56349551460886e-21,1,"Forest_disc_25","bands"
2,49,0.582,2.56349551460886e-21,1,"Forest_disc_25","bands"
2,62,0.3198,2.56349551460886e-21,1,"Forest_disc_25","bands"
3,0.196,0.2367,2.75504831655486e-19,1,"Forest_disc_25","bands"
3,0.267,0.4422,2.75504831655486e-19,1,"Forest_disc_25","bands"
3,0.27,0.1456,2.75504831655486e-19,1,"Forest_disc_25","bands"
3,0.379,0.1755,2.75504831655486e-19,1,"Forest_disc_25","bands"
4,12.8,0.0411,6.06746818263829e-17,1,"Forest_disc_25","bands"
4,14.7,0.6221,6.06746818263829e-17,1,"Forest_disc_25","bands"
4,16.7,0.3369,6.06746818263829e-17,1,"Forest_disc_25","bands"
5,63.5,0.075,3.35217622042118e-21,1,"Forest_disc_25","bands"
5,75.5,0.7043,3.35217622042118e-21,1,"Forest_disc_25","bands"
5,91.8,0.2206,3.35217622042118e-21,1,"Forest_disc_25","bands"
6,0.304,0.0824,1.67864183677333e-18,1,"Forest_disc_25","bands"
6,0.64,0.5702,1.67864183677333e-18,1,"Forest_disc_25","bands"
6,0.952,0.3473,1.67864183677333e-18,1,"Forest_disc_25","bands"
7,18,0.0966,4.64622760174166e-24,1,"Forest_disc_25","bands"
7,28.9,0.74,4.64622760174166e-24,1,"Forest_disc_25","bands"
7,46,0.1632,4.64622760174166e-24,1,"Forest_disc_25","bands"
8,0.28,0.2409,2.86341419754814e-25,1,"Forest_disc_25","bands"
8,8.37,0.6749,2.86341419754814e-25,1,"Forest_disc_25","bands"
8,26.83,0.0842,2.86341419754814e-25,1,"Forest_disc_25","bands"
9,1200,0.0576,5.98123924875896e-32,1,"Forest_disc_25","bands"
9,1668,0.5666,5.98123924875896e-32,1,"Forest_disc_25","bands"
9,2250,0.3755,5.98123924875896e-32,1,"Forest_disc_25","bands"
10,42.4,0.063,3.54282951753272e-20,1,"Forest_disc_25","bands"
10,52.4,0.5103,3.54282951753272e-20,1,"Forest_disc_25","bands"
10,60.5,0.4266,3.54282951753272e-20,1,"Forest_disc_25","bands"
11,30.5,0.0383,2.88135887025924e-19,1,"Forest_disc_25","bands"
11,37.2,0.6809,2.88135887025924e-19,1,"Forest_disc_25","bands"
11,42.9,0.2808,2.88135887025924e-19,1,"Forest_disc_25","bands"
12,0.383,0.3628,3.14619472417392e-24,1,"Forest_disc_25","bands"
12,3.064,0.5793,3.14619472417392e-24,1,"Forest_disc_25","bands"
12,12.139,0.0577,3.14619472417392e-24,1,"Forest_disc_25","bands"
13,2,1,0,1,"Forest_disc_25","bands"
14,0.5,0.077,1.04298283439702e-18,1,"Forest_disc_25","bands"
14,1.69,0.3213,1.04298283439702e-18,1,"Forest_disc_25","bands"
14,2.66,0.6015,1.04298283439702e-18,1,"Forest_disc_25","bands"
15,0.115,0.0693,3.61934940824033e-20,1,"Forest_disc_25","bands"
15,0.963,0.8622,3.61934940824033e-20,1,"Forest_disc_25","bands"
15,2.168,0.0684,3.61934940824033e-20,1,"Forest_disc_25","bands"
16,29,0.1332,4.5896975419462e-22,1,"Forest_disc_25","bands"
16,35,0.7959,4.5896975419462e-22,1,"Forest_disc_25","bands"
16,49,0.0711,4.5896975419462e-22,1,"Forest_disc_25","bands"
17,31.5,0.0665,5.05388921481468e-18,1,"Forest_disc_25","bands"
