"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
1,2,6.21459464637390e-09,37.9,54.8,NA,NA,NA,NA,NA,NA,NA,NA,0.5687,0.4313,NA,NA,NA,NA,NA,NA,NA,NA,6.21459464637390e-09,2,1,"Forest_disc_NLD50","bands"
1,3,1.65995069040311e-31,49.5,35.2,63.7,NA,NA,NA,NA,NA,NA,NA,0.5625,0.3704,0.0671,NA,NA,NA,NA,NA,NA,NA,1.65995069040311e-30,3,1,"Forest_disc_NLD50","bands"
1,4,3.75357383505821e-10,46.5,34.8,58.8,48,NA,NA,NA,NA,NA,NA,0.4094,0.3194,0.1855,0.0858,NA,NA,NA,NA,NA,NA,3.75357383505821e-08,4,1,"Forest_disc_NLD50","bands"
1,5,1.73471817664052e-14,40.8,59.2,48.8,49,31.2,NA,NA,NA,NA,NA,0.3969,0.1711,0.1693,0.1373,0.1255,NA,NA,NA,NA,NA,1.73471817664052e-11,5,1,"Forest_disc_NLD50","bands"
1,6,1.89364383327469e-10,50.4,40.9,61,39.2,30.1,53.4,NA,NA,NA,NA,0.3481,0.3368,0.1115,0.1033,0.1003,0,NA,NA,NA,NA,1.89364383327469e-07,5,1,"Forest_disc_NLD50","bands"
1,7,5.4014176533593e-11,43.9,32.6,48.8,37.1,50.1,61.7,51.8,NA,NA,NA,0.2538,0.1631,0.1593,0.1212,0.1091,0.1001,0.0933,NA,NA,NA,5.4014176533593e-06,7,1,"Forest_disc_NLD50","bands"
1,8,1.15759934850243e-12,48.7,43.3,33.3,60.1,40.7,43.5,54.2,30.6,NA,NA,0.2201,0.187,0.1556,0.1299,0.1155,0.0816,0.0747,0.0355,NA,NA,1.15759934850243e-06,8,1,"Forest_disc_NLD50","bands"
1,9,4.02600260491366e-11,45.2,40,59.9,49.1,37,39.4,53.4,30.6,49.4,NA,0.1632,0.1465,0.1306,0.1034,0.0988,0.0979,0.0956,0.0884,0.0757,NA,0.000402600260491366,9,1,"Forest_disc_NLD50","bands"
1,10,3.81017821570958e-10,43.6,53.2,44.5,30,43.4,42.5,34,61.4,57.6,51.9,0.2799,0.1253,0.1068,0.0869,0.0837,0.0835,0.0802,0.0761,0.0631,0.0146,0.0381017821570958,10,1,"Forest_disc_NLD50","bands"
2,2,3.28060628428119e-06,56.2,37,NA,NA,NA,NA,NA,NA,NA,NA,0.7625,0.2378,NA,NA,NA,NA,NA,NA,NA,NA,3.28060628428119e-06,2,1,"Forest_disc_NLD50","bands"
2,3,4.2955011781975e-31,48.1,61.9,37,NA,NA,NA,NA,NA,NA,NA,0.6159,0.3176,0.0665,NA,NA,NA,NA,NA,NA,NA,4.2955011781975e-30,3,1,"Forest_disc_NLD50","bands"
2,4,1.65688046909755e-10,48.1,55.7,63.9,37,NA,NA,NA,NA,NA,NA,0.5336,0.1974,0.1897,0.0793,NA,NA,NA,NA,NA,NA,1.65688046909755e-08,4,1,"Forest_disc_NLD50","bands"
2,5,3.24022508690206e-12,48,59,62.9,62.8,37,NA,NA,NA,NA,NA,0.5989,0.1266,0.1083,0.0989,0.0672,NA,NA,NA,NA,NA,3.24022508690206e-09,5,1,"Forest_disc_NLD50","bands"
2,6,2.29994585653655e-11,48,57.6,63,37,63.7,62.7,NA,NA,NA,NA,0.5839,0.1334,0.1207,0.0703,0.0569,0.0347,NA,NA,NA,NA,2.29994585653655e-07,6,1,"Forest_disc_NLD50","bands"
2,7,9.04106827406627e-11,48,56.2,64.3,61.7,37,52.5,47.5,NA,NA,NA,0.5469,0.1691,0.1271,0.0808,0.0746,0.0015,0,NA,NA,NA,9.04106827406627e-07,6,1,"Forest_disc_NLD50","bands"
2,8,3.36366782101798e-10,49.2,61.5,37,64.9,53.6,63.5,57.5,51,NA,NA,0.6034,0.114,0.0896,0.0855,0.0437,0.0412,0.0137,0.0089,NA,NA,0.000336366782101798,8,1,"Forest_disc_NLD50","bands"
2,9,1.83644217157586e-09,52,58.6,44.4,37,69.4,52.7,50.6,64.4,50.9,NA,0.4723,0.1354,0.1302,0.096,0.0597,0.0586,0.0207,0.0163,0.0108,NA,0.0183644217157586,9,1,"Forest_disc_NLD50","bands"
2,10,4.82351143531479e-07,52.8,37,55.6,53.4,64.9,41.2,65.6,65.2,59.7,64.3,0.4726,0.1315,0.1073,0.0989,0.096,0.0712,0.0112,0.0097,0.0015,3e-04,48.2351143531479,10,1,"Forest_disc_NLD50","bands"
