"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
1,2,7.02207712819963e-10,62,48.8,NA,NA,NA,NA,NA,NA,NA,NA,0.6488,0.3512,NA,NA,NA,NA,NA,NA,NA,NA,7.02207712819963e-10,2,1,"Forest_disc_25","cleveland"
1,3,4.08251901640826e-21,53.1,63.7,36.5,NA,NA,NA,NA,NA,NA,NA,0.5225,0.4484,0.029,NA,NA,NA,NA,NA,NA,NA,4.08251901640826e-20,3,1,"Forest_disc_25","cleveland"
1,4,3.41344301245664e-21,53.1,63.7,36.5,36.5,NA,NA,NA,NA,NA,NA,0.5225,0.4485,0.0145,0.0145,NA,NA,NA,NA,NA,NA,3.41344301245664e-20,3,1,"Forest_disc_25","cleveland"
1,5,4.1121293342113e-21,53.1,63.7,36.5,36.5,36.5,NA,NA,NA,NA,NA,0.5224,0.4485,0.0097,0.0097,0.0097,NA,NA,NA,NA,NA,4.1121293342113e-20,3,1,"Forest_disc_25","cleveland"
1,6,1.94611982550855e-21,53.1,63.7,36.5,36.5,36.5,36.5,NA,NA,NA,NA,0.5224,0.4486,0.0073,0.0073,0.0073,0.0073,NA,NA,NA,NA,1.94611982550855e-20,3,1,"Forest_disc_25","cleveland"
1,7,2.38624727706496e-21,53.1,63.7,36.5,36.5,36.5,36.5,36.5,NA,NA,NA,0.5224,0.4486,0.0058,0.0058,0.0058,0.0058,0.0058,NA,NA,NA,2.38624727706496e-20,3,1,"Forest_disc_25","cleveland"
1,8,2.58070956838776e-21,53.1,63.7,36.5,36.5,36.5,36.5,36.5,36.5,NA,NA,0.5224,0.4486,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,NA,NA,2.58070956838776e-20,3,1,"Forest_disc_25","cleveland"
1,9,1.79150755605265e-21,53.1,63.7,36.5,36.5,36.5,36.5,36.5,36.5,36.5,NA,0.5224,0.4487,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,0.0041,NA,1.79150755605265e-20,3,1,"Forest_disc_25","cleveland"
1,10,4.09920926884029e-21,53.1,63.7,36.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,0.5223,0.4487,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,0.0036,4.09920926884029e-20,3,1,"Forest_disc_25","cleveland"
4,2,5.5447807844296e-10,122,159,NA,NA,NA,NA,NA,NA,NA,NA,0.6752,0.3248,NA,NA,NA,NA,NA,NA,NA,NA,5.5447807844296e-10,2,1,"Forest_disc_25","cleveland"
