"accuracy","macroPrecision","macroRecall","macroF1","kappa","kappa_w","data","class_method","inconsistency","disc_method","NB_interval","exe_time","iter","modif_nb_inter","name","exetimepervar"
0.997929606625259,0.997685185185185,0.998134328358209,0.997905327753323,0.995810673674898,0.995810673674898,"train","RF",0,"cont",NA,0,1,NA,"crx",0
0.884057971014493,0.882178497458106,0.883695652173913,0.882852292020374,0.765726681127983,0.765726681127983,"test","RF",0,"cont",NA,0,1,NA,"crx",0
0.877846790890269,0.876506024096386,0.880727178063172,0.877238479664675,0.754858189888771,0.754858189888771,"train","CART",0,"cont",NA,0,1,NA,"crx",0
0.864734299516908,0.865011202389843,0.869565217391304,0.86435124508519,0.729613733905579,0.729613733905579,"test","CART",0,"cont",NA,0,1,NA,"crx",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,1,NA,"crx",0
0.864734299516908,0.862612612612613,0.865217391304348,0.86358501223875,0.727272727272727,0.727272727272727,"test","Boosting",0,"cont",NA,0,1,NA,"crx",0
0.910973084886128,0.909288537549407,0.913337382853176,0.910418598632707,0.821010901883053,0.821010901883053,"train","SVM",0,"cont",NA,0,1,NA,"crx",0
0.879227053140097,0.877225866916589,0.880434782608696,0.878306878306878,0.756756756756757,0.756756756756757,"test","SVM",0,"cont",NA,0,1,NA,"crx",0
0.77639751552795,0.796048722519311,0.759415133634155,0.762959866220736,0.534058631223538,0.534058631223538,"train","NaiveBayes",0,"cont",NA,0,1,NA,"crx",0
0.806763285024155,0.838987764182425,0.78804347826087,0.793206793206793,0.595505617977528,0.595505617977528,"test","NaiveBayes",0,"cont",NA,0,1,NA,"crx",0
0.935817805383023,0.935615818422335,0.934345713293995,0.934943276863652,0.869891641539437,0.869891641539437,"train","KNN_Class",0,"cont",NA,0,1,NA,"crx",0
0.946859903381642,0.949425287356322,0.943478260869565,0.945869487697611,0.891803278688525,0.891803278688525,"test","KNN_Class",0,"cont",NA,0,1,NA,"crx",0
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,2,NA,"crx",0
0.8743961352657,0.872325450450451,0.875,0.873328939935982,0.746753246753247,0.746753246753247,"test","RF",0,"cont",NA,0,2,NA,"crx",0
0.89648033126294,0.896273530541683,0.893838944810829,0.894912274594444,0.789857468543882,0.789857468543882,"train","CART",0,"cont",NA,0,2,NA,"crx",0
0.864734299516908,0.862690642063642,0.864130434782609,0.863327674023769,0.726681127982646,0.726681127982646,"test","CART",0,"cont",NA,0,2,NA,"crx",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,2,NA,"crx",0
0.864734299516908,0.86304347826087,0.86304347826087,0.86304347826087,0.726086956521739,0.726086956521739,"test","Boosting",0,"cont",NA,0,2,NA,"crx",0
0.906832298136646,0.905519513953249,0.910065949323152,0.906368331947633,0.813027432966012,0.813027432966012,"train","SVM",0,"cont",NA,0,2,NA,"crx",0
0.855072463768116,0.853598130841122,0.857608695652174,0.854307432432432,0.709051724137931,0.709051724137931,"test","SVM",0,"cont",NA,0,2,NA,"crx",0
0.768115942028985,0.798623891584407,0.74781325928497,0.750304641630664,0.513577671474301,0.513577671474301,"train","NaiveBayes",0,"cont",NA,0,2,NA,"crx",0
0.777777777777778,0.793218366483284,0.76195652173913,0.765698818897638,0.537946428571429,0.537946428571429,"test","NaiveBayes",0,"cont",NA,0,2,NA,"crx",0
0.923395445134576,0.922310653349979,0.922691773689691,0.922497126872954,0.844994925971221,0.844994925971221,"train","KNN_Class",0,"cont",NA,0,2,NA,"crx",0
0.93719806763285,0.941369334619094,0.932608695652174,0.935850675820639,0.871851040525739,0.871851040525739,"test","KNN_Class",0,"cont",NA,0,2,NA,"crx",0
0.997929606625259,0.99814126394052,0.997674418604651,0.997903400138037,0.99580681847778,0.99580681847778,"train","RF",0,"cont",NA,0,3,NA,"crx",0
0.888888888888889,0.887773211283392,0.892391304347826,0.888378308676998,0.777179763186222,0.777179763186222,"test","RF",0,"cont",NA,0,3,NA,"crx",0
