"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
2,2,2.11602176805138e-07,26,57.4,NA,NA,NA,NA,NA,NA,NA,NA,0.7863,0.2137,NA,NA,NA,NA,NA,NA,NA,NA,2.11602176805138e-07,2,1,"Forest_disc_NLD50","crx"
2,3,2.85765609544188e-29,22.9,43.6,72.9,NA,NA,NA,NA,NA,NA,NA,0.5847,0.3738,0.0415,NA,NA,NA,NA,NA,NA,NA,2.85765609544188e-28,3,1,"Forest_disc_NLD50","crx"
2,4,1.37253039442348e-08,24.2,47.7,76.5,54.9,NA,NA,NA,NA,NA,NA,0.6703,0.2962,0.0241,0.0094,NA,NA,NA,NA,NA,NA,1.37253039442348e-06,4,1,"Forest_disc_NLD50","crx"
2,5,4.06342102795172e-31,37.1,20.1,23.6,66.3,38.2,NA,NA,NA,NA,NA,0.4078,0.2999,0.1416,0.0869,0.0639,NA,NA,NA,NA,NA,4.06342102795172e-28,5,1,"Forest_disc_NLD50","crx"
2,6,8.89466766031533e-31,28.9,19.3,40.9,38.4,66.6,27.3,NA,NA,NA,NA,0.3145,0.287,0.1832,0.1324,0.0822,7e-04,NA,NA,NA,NA,8.89466766031533e-27,6,1,"Forest_disc_NLD50","crx"
2,7,1.20956075886978e-11,38.4,21.6,21.8,20.7,67.2,67.4,22.1,NA,NA,NA,0.4533,0.1898,0.1305,0.1177,0.0445,0.0335,0.0307,NA,NA,NA,1.20956075886978e-06,7,1,"Forest_disc_NLD50","crx"
2,8,4.52790381727219e-08,22.9,36.6,36.3,21.1,61.9,30.9,29.6,34.8,NA,NA,0.3166,0.1573,0.1347,0.1333,0.1326,0.0864,0.0391,0,NA,NA,0.00452790381727219,7,1,"Forest_disc_NLD50","crx"
2,9,9.35820530086102e-07,29.3,24.6,59.1,31.1,18.5,42.5,20.2,24.4,35.1,NA,0.2199,0.1666,0.1633,0.146,0.118,0.074,0.07,0.0254,0.0169,NA,9.35820530086102,9,1,"Forest_disc_NLD50","crx"
2,10,1.29290511286006e-08,35.2,20,24.3,51.8,21.8,31.7,23.5,68.2,37.5,18.1,0.223,0.1462,0.1184,0.1156,0.1102,0.0918,0.0859,0.0551,0.0524,0.0014,1.29290511286006,10,1,"Forest_disc_NLD50","crx"
3,2,0.00022424284146761,0.02,8.7706,NA,NA,NA,NA,NA,NA,NA,NA,0.6249,0.3751,NA,NA,NA,NA,NA,NA,NA,NA,0.00022424284146761,2,1,"Forest_disc_NLD50","crx"
3,3,1.21981432139319e-29,4.1683,0.02,14.3198,NA,NA,NA,NA,NA,NA,NA,0.5308,0.3899,0.0793,NA,NA,NA,NA,NA,NA,NA,1.21981432139319e-28,3,1,"Forest_disc_NLD50","crx"
3,4,6.8842127714076e-33,4.1683,0.02,14.3198,4.6033,NA,NA,NA,NA,NA,NA,0.5308,0.3899,0.0793,0,NA,NA,NA,NA,NA,NA,6.8842127714076e-32,3,1,"Forest_disc_NLD50","crx"
3,5,1.98509552750037e-30,3.0991,0.02,6.7701,15.0134,8.0046,NA,NA,NA,NA,NA,0.4175,0.3534,0.1675,0.061,5e-04,NA,NA,NA,NA,NA,1.98509552750037e-27,5,1,"Forest_disc_NLD50","crx"
3,6,9.72368392830284e-31,0.02,3.8074,4.422,14.5719,8.8644,8.9899,NA,NA,NA,NA,0.3836,0.3351,0.1863,0.071,0.0152,0.0088,NA,NA,NA,NA,9.72368392830284e-27,6,1,"Forest_disc_NLD50","crx"
3,7,1.60673477236064e-33,4.1775,0.02,14.3956,4.638,0.6746,0.0474,13.8384,NA,NA,NA,0.4773,0.3636,0.071,0.0451,0.0261,0.0093,0.0076,NA,NA,NA,1.60673477236064e-28,7,1,"Forest_disc_NLD50","crx"
3,8,5.46081423813225e-09,3.9201,0.02,0.0601,2.481,15.0035,9.6442,11.8147,8.7564,NA,NA,0.4553,0.299,0.0664,0.0664,0.0571,0.0559,0,0,NA,NA,5.46081423813225e-05,6,1,"Forest_disc_NLD50","crx"
3,9,1.39282038963755e-07,3.7193,0.02,13.1612,14.4282,13.5743,2.8638,4.6968,5.4815,4.4078,NA,0.5311,0.3514,0.0394,0.0301,0.0259,0.019,0.0032,0,0,NA,0.0139282038963755,7,1,"Forest_disc_NLD50","crx"
3,10,4.700908655721e-32,3.9803,0.02,0.0343,0.1357,12.643,15.4986,6.5859,0.2847,0.2813,0.0946,0.4864,0.1784,0.0892,0.0682,0.0461,0.0369,0.0357,0.0308,0.0181,0.0102,4.700908655721e-24,10,1,"Forest_disc_NLD50","crx"
8,2,0.000213871053988453,0.02,6.0563,NA,NA,NA,NA,NA,NA,NA,NA,0.658,0.342,NA,NA,NA,NA,NA,NA,NA,NA,0.000213871053988453,2,1,"Forest_disc_NLD50","crx"
8,3,6.15663813612824e-30,2.6362,0.02,10.4622,NA,NA,NA,NA,NA,NA,NA,0.5445,0.3909,0.0646,NA,NA,NA,NA,NA,NA,NA,6.15663813612824e-29,3,1,"Forest_disc_NLD50","crx"
8,4,2.74380673880506e-30,2.5565,0.02,10.4939,3.8837,NA,NA,NA,NA,NA,NA,0.5173,0.3878,0.0636,0.0313,NA,NA,NA,NA,NA,NA,2.74380673880506e-28,4,1,"Forest_disc_NLD50","crx"
8,5,7.84300891425524e-30,2.5248,0.02,9.7811,13.0206,7.8214,NA,NA,NA,NA,NA,0.5455,0.3805,0.0614,0.0068,0.0058,NA,NA,NA,NA,NA,7.84300891425524e-27,5,1,"Forest_disc_NLD50","crx"
8,6,2.63024050298365e-30,2.6335,0.02,10.5242,0.4361,7.7578,1.0569,NA,NA,NA,NA,0.5402,0.3833,0.0619,0.0096,0.0042,8e-04,NA,NA,NA,NA,2.63024050298365e-26,6,1,"Forest_disc_NLD50","crx"
8,7,4.48652434224408e-32,2.135,0.02,1.6013,7.8391,7.2914,13.3647,13.4024,NA,NA,NA,0.4152,0.3183,0.146,0.0577,0.0491,0.0135,1e-04,NA,NA,NA,4.48652434224409e-27,7,1,"Forest_disc_NLD50","crx"
8,8,1.1977149093036e-31,3.1466,0.02,1.39,0.6477,0.4112,10.8296,0.079,7.5403,NA,NA,0.3718,0.2341,0.1551,0.0712,0.0538,0.0529,0.0499,0.0112,NA,NA,1.1977149093036e-25,8,1,"Forest_disc_NLD50","crx"
8,9,1.88153256472409e-31,2.5065,0.02,10.4231,3.7828,10.5907,2.5071,6.1996,11.4731,10.2252,NA,0.498,0.3849,0.041,0.0405,0.0169,0.009,0.0054,0.0033,9e-04,NA,1.88153256472409e-24,9,1,"Forest_disc_NLD50","crx"
8,10,7.01508285408428e-32,1.9493,0.02,3.5448,11.2094,6.7354,1.0465,6.4773,10.0428,5.7749,10.3895,0.3972,0.3422,0.1491,0.0403,0.0281,0.0234,0.0117,0.0046,0.0028,5e-04,7.01508285408428e-24,10,1,"Forest_disc_NLD50","crx"
11,2,0.00014528994714678,0.5,8.4,NA,NA,NA,NA,NA,NA,NA,NA,0.5748,0.4252,NA,NA,NA,NA,NA,NA,NA,NA,0.00014528994714678,2,1,"Forest_disc_NLD50","crx"
11,3,2.85196053812743e-30,4.8,0.5,13.9,NA,NA,NA,NA,NA,NA,NA,0.5586,0.3653,0.0761,NA,NA,NA,NA,NA,NA,NA,2.85196053812743e-29,3,1,"Forest_disc_NLD50","crx"
11,4,7.65061123016315e-33,4.8,0.5,13.9,9.6,NA,NA,NA,NA,NA,NA,0.5586,0.3653,0.0761,0,NA,NA,NA,NA,NA,NA,7.65061123016315e-32,3,1,"Forest_disc_NLD50","crx"
11,5,4.00711875528645e-31,4.7,0.5,14,7.9,0.6,NA,NA,NA,NA,NA,0.5439,0.3616,0.0724,0.0207,0.0014,NA,NA,NA,NA,NA,4.00711875528645e-28,5,1,"Forest_disc_NLD50","crx"
