"accuracy","macroPrecision","macroRecall","macroF1","kappa","kappa_w","data","class_method","inconsistency","disc_method","NB_interval","exe_time","iter","modif_nb_inter","name","exetimepervar"
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,1,NA,"derma",0
0.972972972972973,0.970551378446115,0.968518518518519,0.969245107176142,0.966148215919488,0.969719014276621,"test","RF",0,"cont",NA,0,1,NA,"derma",0
0.976470588235294,0.977200577200577,0.971710470711839,0.974095717971361,0.970557672324212,0.969103749091287,"train","CART",0,"cont",NA,0,1,NA,"derma",0
0.873873873873874,0.894759561426228,0.856883788869083,0.866982999168844,0.842265529841656,0.856483191725157,"test","CART",0,"cont",NA,0,1,NA,"derma",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,1,NA,"derma",0
0.846846846846847,0.880023448773449,0.798674242424242,0.820358013333401,0.806401969836873,0.896782592523712,"test","Boosting",0,"cont",NA,0,1,NA,"derma",0
1,1,1,1,1,1,"train","SVM",0,"cont",NA,0,1,NA,"derma",0
0.927927927927928,0.950254602428515,0.878472222222222,0.900589532474153,0.908932417187981,0.8761736543646,"test","SVM",0,"cont",NA,0,1,NA,"derma",0
0.996078431372549,0.995238095238095,0.996124031007752,0.995623756749076,0.995091717513907,0.995606856749074,"train","NaiveBayes",0,"cont",NA,0,1,NA,"derma",0
0.981981981981982,0.97962962962963,0.97962962962963,0.97962962962963,0.977439024390244,0.979840174355249,"test","NaiveBayes",0,"cont",NA,0,1,NA,"derma",0
1,1,1,1,1,1,"train","KNN_Class",0,"cont",NA,0,1,NA,"derma",0
0.990990990990991,0.989583333333333,0.990740740740741,0.989861751152074,0.988722950320024,0.98993379885735,"test","KNN_Class",0,"cont",NA,0,1,NA,"derma",0
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,2,NA,"derma",0
0.990990990990991,0.991228070175439,0.988888888888889,0.989748369058714,0.988716071973163,0.989906338092207,"test","RF",0,"cont",NA,0,2,NA,"derma",0
0.96078431372549,0.964699982557125,0.955797584388556,0.958241929490176,0.950857583349393,0.960284497975288,"train","CART",0,"cont",NA,0,2,NA,"derma",0
0.918918918918919,0.912707084582085,0.924709100812042,0.915316851607174,0.898845686512758,0.914137507394094,"test","CART",0,"cont",NA,0,2,NA,"derma",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,2,NA,"derma",0
0.846846846846847,0.875925925925926,0.809894285997227,0.827685604156192,0.807860706649017,0.891535991810525,"test","Boosting",0,"cont",NA,0,2,NA,"derma",0
0.996078431372549,0.996212121212121,0.995098039215686,0.995596728998685,0.995090016366612,0.995601248900312,"train","SVM",0,"cont",NA,0,2,NA,"derma",0
0.945945945945946,0.961486486486486,0.93587962962963,0.944396517102703,0.931887911638372,0.929157549234136,"test","SVM",0,"cont",NA,0,2,NA,"derma",0
0.988235294117647,0.986507936507937,0.98734610123119,0.986871270247229,0.98527515254172,0.986820570247222,"train","NaiveBayes",0,"cont",NA,0,2,NA,"derma",0
0.981981981981982,0.97962962962963,0.97962962962963,0.97962962962963,0.977439024390244,0.979840174355249,"test","NaiveBayes",0,"cont",NA,0,2,NA,"derma",0
0.996078431372549,0.995238095238095,0.996124031007752,0.995623756749076,0.995091717513907,0.995606856749074,"train","KNN_Class",0,"cont",NA,0,2,NA,"derma",0
1,1,1,1,1,1,"test","KNN_Class",0,"cont",NA,0,2,NA,"derma",0
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,3,NA,"derma",0
