"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
1,2,7.52563274776642e-09,44.2,65.7,NA,NA,NA,NA,NA,NA,NA,NA,0.6174,0.3826,NA,NA,NA,NA,NA,NA,NA,NA,7.52563274776642e-09,2,1,"Forest_disc_NLD50","Haberman"
1,3,6.84818254782073e-31,59.6,41.8,77.5,NA,NA,NA,NA,NA,NA,NA,0.4918,0.456,0.0522,NA,NA,NA,NA,NA,NA,NA,6.84818254782073e-30,3,1,"Forest_disc_NLD50","Haberman"
1,4,7.06351823068379e-07,63.7,41.9,43,40.2,NA,NA,NA,NA,NA,NA,0.4727,0.3843,0.143,2e-04,NA,NA,NA,NA,NA,NA,7.06351823068379e-05,4,1,"Forest_disc_NLD50","Haberman"
1,5,1.89010884776011e-32,50.1,69,42.8,52.6,34.3,NA,NA,NA,NA,NA,0.3216,0.2388,0.1913,0.1709,0.0775,NA,NA,NA,NA,NA,1.89010884776011e-29,5,1,"Forest_disc_NLD50","Haberman"
1,6,2.4880917840598e-09,51.6,52.9,36.6,71.9,53.6,77.5,NA,NA,NA,NA,0.287,0.205,0.1986,0.1595,0.1499,0,NA,NA,NA,NA,2.4880917840598e-06,5,1,"Forest_disc_NLD50","Haberman"
1,7,5.75398253105063e-08,51.5,70.6,42.2,50.6,53.7,57,34.6,NA,NA,NA,0.184,0.1781,0.1494,0.1467,0.1225,0.1098,0.1095,NA,NA,NA,0.00575398253105063,7,1,"Forest_disc_NLD50","Haberman"
1,8,1.44977059235744e-10,58.5,45.9,44.4,69.8,42.3,50.9,33.9,74.4,NA,NA,0.3108,0.1987,0.1373,0.0861,0.081,0.0693,0.0657,0.0511,NA,NA,0.000144977059235744,8,1,"Forest_disc_NLD50","Haberman"
1,9,7.81049579691698e-09,41.4,66.6,45.2,67.3,49.8,53.2,34.6,74.7,45.3,NA,0.2689,0.1566,0.1555,0.1511,0.1321,0.1248,0.0099,0.001,0,NA,0.00781049579691698,8,1,"Forest_disc_NLD50","Haberman"
1,10,4.27592837550022e-10,55.7,43.7,42.3,42.6,64.2,72.6,68.9,41,55,34,0.2724,0.151,0.1099,0.1079,0.0917,0.0729,0.0592,0.0573,0.0548,0.0228,0.0427592837550022,10,1,"Forest_disc_NLD50","Haberman"
2,2,1.86099390839528e-05,63.3,58.5,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1.86099390839528e-06,1,1,"Forest_disc_NLD50","Haberman"
2,3,2.62832431051631e-14,62.8,67.4,58.5,NA,NA,NA,NA,NA,NA,NA,0.5372,0.2544,0.2084,NA,NA,NA,NA,NA,NA,NA,2.62832431051631e-13,3,1,"Forest_disc_NLD50","Haberman"
2,4,9.55883259346026e-14,62.6,64.9,58.5,68.5,NA,NA,NA,NA,NA,NA,0.3762,0.2795,0.2163,0.1281,NA,NA,NA,NA,NA,NA,9.55883259346026e-12,4,1,"Forest_disc_NLD50","Haberman"
2,5,2.52376070173998e-14,61.4,65.8,58.5,67.3,66.3,NA,NA,NA,NA,NA,0.4327,0.148,0.1472,0.1399,0.1322,NA,NA,NA,NA,NA,2.52376070173998e-11,5,1,"Forest_disc_NLD50","Haberman"
2,6,1.68613994274807e-14,61.5,58.5,66.2,66.7,65.8,67.6,NA,NA,NA,NA,0.4363,0.1551,0.1393,0.1141,0.0823,0.0728,NA,NA,NA,NA,1.68613994274807e-10,6,1,"Forest_disc_NLD50","Haberman"
2,7,3.13949175884163e-14,61.1,58.5,66.8,67.3,64.8,66.2,65.5,NA,NA,NA,0.4107,0.1355,0.1186,0.1081,0.0877,0.0734,0.066,NA,NA,NA,3.13949175884163e-09,7,1,"Forest_disc_NLD50","Haberman"
2,8,1.85592603241348e-14,61.9,58.5,66.4,68.5,65.6,63.5,63.8,65.4,NA,NA,0.3303,0.194,0.1211,0.089,0.0837,0.0682,0.0681,0.0456,NA,NA,1.85592603241348e-08,8,1,"Forest_disc_NLD50","Haberman"
2,9,1.50818175792863e-13,61.2,58.5,67.1,67.4,66,65.7,64.8,64.2,65.6,NA,0.3947,0.1414,0.0951,0.0937,0.0774,0.0585,0.0487,0.0486,0.0418,NA,1.50818175792863e-06,9,1,"Forest_disc_NLD50","Haberman"
2,10,7.01043748184619e-14,63.1,58.5,62.3,63.9,67.3,63.1,67.9,68.2,68.3,65.4,0.3498,0.2168,0.0745,0.0745,0.0685,0.0644,0.0591,0.037,0.0346,0.0208,7.01043748184619e-07,9,1,"Forest_disc_NLD50","Haberman"
3,2,0.000186871896907584,0.5,20.2,NA,NA,NA,NA,NA,NA,NA,NA,0.6246,0.3754,NA,NA,NA,NA,NA,NA,NA,NA,0.000186871896907584,2,1,"Forest_disc_NLD50","Haberman"
3,3,9.73180620040628e-30,10.5,0.5,31.6,NA,NA,NA,NA,NA,NA,NA,0.4896,0.4263,0.084,NA,NA,NA,NA,NA,NA,NA,9.73180620040628e-29,3,1,"Forest_disc_NLD50","Haberman"
3,4,3.56488071157982e-30,9.3,0.5,19.7,33.4,NA,NA,NA,NA,NA,NA,0.4421,0.4109,0.0886,0.0584,NA,NA,NA,NA,NA,NA,3.56488071157982e-28,4,1,"Forest_disc_NLD50","Haberman"
3,5,2.14537513725504e-31,11.3,0.5,1.5,32,0.5,NA,NA,NA,NA,NA,0.4516,0.2671,0.1907,0.0782,0.0123,NA,NA,NA,NA,NA,2.14537513725504e-29,4,1,"Forest_disc_NLD50","Haberman"
3,6,5.93505141411014e-31,0.5,12,3.4,14.8,33.2,16.5,NA,NA,NA,NA,0.3173,0.2546,0.2418,0.1105,0.0647,0.011,NA,NA,NA,NA,5.93505141411014e-27,6,1,"Forest_disc_NLD50","Haberman"
3,7,2.13906319422722e-32,10.1,0.5,32.5,9.4,18.9,23.8,4.7,NA,NA,NA,0.4438,0.4207,0.0684,0.0261,0.021,0.0181,0.0018,NA,NA,NA,2.13906319422722e-27,7,1,"Forest_disc_NLD50","Haberman"
3,8,1.69144707735683e-07,9.4,0.5,30.5,9.1,1.5,13.8,5.3,22.1,NA,NA,0.3391,0.3389,0.0977,0.0748,0.054,0.0492,0.0462,1e-04,NA,NA,0.169144707735683,8,1,"Forest_disc_NLD50","Haberman"
3,9,8.72201675333754e-33,10.5,0.5,32.9,26.2,9.7,1.8,32.4,2.4,33.4,NA,0.4499,0.4071,0.0388,0.0297,0.0281,0.0231,0.0218,0.0011,5e-04,NA,8.72201675333754e-26,9,1,"Forest_disc_NLD50","Haberman"
3,10,4.71965182736503e-30,10.4,0.5,5.8,24,26.2,35.3,27.3,34.2,34.3,32.7,0.4195,0.4075,0.0656,0.0314,0.025,0.0245,0.0141,0.0083,0.0041,0,4.71965182736503e-23,9,1,"Forest_disc_NLD50","Haberman"
1,2,7.13460285644333e-09,44.3,65.8,NA,NA,NA,NA,NA,NA,NA,NA,0.6277,0.3723,NA,NA,NA,NA,NA,NA,NA,NA,7.13460285644333e-09,2,1,"Forest_disc_NLD100","Haberman"
1,3,1.68162378750456e-31,47.9,68.2,33.1,NA,NA,NA,NA,NA,NA,NA,0.6529,0.2721,0.075,NA,NA,NA,NA,NA,NA,NA,1.68162378750456e-30,3,1,"Forest_disc_NLD100","Haberman"
