"var","Split","freq","opt_value","iter","forest","name"
1,34.3,0.0775,1.89010884776011e-32,1,"Forest_disc_NLD50","Haberman"
1,42.8,0.1913,1.89010884776011e-32,1,"Forest_disc_NLD50","Haberman"
1,50.1,0.3216,1.89010884776011e-32,1,"Forest_disc_NLD50","Haberman"
1,52.6,0.1709,1.89010884776011e-32,1,"Forest_disc_NLD50","Haberman"
1,69,0.2388,1.89010884776011e-32,1,"Forest_disc_NLD50","Haberman"
2,58.5,0.1551,1.68613994274807e-14,1,"Forest_disc_NLD50","Haberman"
2,61.5,0.4363,1.68613994274807e-14,1,"Forest_disc_NLD50","Haberman"
2,65.8,0.0823,1.68613994274807e-14,1,"Forest_disc_NLD50","Haberman"
2,66.2,0.1393,1.68613994274807e-14,1,"Forest_disc_NLD50","Haberman"
2,66.7,0.1141,1.68613994274807e-14,1,"Forest_disc_NLD50","Haberman"
2,67.6,0.0728,1.68613994274807e-14,1,"Forest_disc_NLD50","Haberman"
3,0.5,0.4071,8.72201675333754e-33,1,"Forest_disc_NLD50","Haberman"
3,1.8,0.0231,8.72201675333754e-33,1,"Forest_disc_NLD50","Haberman"
3,2.4,0.0011,8.72201675333754e-33,1,"Forest_disc_NLD50","Haberman"
3,9.7,0.0281,8.72201675333754e-33,1,"Forest_disc_NLD50","Haberman"
3,10.5,0.4499,8.72201675333754e-33,1,"Forest_disc_NLD50","Haberman"
3,26.2,0.0297,8.72201675333754e-33,1,"Forest_disc_NLD50","Haberman"
3,32.4,0.0218,8.72201675333754e-33,1,"Forest_disc_NLD50","Haberman"
3,32.9,0.0388,8.72201675333754e-33,1,"Forest_disc_NLD50","Haberman"
3,33.4,5e-04,8.72201675333754e-33,1,"Forest_disc_NLD50","Haberman"
1,33.7,2e-04,1.5636879153197e-32,1,"Forest_disc_NLD100","Haberman"
1,37.3,0.1605,1.5636879153197e-32,1,"Forest_disc_NLD100","Haberman"
1,46.5,0.0545,1.5636879153197e-32,1,"Forest_disc_NLD100","Haberman"
1,47.2,0.2325,1.5636879153197e-32,1,"Forest_disc_NLD100","Haberman"
1,50.6,0.213,1.5636879153197e-32,1,"Forest_disc_NLD100","Haberman"
1,60,0.1895,1.5636879153197e-32,1,"Forest_disc_NLD100","Haberman"
1,71.1,0.1499,1.5636879153197e-32,1,"Forest_disc_NLD100","Haberman"
2,58.5,0.1604,1.22935770109312e-15,1,"Forest_disc_NLD100","Haberman"
2,61.7,0.3852,1.22935770109312e-15,1,"Forest_disc_NLD100","Haberman"
2,63.5,0.0621,1.22935770109312e-15,1,"Forest_disc_NLD100","Haberman"
2,64.1,0.0548,1.22935770109312e-15,1,"Forest_disc_NLD100","Haberman"
2,65.4,0.0467,1.22935770109312e-15,1,"Forest_disc_NLD100","Haberman"
2,66.1,0.0746,1.22935770109312e-15,1,"Forest_disc_NLD100","Haberman"
2,66.4,0.1189,1.22935770109312e-15,1,"Forest_disc_NLD100","Haberman"
2,68.1,0.0972,1.22935770109312e-15,1,"Forest_disc_NLD100","Haberman"
3,0.5,0.4181,7.66350196204738e-33,1,"Forest_disc_NLD100","Haberman"
3,9.8,0.4957,7.66350196204738e-33,1,"Forest_disc_NLD100","Haberman"
3,30.7,0.0862,7.66350196204738e-33,1,"Forest_disc_NLD100","Haberman"
1,32.5,0.0363,2.6659170452235e-33,1,"Forest_disc_NLD200","Haberman"
1,32.8,0.0282,2.6659170452235e-33,1,"Forest_disc_NLD200","Haberman"
1,47.5,0.6129,2.6659170452235e-33,1,"Forest_disc_NLD200","Haberman"
1,61.2,0.0908,2.6659170452235e-33,1,"Forest_disc_NLD200","Haberman"
1,69,0.2319,2.6659170452235e-33,1,"Forest_disc_NLD200","Haberman"
2,58.5,0.1729,1.71522772999936e-16,1,"Forest_disc_NLD200","Haberman"
2,62.1,0.5031,1.71522772999936e-16,1,"Forest_disc_NLD200","Haberman"
