"var","Split","freq","opt_value","iter","forest","name"
1,32.5,0.0709,3.98324273771418e-23,1,"Forest_disc_25","Haberman"
1,47.7,0.6492,3.98324273771418e-23,1,"Forest_disc_25","Haberman"
1,68.2,0.2799,3.98324273771418e-23,1,"Forest_disc_25","Haberman"
2,58.5,0.1944,1.27971424802725e-17,1,"Forest_disc_25","Haberman"
2,62.3,0.4849,1.27971424802725e-17,1,"Forest_disc_25","Haberman"
2,66.9,0.3208,1.27971424802725e-17,1,"Forest_disc_25","Haberman"
3,0.5,0.4312,2.197331262256e-25,1,"Forest_disc_25","Haberman"
3,10.7,0.4665,2.197331262256e-25,1,"Forest_disc_25","Haberman"
3,31.2,0.1024,2.197331262256e-25,1,"Forest_disc_25","Haberman"
1,32.5,0.0714,3.59668882528151e-23,1,"Forest_disc_50","Haberman"
1,47.9,0.6385,3.59668882528151e-23,1,"Forest_disc_50","Haberman"
1,68.4,0.29,3.59668882528151e-23,1,"Forest_disc_50","Haberman"
2,58.5,0.1896,1.11875420217916e-17,1,"Forest_disc_50","Haberman"
2,62.2,0.5081,1.11875420217916e-17,1,"Forest_disc_50","Haberman"
2,67.1,0.3022,1.11875420217916e-17,1,"Forest_disc_50","Haberman"
3,0.6,0.435,1.55069793651474e-25,1,"Forest_disc_50","Haberman"
3,9.9,0.4828,1.55069793651474e-25,1,"Forest_disc_50","Haberman"
3,30.7,0.0823,1.55069793651474e-25,1,"Forest_disc_50","Haberman"
1,33.5,0.0774,3.96647041624199e-23,1,"Forest_disc_75","Haberman"
1,48.3,0.6661,3.96647041624199e-23,1,"Forest_disc_75","Haberman"
1,68.5,0.2568,3.96647041624199e-23,1,"Forest_disc_75","Haberman"
2,58.5,0.1706,1.2563257799388e-17,1,"Forest_disc_75","Haberman"
2,62.2,0.5183,1.2563257799388e-17,1,"Forest_disc_75","Haberman"
2,67,0.3112,1.2563257799388e-17,1,"Forest_disc_75","Haberman"
3,0.5,0.4332,7.2897580835211e-27,1,"Forest_disc_75","Haberman"
3,10.2,0.4897,7.2897580835211e-27,1,"Forest_disc_75","Haberman"
3,31.6,0.0772,7.2897580835211e-27,1,"Forest_disc_75","Haberman"
1,32,0.0572,8.64196980729157e-24,1,"Forest_disc_100","Haberman"
1,47.9,0.6571,8.64196980729157e-24,1,"Forest_disc_100","Haberman"
1,68.2,0.2857,8.64196980729157e-24,1,"Forest_disc_100","Haberman"
2,58.5,0.1688,1.26796065049079e-17,1,"Forest_disc_100","Haberman"
2,62.3,0.5105,1.26796065049079e-17,1,"Forest_disc_100","Haberman"
2,67,0.3207,1.26796065049079e-17,1,"Forest_disc_100","Haberman"
3,0.6,0.4507,9.12873392716259e-27,1,"Forest_disc_100","Haberman"
3,10.7,0.4801,9.12873392716259e-27,1,"Forest_disc_100","Haberman"
3,34.1,0.0692,9.12873392716259e-27,1,"Forest_disc_100","Haberman"
1,32.5,0.0678,5.37418049304312e-23,1,"Forest_disc_125","Haberman"
1,47.7,0.647,5.37418049304312e-23,1,"Forest_disc_125","Haberman"
1,68.3,0.2853,5.37418049304312e-23,1,"Forest_disc_125","Haberman"
2,58.6,0.193,1.15388122918924e-17,1,"Forest_disc_125","Haberman"
2,62.2,0.4946,1.15388122918924e-17,1,"Forest_disc_125","Haberman"
2,67,0.3124,1.15388122918924e-17,1,"Forest_disc_125","Haberman"
3,0.6,0.4437,1.89261185629174e-26,1,"Forest_disc_125","Haberman"
3,10.5,0.486,1.89261185629174e-26,1,"Forest_disc_125","Haberman"
3,34,0.0704,1.89261185629174e-26,1,"Forest_disc_125","Haberman"
1,32,0.064,7.40682827643169e-23,1,"Forest_disc_150","Haberman"
1,47.9,0.6458,7.40682827643169e-23,1,"Forest_disc_150","Haberman"
1,68.4,0.2902,7.40682827643169e-23,1,"Forest_disc_150","Haberman"
2,58.6,0.1926,1.22099841725957e-17,1,"Forest_disc_150","Haberman"
2,62.3,0.5067,1.22099841725957e-17,1,"Forest_disc_150","Haberman"
2,67.1,0.3006,1.22099841725957e-17,1,"Forest_disc_150","Haberman"
3,0.5,0.4314,5.98152104715015e-26,1,"Forest_disc_150","Haberman"
3,10.8,0.5039,5.98152104715015e-26,1,"Forest_disc_150","Haberman"
3,33.8,0.0647,5.98152104715015e-26,1,"Forest_disc_150","Haberman"
1,32.5,0.0704,2.98619775965175e-23,1,"Forest_disc_175","Haberman"
1,47.8,0.6625,2.98619775965175e-23,1,"Forest_disc_175","Haberman"
1,68.4,0.2671,2.98619775965175e-23,1,"Forest_disc_175","Haberman"
2,58.5,0.1832,1.11787669751708e-17,1,"Forest_disc_175","Haberman"
2,62.1,0.499,1.11787669751708e-17,1,"Forest_disc_175","Haberman"
2,67,0.3176,1.11787669751708e-17,1,"Forest_disc_175","Haberman"
3,0.5,0.4355,6.97234250377726e-26,1,"Forest_disc_175","Haberman"
3,11,0.4955,6.97234250377726e-26,1,"Forest_disc_175","Haberman"
3,34.9,0.0691,6.97234250377726e-26,1,"Forest_disc_175","Haberman"
1,32,0.0626,3.56994985293187e-23,1,"Forest_disc_200","Haberman"
1,47.7,0.6544,3.56994985293187e-23,1,"Forest_disc_200","Haberman"
1,68.3,0.283,3.56994985293187e-23,1,"Forest_disc_200","Haberman"
