"accuracy","macroPrecision","macroRecall","macroF1","kappa","kappa_w","data","class_method","inconsistency","disc_method","NB_interval","exe_time","iter","modif_nb_inter","name","exetimepervar"
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,1,NA,"heart",0
0.839506172839506,0.837223587223587,0.838888888888889,0.837925196244421,0.67590027700831,0.67590027700831,"test","RF",0,"cont",NA,0,1,NA,"heart",0
0.873015873015873,0.871428571428571,0.871428571428571,0.871428571428571,0.742857142857143,0.742857142857143,"train","CART",0,"cont",NA,0,1,NA,"heart",0
0.790123456790123,0.790853658536585,0.794444444444445,0.78961038961039,0.580821917808219,0.580821917808219,"test","CART",0,"cont",NA,0,1,NA,"heart",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,1,NA,"heart",0
0.827160493827161,0.825,0.825,0.825,0.65,0.65,"test","Boosting",0,"cont",NA,0,1,NA,"heart",0
0.947089947089947,0.949139908256881,0.944047619047619,0.946147709140643,0.892344497607656,0.892344497607656,"train","SVM",0,"cont",NA,0,1,NA,"heart",0
0.851851851851852,0.852002503128911,0.847222222222222,0.849068322981366,0.698324022346369,0.698324022346369,"test","SVM",0,"cont",NA,0,1,NA,"heart",0
0.857142857142857,0.855649011138895,0.854761904761905,0.855180633992678,0.710369487485101,0.710369487485101,"train","NaiveBayes",0,"cont",NA,0,1,NA,"heart",0
0.876543209876543,0.875,0.875,0.875,0.75,0.75,"test","NaiveBayes",0,"cont",NA,0,1,NA,"heart",0
0.931216931216931,0.933774453394707,0.927380952380952,0.929890141246968,0.859880239520958,0.859880239520958,"train","KNN_Class",0,"cont",NA,0,1,NA,"heart",0
0.962962962962963,0.963975155279503,0.961111111111111,0.962389722953103,0.924791086350975,0.924791086350975,"test","KNN_Class",0,"cont",NA,0,1,NA,"heart",0
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,2,NA,"heart",0
0.814814814814815,0.82526525198939,0.802777777777778,0.807295796986519,0.61756373937677,0.61756373937677,"test","RF",0,"cont",NA,0,2,NA,"heart",0
0.873015873015873,0.872179165716891,0.870238095238095,0.871107069788588,0.742243436754177,0.742243436754177,"train","CART",0,"cont",NA,0,2,NA,"heart",0
0.851851851851852,0.869946091644205,0.838888888888889,0.845025510204082,0.693181818181818,0.693181818181818,"test","CART",0,"cont",NA,0,2,NA,"heart",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,2,NA,"heart",0
0.802469135802469,0.801314142678348,0.797222222222222,0.798757763975155,0.597765363128492,0.597765363128492,"test","Boosting",0,"cont",NA,0,2,NA,"heart",0
0.936507936507937,0.936801914748119,0.93452380952381,0.935553534894294,0.871121718377088,0.871121718377088,"train","SVM",0,"cont",NA,0,2,NA,"heart",0
0.827160493827161,0.835294117647059,0.816666666666667,0.821022727272727,0.64406779661017,0.64406779661017,"test","SVM",0,"cont",NA,0,2,NA,"heart",0
0.867724867724868,0.865837104072398,0.866666666666667,0.866226890518389,0.732461355529132,0.732461355529132,"train","NaiveBayes",0,"cont",NA,0,2,NA,"heart",0
0.827160493827161,0.835294117647059,0.816666666666667,0.821022727272727,0.64406779661017,0.64406779661017,"test","NaiveBayes",0,"cont",NA,0,2,NA,"heart",0
0.957671957671958,0.959977064220183,0.954761904761905,0.956918167312514,0.913875598086124,0.913875598086124,"train","KNN_Class",0,"cont",NA,0,2,NA,"heart",0
0.938271604938272,0.938819875776397,0.936111111111111,0.937316204921839,0.874651810584958,0.874651810584958,"test","KNN_Class",0,"cont",NA,0,2,NA,"heart",0
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,3,NA,"heart",0
0.876543209876543,0.888235294117647,0.866666666666667,0.872159090909091,0.745762711864407,0.745762711864407,"test","RF",0,"cont",NA,0,3,NA,"heart",0
0.862433862433862,0.860606060606061,0.864285714285714,0.861561866125761,0.723404255319149,0.723404255319149,"train","CART",0,"cont",NA,0,3,NA,"heart",0
0.827160493827161,0.835294117647059,0.816666666666667,0.821022727272727,0.64406779661017,0.64406779661017,"test","CART",0,"cont",NA,0,3,NA,"heart",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,3,NA,"heart",0
0.777777777777778,0.782352941176471,0.766666666666667,0.769886363636364,0.542372881355932,0.542372881355932,"test","Boosting",0,"cont",NA,0,3,NA,"heart",0
0.931216931216931,0.930836553762219,0.929761904761905,0.930272157107586,0.860548271752086,0.860548271752086,"train","SVM",0,"cont",NA,0,3,NA,"heart",0
