"var","Split","freq","opt_value","iter","forest","name"
1,36,0.0664,3.52164039951394e-22,1,"Forest_disc_25","heart"
1,50.9,0.6272,3.52164039951394e-22,1,"Forest_disc_25","heart"
1,67.1,0.3067,3.52164039951394e-22,1,"Forest_disc_25","heart"
4,105,0.1501,3.79287064345025e-23,1,"Forest_disc_25","heart"
4,127,0.5683,3.79287064345025e-23,1,"Forest_disc_25","heart"
4,159,0.2816,3.79287064345025e-23,1,"Forest_disc_25","heart"
5,152,0.1095,1.96314880321082e-27,1,"Forest_disc_25","heart"
5,249,0.7799,1.96314880321082e-27,1,"Forest_disc_25","heart"
5,404,0.1104,1.96314880321082e-27,1,"Forest_disc_25","heart"
8,96.5,0.0348,5.77169821699942e-24,1,"Forest_disc_25","heart"
8,136,0.4559,5.77169821699942e-24,1,"Forest_disc_25","heart"
8,168.1,0.5092,5.77169821699942e-24,1,"Forest_disc_25","heart"
10,0.05,0.268,3.31524990060881e-21,1,"Forest_disc_25","heart"
10,1.16,0.5661,3.31524990060881e-21,1,"Forest_disc_25","heart"
10,3.27,0.1661,3.31524990060881e-21,1,"Forest_disc_25","heart"
1,37.5,0.0515,1.27577194582673e-21,1,"Forest_disc_50","heart"
1,50.7,0.6172,1.27577194582673e-21,1,"Forest_disc_50","heart"
1,64.2,0.3312,1.27577194582673e-21,1,"Forest_disc_50","heart"
4,102,0.1455,1.38508683923656e-26,1,"Forest_disc_50","heart"
4,126,0.6453,1.38508683923656e-26,1,"Forest_disc_50","heart"
4,165,0.2092,1.38508683923656e-26,1,"Forest_disc_50","heart"
5,155,0.0475,6.15171981519231e-27,1,"Forest_disc_50","heart"
5,238,0.7212,6.15171981519231e-27,1,"Forest_disc_50","heart"
5,326,0.2314,6.15171981519231e-27,1,"Forest_disc_50","heart"
8,83.5,0.0297,9.55677037741757e-24,1,"Forest_disc_50","heart"
8,133.5,0.4912,9.55677037741757e-24,1,"Forest_disc_50","heart"
8,168.4,0.479,9.55677037741757e-24,1,"Forest_disc_50","heart"
10,0.06,0.184,5.31093478768929e-22,1,"Forest_disc_50","heart"
10,1.2,0.6492,5.31093478768929e-22,1,"Forest_disc_50","heart"
10,3.13,0.1666,5.31093478768929e-22,1,"Forest_disc_50","heart"
1,37,0.0546,1.30327460170706e-21,1,"Forest_disc_75","heart"
1,50.6,0.5622,1.30327460170706e-21,1,"Forest_disc_75","heart"
1,64.2,0.3832,1.30327460170706e-21,1,"Forest_disc_75","heart"
4,102,0.133,1.01527550573897e-23,1,"Forest_disc_75","heart"
4,125,0.6155,1.01527550573897e-23,1,"Forest_disc_75","heart"
4,161,0.2516,1.01527550573897e-23,1,"Forest_disc_75","heart"
5,152,0.0648,9.08141186277392e-27,1,"Forest_disc_75","heart"
5,245,0.8058,9.08141186277392e-27,1,"Forest_disc_75","heart"
5,357,0.129,9.08141186277392e-27,1,"Forest_disc_75","heart"
8,83.5,0.0245,5.63075395974215e-24,1,"Forest_disc_75","heart"
8,133,0.4656,5.63075395974215e-24,1,"Forest_disc_75","heart"
8,166.5,0.5101,5.63075395974215e-24,1,"Forest_disc_75","heart"
10,0.09,0.2236,2.87271450415089e-21,1,"Forest_disc_75","heart"
10,1.25,0.5949,2.87271450415089e-21,1,"Forest_disc_75","heart"
10,3.25,0.1815,2.87271450415089e-21,1,"Forest_disc_75","heart"
1,37,0.052,9.12988937050126e-23,1,"Forest_disc_100","heart"
1,50.3,0.5593,9.12988937050126e-23,1,"Forest_disc_100","heart"
1,63.9,0.3886,9.12988937050126e-23,1,"Forest_disc_100","heart"
4,101,0.1148,1.62794825875713e-23,1,"Forest_disc_100","heart"
4,124,0.6419,1.62794825875713e-23,1,"Forest_disc_100","heart"
4,159,0.2433,1.62794825875713e-23,1,"Forest_disc_100","heart"
5,145,0.073,5.58484423260331e-29,1,"Forest_disc_100","heart"
5,247,0.8163,5.58484423260331e-29,1,"Forest_disc_100","heart"
5,377,0.1107,5.58484423260331e-29,1,"Forest_disc_100","heart"
8,83.5,0.0236,1.78735354045539e-24,1,"Forest_disc_100","heart"
8,132.2,0.5128,1.78735354045539e-24,1,"Forest_disc_100","heart"
8,168,0.4636,1.78735354045539e-24,1,"Forest_disc_100","heart"
10,0.07,0.2421,2.92429458123294e-22,1,"Forest_disc_100","heart"
10,1.22,0.5884,2.92429458123294e-22,1,"Forest_disc_100","heart"
10,3.3,0.1694,2.92429458123294e-22,1,"Forest_disc_100","heart"
1,37.5,0.0476,1.30154051790194e-21,1,"Forest_disc_125","heart"
1,50.8,0.5654,1.30154051790194e-21,1,"Forest_disc_125","heart"
1,63.6,0.3871,1.30154051790194e-21,1,"Forest_disc_125","heart"
4,101,0.112,2.30977780037761e-23,1,"Forest_disc_125","heart"
4,123,0.6408,2.30977780037761e-23,1,"Forest_disc_125","heart"
4,160,0.2471,2.30977780037761e-23,1,"Forest_disc_125","heart"
5,155,0.0816,4.33293587081341e-29,1,"Forest_disc_125","heart"
5,246,0.8109,4.33293587081341e-29,1,"Forest_disc_125","heart"
5,377,0.1075,4.33293587081341e-29,1,"Forest_disc_125","heart"
8,83.5,0.0245,1.06518992657485e-23,1,"Forest_disc_125","heart"
8,132.5,0.4938,1.06518992657485e-23,1,"Forest_disc_125","heart"
8,167,0.4817,1.06518992657485e-23,1,"Forest_disc_125","heart"
10,0.08,0.2742,5.17751571637979e-22,1,"Forest_disc_125","heart"
10,1.32,0.592,5.17751571637979e-22,1,"Forest_disc_125","heart"
10,3.52,0.1338,5.17751571637979e-22,1,"Forest_disc_125","heart"
1,37.5,0.0514,3.0703197535201e-22,1,"Forest_disc_150","heart"
1,50.3,0.5836,3.0703197535201e-22,1,"Forest_disc_150","heart"
1,63.4,0.365,3.0703197535201e-22,1,"Forest_disc_150","heart"
4,101,0.1218,1.92660039718197e-23,1,"Forest_disc_150","heart"
4,124,0.6323,1.92660039718197e-23,1,"Forest_disc_150","heart"
4,160,0.246,1.92660039718197e-23,1,"Forest_disc_150","heart"
5,138,0.0603,4.60887467088472e-30,1,"Forest_disc_150","heart"
5,241,0.8116,4.60887467088472e-30,1,"Forest_disc_150","heart"
5,367,0.1281,4.60887467088472e-30,1,"Forest_disc_150","heart"
8,92.5,0.0297,1.72187379663323e-23,1,"Forest_disc_150","heart"
8,136.9,0.5172,1.72187379663323e-23,1,"Forest_disc_150","heart"
8,169.4,0.4532,1.72187379663323e-23,1,"Forest_disc_150","heart"
10,0.07,0.2439,4.29768006095549e-21,1,"Forest_disc_150","heart"
10,1.2,0.5938,4.29768006095549e-21,1,"Forest_disc_150","heart"
10,3.21,0.1622,4.29768006095549e-21,1,"Forest_disc_150","heart"
1,36,0.0398,3.4234531321933e-22,1,"Forest_disc_175","heart"
1,50.2,0.5887,3.4234531321933e-22,1,"Forest_disc_175","heart"
1,63.8,0.3715,3.4234531321933e-22,1,"Forest_disc_175","heart"
4,102,0.1242,8.91099593742711e-24,1,"Forest_disc_175","heart"
4,124,0.6272,8.91099593742711e-24,1,"Forest_disc_175","heart"
4,160,0.2486,8.91099593742711e-24,1,"Forest_disc_175","heart"
5,138,0.0616,6.0944340533453e-28,1,"Forest_disc_175","heart"
5,241,0.8171,6.0944340533453e-28,1,"Forest_disc_175","heart"
5,365,0.1216,6.0944340533453e-28,1,"Forest_disc_175","heart"
8,83.5,0.0232,1.74398316540191e-23,1,"Forest_disc_175","heart"
8,135.2,0.5019,1.74398316540191e-23,1,"Forest_disc_175","heart"
8,168.5,0.4749,1.74398316540191e-23,1,"Forest_disc_175","heart"
10,0.05,0.228,1.50662603435502e-21,1,"Forest_disc_175","heart"
10,1.22,0.6364,1.50662603435502e-21,1,"Forest_disc_175","heart"
10,3.31,0.1352,1.50662603435502e-21,1,"Forest_disc_175","heart"
1,37.5,0.049,1.00379695474424e-22,1,"Forest_disc_200","heart"
1,50.3,0.5246,1.00379695474424e-22,1,"Forest_disc_200","heart"
1,63.3,0.4262,1.00379695474424e-22,1,"Forest_disc_200","heart"
4,101,0.124,4.33019729768802e-24,1,"Forest_disc_200","heart"
4,124,0.6166,4.33019729768802e-24,1,"Forest_disc_200","heart"
4,159,0.259,4.33019729768802e-24,1,"Forest_disc_200","heart"
