"name","data","disc_method","mean_NB_interval","std_NB_interval","mean_exe_time","std_exe_time","mean_exe_time_pervar","std_exe_time_pervar","mean_incons","std_incons","mean_acc","std_acc","mean_Precision","std_Precision","mean_Recall","std_Recall","mean_F1","std_F1","mean_Kappa","std_Kappa","mean_Kappaw","std_Kappaw"
"hepatisis","test","AMEVA",2.66666666666667,0.291111254869791,0.207502102851868,0.034952185892378,0.0345836838086446,0.00582536431539634,0,0,0.840070921985816,0.0598586374231558,0.786427640449494,0.108958128550274,0.729369369369369,0.0879552288844442,0.742292044002681,0.0901693187710951,0.48977454029039,0.178185540959096,0.48977454029039,0.178185540959096
"hepatisis","test","CACC",7.33333333333333,1.98582547693869,0.654194116592407,0.211179003093947,0.109032352765401,0.0351965005156578,0,0,0.822695035460993,0.0717703793903163,0.758139757890456,0.129673336437235,0.694009009009009,0.109648713140372,0.704463590783671,0.116046374039616,0.418596822022391,0.224898872652287,0.418596822022391,0.224898872652287
"hepatisis","test","CAIM",2,0,0.166298580169678,0.00969468879330533,0.0277164300282796,0.00161578146555089,0,0,0.850354609929079,0.0601750504258331,0.800539106502989,0.105794681724701,0.75231981981982,0.0857421487110312,0.763647946432302,0.089498965169215,0.531377611013115,0.17667933989537,0.531377611013115,0.17667933989537
"hepatisis","test","Chi2",5.41666666666667,0.748822050474501,0.733993339538574,0.0345100874892002,0.122332223256429,0.00575168124820004,0,0,0.824468085106383,0.0750070650111183,0.759373285623707,0.133146293260673,0.707297297297297,0.104861995889935,0.718260739488208,0.11444783950671,0.442804976761775,0.224331709490785,0.442804976761775,0.224331709490785
"hepatisis","test","ChiMerge",5.41666666666667,0.748822050474501,0.54573540687561,0.0627050330977006,0.0909559011459351,0.0104508388496168,0,0,0.824822695035461,0.07446722648175,0.760152271754105,0.132591583081918,0.707522522522522,0.103273531982825,0.718955419408737,0.113090826579254,0.444008008429634,0.221795469535803,0.444008008429634,0.221795469535803
"hepatisis","test","ClusterDisc",3,0,0.00419280529022217,0.000400548717983968,0.000698800881703694,6.67581196639946e-05,0,0,0.851773049645391,0.059534099282668,0.798237049633101,0.115471439214264,0.733153153153153,0.103106190396318,0.749891604085944,0.106839599015072,0.506052707585108,0.208039484882141,0.506052707585108,0.208039484882141
"hepatisis","test","Extended Chi2",2,0,0.965143585205078,0.0335225409907316,0.160857264200846,0.00558709016512193,0,0,0.835460992907802,0.0620458321604556,0.777445018211186,0.107570375000077,0.715495495495496,0.0839127856887846,0.732353925694515,0.0886167341995185,0.469648316834251,0.175239686276285,0.469648316834251,0.175239686276285
"hepatisis","test","Forest_disc_100",4,0,9.35544998645782,2.97009862702278,1.55924166440964,0.495016437837131,0,0,0.840070921985816,0.0634671350306921,0.780772834600131,0.117586722363122,0.733626126126126,0.0976428217611738,0.742722442427262,0.102763320660675,0.49168703441509,0.200010296866881,0.49168703441509,0.200010296866881
"hepatisis","test","Forest_disc_125",4,0,8.22074382305145,2.7228115022274,1.37012397050858,0.453801917037899,0,0,0.845744680851064,0.0601314695740433,0.789717097196434,0.107424052362025,0.732364864864865,0.101513056220026,0.74498829050489,0.102119985930322,0.496232200266024,0.199699028084646,0.496232200266024,0.199699028084646
"hepatisis","test","Forest_disc_150",4,0,8.35830709934235,2.3107261763415,1.39305118322372,0.38512102939025,0,0,0.845390070921986,0.0553810669966104,0.790774143685892,0.100338197691742,0.730315315315316,0.0936413479754189,0.744056149576501,0.0941150519732503,0.494293893855644,0.183687001089786,0.494293893855644,0.183687001089786
