"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
3,2,3.07884106063189e-06,674346,4903393,NA,NA,NA,NA,NA,NA,NA,NA,0.7855,0.2145,NA,NA,NA,NA,NA,NA,NA,NA,3.07884106063189e-06,2,1,"Forest_disc_NLD50","horsecolic"
3,3,1.45513964610387e-29,528946,2870651,5282248,NA,NA,NA,NA,NA,NA,NA,0.7021,0.1509,0.1469,NA,NA,NA,NA,NA,NA,NA,1.45513964610387e-28,3,1,"Forest_disc_NLD50","horsecolic"
3,4,5.20367596568387e-30,521430,2736019,5269166,4902549,NA,NA,NA,NA,NA,NA,0.6953,0.1515,0.1429,0.0103,NA,NA,NA,NA,NA,NA,5.20367596568387e-28,4,1,"Forest_disc_NLD50","horsecolic"
3,5,1.66338808979606e-14,523407,2773015,5289611,5222994,4535446,NA,NA,NA,NA,NA,0.6971,0.1515,0.0812,0.0698,3e-04,NA,NA,NA,NA,NA,1.66338808979606e-11,5,1,"Forest_disc_NLD50","horsecolic"
3,6,1.38284594033845e-08,521512,5273232,2926948,859071,4836608,5172154,NA,NA,NA,NA,0.6573,0.1441,0.1386,0.0548,0.0044,8e-04,NA,NA,NA,NA,0.000138284594033845,6,1,"Forest_disc_NLD50","horsecolic"
3,7,8.03469572831763e-11,523689,2710928,5277152,5290206,3662418,5130252,5019215,NA,NA,NA,0.6971,0.1374,0.1147,0.0295,0.0187,0.0024,1e-04,NA,NA,NA,8.03469572831762e-06,7,1,"Forest_disc_NLD50","horsecolic"
3,8,3.50086420604111e-33,522749,2760678,5179176,5300197,5298614,5295113,5166539,5300199,NA,NA,0.6965,0.1515,0.057,0.045,0.0423,0.007,7e-04,0,NA,NA,3.50086420604111e-28,7,1,"Forest_disc_NLD50","horsecolic"
3,9,3.69634700236566e-09,532174,5286118,5300223,2527427,3139987,2750547,3144648,2516262,3784536,NA,0.7025,0.0752,0.0678,0.0351,0.0332,0.0273,0.0245,0.02,0.0145,NA,0.0369634700236566,9,1,"Forest_disc_NLD50","horsecolic"
3,10,2.05139798560088e-07,562104,2757458,5299496,4824151,5067462,5300194,5278558,4395942,5090242,2814302,0.7185,0.1111,0.057,0.0306,0.0293,0.0289,0.0127,0.0114,4e-04,0,2.05139798560088,9,1,"Forest_disc_NLD50","horsecolic"
4,2,5.85973673932998e-11,38.2,36,NA,NA,NA,NA,NA,NA,NA,NA,0.8954,0.1046,NA,NA,NA,NA,NA,NA,NA,NA,5.85973673932998e-11,2,1,"Forest_disc_NLD50","horsecolic"
4,3,4.56989334963945e-16,37.9,39.3,36,NA,NA,NA,NA,NA,NA,NA,0.8043,0.1495,0.0462,NA,NA,NA,NA,NA,NA,NA,4.56989334963945e-15,3,1,"Forest_disc_NLD50","horsecolic"
4,4,9.07589320659168e-19,37.6,38.5,39.1,36.1,NA,NA,NA,NA,NA,NA,0.5731,0.253,0.1439,0.03,NA,NA,NA,NA,NA,NA,9.07589320659168e-17,4,1,"Forest_disc_NLD50","horsecolic"
4,5,5.68081450499038e-14,37.8,37.9,39.1,36.1,39.6,NA,NA,NA,NA,NA,0.4782,0.2712,0.2097,0.0379,0.0031,NA,NA,NA,NA,NA,5.68081450499038e-11,5,1,"Forest_disc_NLD50","horsecolic"
4,6,2.51660371334389e-12,37.7,38.4,39,39,36.1,38.5,NA,NA,NA,NA,0.5437,0.2384,0.1058,0.0658,0.0463,0,NA,NA,NA,NA,2.51660371334389e-10,4,1,"Forest_disc_NLD50","horsecolic"
4,7,5.8061682204001e-12,37.6,38.6,38.7,36.1,38.9,38.6,38.6,NA,NA,NA,0.5053,0.2001,0.1309,0.0483,0.0438,0.0408,0.0308,NA,NA,NA,5.8061682204001e-09,5,1,"Forest_disc_NLD50","horsecolic"
