"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
1,2,1.5344787081497e-06,65.8,25.7,NA,NA,NA,NA,NA,NA,NA,NA,0.5861,0.4139,NA,NA,NA,NA,NA,NA,NA,NA,1.5344787081497e-06,2,2,"Forest_disc_25","hypothyroid"
1,3,1.13194668413784e-24,37.8,69,5.5,NA,NA,NA,NA,NA,NA,NA,0.4671,0.4495,0.0834,NA,NA,NA,NA,NA,NA,NA,1.13194668413784e-23,3,2,"Forest_disc_25","hypothyroid"
1,4,1.11965438227918e-24,37.8,69,5.5,5.5,NA,NA,NA,NA,NA,NA,0.4671,0.4496,0.0417,0.0417,NA,NA,NA,NA,NA,NA,1.11965438227918e-23,3,2,"Forest_disc_25","hypothyroid"
1,5,1.08043880645491e-24,37.8,69,5.5,5.5,5.5,NA,NA,NA,NA,NA,0.4671,0.4496,0.0278,0.0278,0.0278,NA,NA,NA,NA,NA,1.08043880645491e-23,3,2,"Forest_disc_25","hypothyroid"
1,6,1.13753874698932e-24,37.8,69,5.5,5.5,5.5,5.5,NA,NA,NA,NA,0.4671,0.4496,0.0208,0.0208,0.0208,0.0208,NA,NA,NA,NA,1.13753874698932e-23,3,2,"Forest_disc_25","hypothyroid"
1,7,1.12928011098544e-24,37.8,69,5.5,5.5,5.5,5.5,5.5,NA,NA,NA,0.4671,0.4496,0.0167,0.0167,0.0167,0.0167,0.0167,NA,NA,NA,1.12928011098544e-23,3,2,"Forest_disc_25","hypothyroid"
1,8,9.80418707177804e-25,37.8,69,5.5,5.5,5.5,5.5,5.5,5.5,NA,NA,0.4671,0.4496,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,NA,NA,9.80418707177804e-24,3,2,"Forest_disc_25","hypothyroid"
1,9,1.09152581795971e-24,37.8,69,5.5,5.5,5.5,5.5,5.5,5.5,5.5,NA,0.4671,0.4496,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119,NA,1.09152581795971e-23,3,2,"Forest_disc_25","hypothyroid"
1,10,1.08297984115882e-24,37.8,69,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0.4671,0.4496,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,1.08297984115882e-23,3,2,"Forest_disc_25","hypothyroid"
15,2,1.27102725170699e-06,15.541,156.919,NA,NA,NA,NA,NA,NA,NA,NA,0.9497,0.0503,NA,NA,NA,NA,NA,NA,NA,NA,1.27102725170699e-06,2,2,"Forest_disc_25","hypothyroid"
