"var","Split","freq","opt_value","iter","forest","name"
2,15.5,0.1112,7.63096933318546e-24,1,"Forest_disc_25","immunotherapy"
2,29.3,0.6053,7.63096933318546e-24,1,"Forest_disc_25","immunotherapy"
2,48.5,0.2835,7.63096933318546e-24,1,"Forest_disc_25","immunotherapy"
3,2.5,0.1736,3.96852951156878e-24,1,"Forest_disc_25","immunotherapy"
3,10.5,0.6771,3.96852951156878e-24,1,"Forest_disc_25","immunotherapy"
3,23.2,0.1492,3.96852951156878e-24,1,"Forest_disc_25","immunotherapy"
4,1.6,0.1782,3.65768837828409e-23,1,"Forest_disc_25","immunotherapy"
4,5.2,0.5709,3.65768837828409e-23,1,"Forest_disc_25","immunotherapy"
4,10,0.2506,3.65768837828409e-23,1,"Forest_disc_25","immunotherapy"
6,14.5,0.3408,4.86386748855839e-31,1,"Forest_disc_25","immunotherapy"
6,88.6,0.6046,4.86386748855839e-31,1,"Forest_disc_25","immunotherapy"
6,408,0.0547,4.86386748855839e-31,1,"Forest_disc_25","immunotherapy"
7,3.6,0.4428,2.11215477508986e-25,1,"Forest_disc_25","immunotherapy"
7,13.2,0.4245,2.11215477508986e-25,1,"Forest_disc_25","immunotherapy"
7,43.2,0.1329,2.11215477508986e-25,1,"Forest_disc_25","immunotherapy"
2,15.5,0.1482,5.22549796332924e-23,1,"Forest_disc_50","immunotherapy"
2,29.7,0.4824,5.22549796332924e-23,1,"Forest_disc_50","immunotherapy"
2,47.6,0.3696,5.22549796332924e-23,1,"Forest_disc_50","immunotherapy"
3,3.5,0.1472,1.53798216417933e-22,1,"Forest_disc_50","immunotherapy"
3,10.8,0.6064,1.53798216417933e-22,1,"Forest_disc_50","immunotherapy"
3,20.5,0.2466,1.53798216417933e-22,1,"Forest_disc_50","immunotherapy"
4,1.5,0.084,9.91194745646427e-22,1,"Forest_disc_50","immunotherapy"
4,5.3,0.6601,9.91194745646427e-22,1,"Forest_disc_50","immunotherapy"
4,9.7,0.2562,9.91194745646427e-22,1,"Forest_disc_50","immunotherapy"
6,17,0.2952,2.28089104810374e-31,1,"Forest_disc_50","immunotherapy"
6,78.5,0.6342,2.28089104810374e-31,1,"Forest_disc_50","immunotherapy"
6,307.7,0.0706,2.28089104810374e-31,1,"Forest_disc_50","immunotherapy"
7,3.5,0.4774,3.64374102945773e-26,1,"Forest_disc_50","immunotherapy"
7,14.4,0.4306,3.64374102945773e-26,1,"Forest_disc_50","immunotherapy"
7,46.3,0.0918,3.64374102945773e-26,1,"Forest_disc_50","immunotherapy"
2,15.5,0.1125,2.9568103891121e-23,1,"Forest_disc_75","immunotherapy"
2,30.4,0.4855,2.9568103891121e-23,1,"Forest_disc_75","immunotherapy"
2,48.9,0.402,2.9568103891121e-23,1,"Forest_disc_75","immunotherapy"
3,2.5,0.123,4.30012426496183e-23,1,"Forest_disc_75","immunotherapy"
3,9.3,0.6347,4.30012426496183e-23,1,"Forest_disc_75","immunotherapy"
3,19.5,0.2423,4.30012426496183e-23,1,"Forest_disc_75","immunotherapy"
4,1.6,0.1809,1.03878261451905e-21,1,"Forest_disc_75","immunotherapy"
4,5,0.5979,1.03878261451905e-21,1,"Forest_disc_75","immunotherapy"
4,9.4,0.2211,1.03878261451905e-21,1,"Forest_disc_75","immunotherapy"
6,17,0.3811,2.76483219112475e-30,1,"Forest_disc_75","immunotherapy"
6,95.7,0.5003,2.76483219112475e-30,1,"Forest_disc_75","immunotherapy"
6,388.7,0.1187,2.76483219112475e-30,1,"Forest_disc_75","immunotherapy"
7,3.6,0.4586,7.63020643513378e-26,1,"Forest_disc_75","immunotherapy"
7,10.9,0.4224,7.63020643513378e-26,1,"Forest_disc_75","immunotherapy"
7,38.3,0.119,7.63020643513378e-26,1,"Forest_disc_75","immunotherapy"
2,15.5,0.1686,7.73936198160116e-24,1,"Forest_disc_100","immunotherapy"
2,29.3,0.5182,7.73936198160116e-24,1,"Forest_disc_100","immunotherapy"
2,48.4,0.3133,7.73936198160116e-24,1,"Forest_disc_100","immunotherapy"
3,3.6,0.161,1.93190547304627e-23,1,"Forest_disc_100","immunotherapy"
3,11.4,0.6313,1.93190547304627e-23,1,"Forest_disc_100","immunotherapy"
3,22.2,0.2079,1.93190547304627e-23,1,"Forest_disc_100","immunotherapy"
4,1.6,0.21,2.37870707083653e-22,1,"Forest_disc_100","immunotherapy"
4,4.9,0.5758,2.37870707083653e-22,1,"Forest_disc_100","immunotherapy"
4,9.5,0.2144,2.37870707083653e-22,1,"Forest_disc_100","immunotherapy"
6,13.5,0.321,1.62460151688437e-30,1,"Forest_disc_100","immunotherapy"
6,89.1,0.6085,1.62460151688437e-30,1,"Forest_disc_100","immunotherapy"
6,373.3,0.0705,1.62460151688437e-30,1,"Forest_disc_100","immunotherapy"
7,3.6,0.402,1.69105348146477e-25,1,"Forest_disc_100","immunotherapy"
