"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
1,2,9.10617179819326e-07,57.4,26.3,NA,NA,NA,NA,NA,NA,NA,NA,0.5029,0.4971,NA,NA,NA,NA,NA,NA,NA,NA,9.10617179819326e-07,2,1,"Forest_disc_25","indian"
1,3,2.10402348848405e-24,33.2,60.3,5.5,NA,NA,NA,NA,NA,NA,NA,0.5637,0.3797,0.0566,NA,NA,NA,NA,NA,NA,NA,2.10402348848405e-23,3,1,"Forest_disc_25","indian"
1,4,2.09575630927152e-24,33.2,60.3,5.5,5.5,NA,NA,NA,NA,NA,NA,0.5637,0.3797,0.0283,0.0283,NA,NA,NA,NA,NA,NA,2.09575630927152e-23,3,1,"Forest_disc_25","indian"
1,5,1.89656918488709e-24,33.2,60.3,5.5,5.5,5.5,NA,NA,NA,NA,NA,0.5637,0.3797,0.0188,0.0188,0.0188,NA,NA,NA,NA,NA,1.89656918488709e-23,3,1,"Forest_disc_25","indian"
1,6,1.99689012048897e-24,33.2,60.3,5.5,5.5,5.5,5.5,NA,NA,NA,NA,0.5637,0.3797,0.0141,0.0141,0.0141,0.0141,NA,NA,NA,NA,1.99689012048897e-23,3,1,"Forest_disc_25","indian"
1,7,2.12808186699254e-24,33.2,60.3,5.5,5.5,5.5,5.5,5.5,NA,NA,NA,0.5637,0.3797,0.0113,0.0113,0.0113,0.0113,0.0113,NA,NA,NA,2.12808186699254e-23,3,1,"Forest_disc_25","indian"
1,8,1.97974335516172e-24,33.2,60.3,5.5,5.5,5.5,5.5,5.5,5.5,NA,NA,0.5637,0.3797,0.0094,0.0094,0.0094,0.0094,0.0094,0.0094,NA,NA,1.97974335516172e-23,3,1,"Forest_disc_25","indian"
1,9,1.0527659558818e-24,33.2,60.3,5.5,5.5,5.5,5.5,5.5,5.5,5.5,NA,0.5637,0.3797,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,NA,1.0527659558818e-23,3,1,"Forest_disc_25","indian"
1,10,1.17382803386598e-24,33.2,60.3,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,0.5637,0.3797,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,0.0071,1.17382803386598e-23,3,1,"Forest_disc_25","indian"
3,2,4.9369701347775e-07,1.13,8.68,NA,NA,NA,NA,NA,NA,NA,NA,0.9491,0.0509,NA,NA,NA,NA,NA,NA,NA,NA,4.9369701347775e-07,2,1,"Forest_disc_25","indian"
3,3,3.85274417622941e-26,0.58,2.01,9.61,NA,NA,NA,NA,NA,NA,NA,0.5272,0.4388,0.0339,NA,NA,NA,NA,NA,NA,NA,3.85274417622941e-25,3,1,"Forest_disc_25","indian"
3,4,2.12388289429737e-24,2.3,0.71,0.71,9.7,NA,NA,NA,NA,NA,NA,0.3233,0.3221,0.3221,0.0324,NA,NA,NA,NA,NA,NA,2.12388289429737e-23,3,1,"Forest_disc_25","indian"
3,5,2.0833754536275e-24,2.47,0.76,0.76,0.76,9.76,NA,NA,NA,NA,NA,0.2751,0.2311,0.2311,0.2311,0.0316,NA,NA,NA,NA,NA,2.0833754536275e-23,3,1,"Forest_disc_25","indian"
3,6,1.97300506533866e-24,2.55,0.78,0.78,0.78,0.78,9.78,NA,NA,NA,NA,0.2572,0.1779,0.1779,0.1779,0.1779,0.0312,NA,NA,NA,NA,1.97300506533866e-23,3,1,"Forest_disc_25","indian"
3,7,2.60850092747516e-24,2.53,0.78,0.78,0.78,0.78,0.78,9.78,NA,NA,NA,0.2609,0.1416,0.1416,0.1416,0.1416,0.1416,0.0313,NA,NA,NA,2.60850092747516e-23,3,1,"Forest_disc_25","indian"
3,8,3.37782810646765e-25,2.46,0.76,0.76,0.76,0.76,0.76,0.76,9.75,NA,NA,0.278,0.1151,0.1151,0.1151,0.1151,0.1151,0.1151,0.0317,NA,NA,3.37782810646765e-24,3,1,"Forest_disc_25","indian"
3,9,3.57089916594042e-24,2.43,0.75,0.75,0.75,0.75,0.75,0.75,0.75,9.74,NA,0.2854,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0975,0.0318,NA,3.57089916594042e-23,3,1,"Forest_disc_25","indian"
3,10,3.68804791929139e-24,2.44,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,9.74,0.2844,0.0855,0.0855,0.0855,0.0855,0.0855,0.0855,0.0855,0.0855,0.0318,3.68804791929139e-23,3,1,"Forest_disc_25","indian"
4,2,1.2807944307021e-06,0.49,4.22,NA,NA,NA,NA,NA,NA,NA,NA,0.9458,0.0542,NA,NA,NA,NA,NA,NA,NA,NA,1.2807944307021e-06,2,1,"Forest_disc_25","indian"
4,3,2.33566629655008e-23,0.33,1.87,5.71,NA,NA,NA,NA,NA,NA,NA,0.8043,0.1808,0.0149,NA,NA,NA,NA,NA,NA,NA,2.33566629655008e-22,3,1,"Forest_disc_25","indian"
4,4,4.91173999385054e-24,0.37,0.37,2.2,6.1,NA,NA,NA,NA,NA,NA,0.4224,0.4224,0.1447,0.0105,NA,NA,NA,NA,NA,NA,4.91173999385054e-23,3,1,"Forest_disc_25","indian"
4,5,8.24263890705205e-25,0.37,0.37,0.37,2.2,6.1,NA,NA,NA,NA,NA,0.2816,0.2816,0.2816,0.1447,0.0105,NA,NA,NA,NA,NA,8.24263890705205e-24,3,1,"Forest_disc_25","indian"
4,6,1.06307849233716e-23,0.37,0.37,0.37,0.37,2.2,6.1,NA,NA,NA,NA,0.2112,0.2112,0.2112,0.2112,0.1447,0.0105,NA,NA,NA,NA,1.06307849233716e-22,3,1,"Forest_disc_25","indian"
4,7,4.0917174966987e-23,0.37,0.37,0.37,0.37,0.37,2.2,6.1,NA,NA,NA,0.169,0.169,0.169,0.169,0.169,0.1447,0.0105,NA,NA,NA,4.0917174966987e-22,3,1,"Forest_disc_25","indian"
4,8,6.56157195296252e-23,2.2,0.37,0.37,0.37,0.37,0.37,0.37,6.1,NA,NA,0.1447,0.1408,0.1408,0.1408,0.1408,0.1408,0.1408,0.0105,NA,NA,6.56157195296252e-22,3,1,"Forest_disc_25","indian"
4,9,1.20638664197386e-23,2.2,0.37,0.37,0.37,0.37,0.37,0.37,0.37,6.1,NA,0.1447,0.1207,0.1207,0.1207,0.1207,0.1207,0.1207,0.1207,0.0105,NA,1.20638664197386e-22,3,1,"Forest_disc_25","indian"
4,10,1.93889696058201e-23,2.2,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,6.1,0.1447,0.1056,0.1056,0.1056,0.1056,0.1056,0.1056,0.1056,0.1056,0.0105,1.93889696058201e-22,3,1,"Forest_disc_25","indian"
5,2,3.42454835286911e-07,209,1326,NA,NA,NA,NA,NA,NA,NA,NA,0.9545,0.0455,NA,NA,NA,NA,NA,NA,NA,NA,3.42454835286911e-07,2,1,"Forest_disc_25","indian"
5,3,2.58348313757077e-32,264,84,1407,NA,NA,NA,NA,NA,NA,NA,0.7125,0.2516,0.0358,NA,NA,NA,NA,NA,NA,NA,2.58348313757077e-31,3,1,"Forest_disc_25","indian"
5,4,4.08351708862305e-33,264,84,84,1407,NA,NA,NA,NA,NA,NA,0.7125,0.1258,0.1258,0.0358,NA,NA,NA,NA,NA,NA,4.08351708862305e-32,3,1,"Forest_disc_25","indian"
5,5,3.48055453669083e-31,264,84,84,84,1407,NA,NA,NA,NA,NA,0.7125,0.0839,0.0839,0.0839,0.0358,NA,NA,NA,NA,NA,3.48055453669083e-30,3,1,"Forest_disc_25","indian"
5,6,1.39173834073257e-29,264,84,84,84,84,1407,NA,NA,NA,NA,0.7125,0.0629,0.0629,0.0629,0.0629,0.0358,NA,NA,NA,NA,1.39173834073257e-28,3,1,"Forest_disc_25","indian"
5,7,2.59155862870053e-33,264,84,84,84,84,84,1407,NA,NA,NA,0.7125,0.0503,0.0503,0.0503,0.0503,0.0503,0.0358,NA,NA,NA,2.59155862870053e-32,3,1,"Forest_disc_25","indian"
5,8,4.77984981400189e-31,264,84,84,84,84,84,84,1407,NA,NA,0.7125,0.0419,0.0419,0.0419,0.0419,0.0419,0.0419,0.0358,NA,NA,4.77984981400189e-30,3,1,"Forest_disc_25","indian"
5,9,6.27302499550412e-32,264,84,84,84,84,84,84,84,1407,NA,0.7125,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0358,NA,6.27302499550412e-31,3,1,"Forest_disc_25","indian"
5,10,1.06252551814606e-28,264,1407,84,84,84,84,84,84,84,84,0.7125,0.0358,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,1.06252551814606e-27,3,1,"Forest_disc_25","indian"
6,2,4.2113788589714e-07,37.4,288.8,NA,NA,NA,NA,NA,NA,NA,NA,0.9798,0.0202,NA,NA,NA,NA,NA,NA,NA,NA,4.2113788589714e-07,2,1,"Forest_disc_25","indian"
6,3,5.02281561779851e-31,55.9,11,370.3,NA,NA,NA,NA,NA,NA,NA,0.6385,0.3537,0.0077,NA,NA,NA,NA,NA,NA,NA,5.02281561779851e-30,3,1,"Forest_disc_25","indian"
6,4,3.13744122349047e-31,55.9,11,11,370.3,NA,NA,NA,NA,NA,NA,0.6385,0.1769,0.1769,0.0077,NA,NA,NA,NA,NA,NA,3.13744122349047e-30,3,1,"Forest_disc_25","indian"
6,5,1.81014016426713e-30,55.9,11,11,11,370.3,NA,NA,NA,NA,NA,0.6385,0.1179,0.1179,0.1179,0.0077,NA,NA,NA,NA,NA,1.81014016426713e-29,3,1,"Forest_disc_25","indian"
6,6,4.35402753188458e-29,55.9,11,11,11,11,370.3,NA,NA,NA,NA,0.6385,0.0884,0.0884,0.0884,0.0884,0.0077,NA,NA,NA,NA,4.35402753188458e-28,3,1,"Forest_disc_25","indian"
6,7,1.01532795737696e-31,55.9,11,11,11,11,11,370.3,NA,NA,NA,0.6385,0.0707,0.0707,0.0707,0.0707,0.0707,0.0077,NA,NA,NA,1.01532795737696e-30,3,1,"Forest_disc_25","indian"
6,8,2.30089460296753e-30,55.9,11,11,11,11,11,11,370.3,NA,NA,0.6385,0.059,0.059,0.059,0.059,0.059,0.059,0.0077,NA,NA,2.30089460296753e-29,3,1,"Forest_disc_25","indian"
6,9,1.03312310768686e-29,55.9,11,11,11,11,11,11,11,370.3,NA,0.6385,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0505,0.0077,NA,1.03312310768686e-28,3,1,"Forest_disc_25","indian"
6,10,6.0746323267482e-31,55.9,11,11,11,11,11,11,11,11,370.3,0.6385,0.0442,0.0442,0.0442,0.0442,0.0442,0.0442,0.0442,0.0442,0.0077,6.0746323267482e-30,3,1,"Forest_disc_25","indian"
7,2,8.78507389131013e-07,34,179,NA,NA,NA,NA,NA,NA,NA,NA,0.9373,0.0627,NA,NA,NA,NA,NA,NA,NA,NA,8.78507389131013e-07,2,1,"Forest_disc_25","indian"
7,3,4.39699542286723e-29,53.6,13,216.8,NA,NA,NA,NA,NA,NA,NA,0.5974,0.3741,0.0285,NA,NA,NA,NA,NA,NA,NA,4.39699542286723e-28,3,1,"Forest_disc_25","indian"
7,4,8.11162836820632e-29,53.6,13,13,216.8,NA,NA,NA,NA,NA,NA,0.5974,0.187,0.187,0.0285,NA,NA,NA,NA,NA,NA,8.11162836820631e-28,3,1,"Forest_disc_25","indian"
7,5,4.39711143422382e-29,53.6,13,13,13,216.8,NA,NA,NA,NA,NA,0.5974,0.1247,0.1247,0.1247,0.0285,NA,NA,NA,NA,NA,4.39711143422382e-28,3,1,"Forest_disc_25","indian"
7,6,9.35482504019283e-31,53.6,13,13,13,13,216.8,NA,NA,NA,NA,0.5974,0.0935,0.0935,0.0935,0.0935,0.0285,NA,NA,NA,NA,9.35482504019283e-30,3,1,"Forest_disc_25","indian"
7,7,3.68800845809203e-30,53.6,13,13,13,13,13,216.8,NA,NA,NA,0.5974,0.0748,0.0748,0.0748,0.0748,0.0748,0.0285,NA,NA,NA,3.68800845809203e-29,3,1,"Forest_disc_25","indian"
7,8,2.03403496551615e-29,53.6,13,13,13,13,13,13,216.8,NA,NA,0.5974,0.0623,0.0623,0.0623,0.0623,0.0623,0.0623,0.0285,NA,NA,2.03403496551615e-28,3,1,"Forest_disc_25","indian"
7,9,5.40711834493415e-29,53.6,13,13,13,13,13,13,13,216.8,NA,0.5974,0.0534,0.0534,0.0534,0.0534,0.0534,0.0534,0.0534,0.0285,NA,5.40711834493415e-28,3,1,"Forest_disc_25","indian"
7,10,5.38562862354345e-29,53.6,13,13,13,13,13,13,13,13,216.8,0.5974,0.0468,0.0468,0.0468,0.0468,0.0468,0.0468,0.0468,0.0468,0.0285,5.38562862354345e-28,3,1,"Forest_disc_25","indian"
8,2,5.41810911145773e-09,7.53,5.34,NA,NA,NA,NA,NA,NA,NA,NA,0.5727,0.4273,NA,NA,NA,NA,NA,NA,NA,NA,5.41810911145773e-09,2,1,"Forest_disc_25","indian"
8,3,1.0675073280845e-17,6.32,7.95,4.4,NA,NA,NA,NA,NA,NA,NA,0.5707,0.31,0.1193,NA,NA,NA,NA,NA,NA,NA,1.0675073280845e-16,3,1,"Forest_disc_25","indian"
8,4,3.14379340110069e-19,5.99,7.8,3.92,3.92,NA,NA,NA,NA,NA,NA,0.5423,0.401,0.0283,0.0283,NA,NA,NA,NA,NA,NA,3.14379340110069e-18,3,1,"Forest_disc_25","indian"
8,5,1.85835302444342e-18,5.9,7.76,3.71,3.71,3.71,NA,NA,NA,NA,NA,0.5352,0.4228,0.014,0.014,0.014,NA,NA,NA,NA,NA,1.85835302444342e-17,3,1,"Forest_disc_25","indian"
8,6,5.55053675716771e-19,5.9,7.76,3.7,3.7,3.7,3.7,NA,NA,NA,NA,0.5352,0.423,0.0104,0.0104,0.0104,0.0104,NA,NA,NA,NA,5.55053675716771e-18,3,1,"Forest_disc_25","indian"
8,7,3.23753570898229e-19,5.9,7.76,3.7,3.7,3.7,3.7,3.7,NA,NA,NA,0.5351,0.4231,0.0083,0.0083,0.0083,0.0083,0.0083,NA,NA,NA,3.23753570898229e-18,3,1,"Forest_disc_25","indian"
8,8,3.70685807428242e-19,5.9,7.76,3.7,3.7,3.7,3.7,3.7,3.7,NA,NA,0.5351,0.4231,0.007,0.007,0.007,0.007,0.007,0.007,NA,NA,3.70685807428242e-18,3,1,"Forest_disc_25","indian"
8,9,5.69226991616758e-19,5.9,7.76,3.7,3.7,3.7,3.7,3.7,3.7,3.7,NA,0.5351,0.4233,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059,NA,5.69226991616758e-18,3,1,"Forest_disc_25","indian"
8,10,1.12055781104312e-18,5.9,7.76,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,0.5351,0.4233,0.0052,0.0052,0.0052,0.0052,0.0052,0.0052,0.0052,0.0052,1.12055781104312e-17,3,1,"Forest_disc_25","indian"
9,2,6.36110370056072e-08,4,2.42,NA,NA,NA,NA,NA,NA,NA,NA,0.5048,0.4952,NA,NA,NA,NA,NA,NA,NA,NA,6.36110370056072e-08,2,1,"Forest_disc_25","indian"
9,3,1.21855036237761e-18,2.74,4.16,1.23,NA,NA,NA,NA,NA,NA,NA,0.5766,0.3806,0.0428,NA,NA,NA,NA,NA,NA,NA,1.21855036237761e-17,3,1,"Forest_disc_25","indian"
9,4,3.20237403278868e-19,2.73,4.15,1.2,1.2,NA,NA,NA,NA,NA,NA,0.576,0.384,0.02,0.02,NA,NA,NA,NA,NA,NA,3.20237403278868e-18,3,1,"Forest_disc_25","indian"
9,5,1.09253944961421e-18,2.73,4.15,1.19,1.19,1.19,NA,NA,NA,NA,NA,0.5757,0.3854,0.013,0.013,0.013,NA,NA,NA,NA,NA,1.09253944961421e-17,3,1,"Forest_disc_25","indian"
9,6,6.33271298340903e-19,2.73,4.15,1.18,1.18,1.18,1.18,NA,NA,NA,NA,0.5756,0.3862,0.0096,0.0096,0.0096,0.0096,NA,NA,NA,NA,6.33271298340903e-18,3,1,"Forest_disc_25","indian"
9,7,1.02551218712766e-18,2.72,4.15,1.17,1.17,1.17,1.17,1.17,NA,NA,NA,0.5755,0.3867,0.0076,0.0076,0.0076,0.0076,0.0076,NA,NA,NA,1.02551218712766e-17,3,1,"Forest_disc_25","indian"
9,8,2.2811068458407e-19,2.72,4.15,1.17,1.17,1.17,1.17,1.17,1.17,NA,NA,0.5754,0.387,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,NA,NA,2.2811068458407e-18,3,1,"Forest_disc_25","indian"
9,9,1.04659289283879e-18,2.72,4.15,1.17,1.17,1.17,1.17,1.17,1.17,1.17,NA,0.5754,0.3872,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,NA,1.04659289283879e-17,3,1,"Forest_disc_25","indian"
9,10,1.0890069845514e-19,2.72,4.15,1.16,1.16,1.16,1.16,1.16,1.16,1.16,1.16,0.5753,0.3874,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047,1.0890069845514e-18,3,1,"Forest_disc_25","indian"
10,2,7.72745033444974e-08,0.838,1.456,NA,NA,NA,NA,NA,NA,NA,NA,0.6207,0.3793,NA,NA,NA,NA,NA,NA,NA,NA,7.72745033444974e-08,2,1,"Forest_disc_25","indian"
10,3,1.0341657716898e-20,0.952,1.533,0.476,NA,NA,NA,NA,NA,NA,NA,0.6653,0.2649,0.0698,NA,NA,NA,NA,NA,NA,NA,1.0341657716898e-19,3,1,"Forest_disc_25","indian"
10,4,5.62187755739744e-18,0.951,1.533,0.476,0.476,NA,NA,NA,NA,NA,NA,0.6653,0.265,0.0349,0.0349,NA,NA,NA,NA,NA,NA,5.62187755739743e-17,3,1,"Forest_disc_25","indian"
10,5,2.84643009976034e-17,0.951,1.533,0.476,0.476,0.476,NA,NA,NA,NA,NA,0.6653,0.265,0.0232,0.0232,0.0232,NA,NA,NA,NA,NA,2.84643009976034e-16,3,1,"Forest_disc_25","indian"
10,6,2.7077490150514e-17,0.951,1.533,0.475,0.475,0.475,0.475,NA,NA,NA,NA,0.6653,0.265,0.0174,0.0174,0.0174,0.0174,NA,NA,NA,NA,2.7077490150514e-16,3,1,"Forest_disc_25","indian"
10,7,1.26257449475773e-17,0.951,1.533,0.475,0.475,0.475,0.475,0.475,NA,NA,NA,0.6653,0.265,0.0139,0.0139,0.0139,0.0139,0.0139,NA,NA,NA,1.26257449475773e-16,3,1,"Forest_disc_25","indian"
10,8,2.73967917284459e-17,0.951,1.533,0.475,0.475,0.475,0.475,0.475,0.475,NA,NA,0.6653,0.265,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,NA,NA,2.73967917284459e-16,3,1,"Forest_disc_25","indian"
10,9,2.74719056548545e-17,0.951,1.533,0.475,0.475,0.475,0.475,0.475,0.475,0.475,NA,0.6653,0.265,0.01,0.01,0.01,0.01,0.01,0.01,0.01,NA,2.74719056548545e-16,3,1,"Forest_disc_25","indian"
10,10,2.75640894398232e-17,0.951,1.533,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.6653,0.265,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087,2.75640894398232e-16,3,1,"Forest_disc_25","indian"
1,2,7.19593643741929e-07,26.4,58.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5011,0.4989,NA,NA,NA,NA,NA,NA,NA,NA,7.19593643741929e-07,2,1,"Forest_disc_50","indian"
1,3,1.34182460983344e-24,34.6,62,7,NA,NA,NA,NA,NA,NA,NA,0.5731,0.3556,0.0714,NA,NA,NA,NA,NA,NA,NA,1.34182460983344e-23,3,1,"Forest_disc_50","indian"
1,4,1.31469938195663e-24,34.6,62,7,7,NA,NA,NA,NA,NA,NA,0.5731,0.3556,0.0356,0.0356,NA,NA,NA,NA,NA,NA,1.31469938195663e-23,3,1,"Forest_disc_50","indian"
