"var","Split","freq","opt_value","iter","forest","name"
1,5.5,0.0567,1.0527659558818e-24,1,"Forest_disc_25","indian"
1,33.2,0.5637,1.0527659558818e-24,1,"Forest_disc_25","indian"
1,60.3,0.3797,1.0527659558818e-24,1,"Forest_disc_25","indian"
3,0.58,0.5272,3.85274417622941e-26,1,"Forest_disc_25","indian"
3,2.01,0.4388,3.85274417622941e-26,1,"Forest_disc_25","indian"
3,9.61,0.0339,3.85274417622941e-26,1,"Forest_disc_25","indian"
4,0.37,0.8448,8.24263890705205e-25,1,"Forest_disc_25","indian"
4,2.2,0.1447,8.24263890705205e-25,1,"Forest_disc_25","indian"
4,6.1,0.0105,8.24263890705205e-25,1,"Forest_disc_25","indian"
5,84,0.2515,2.59155862870053e-33,1,"Forest_disc_25","indian"
5,264,0.7125,2.59155862870053e-33,1,"Forest_disc_25","indian"
5,1407,0.0358,2.59155862870053e-33,1,"Forest_disc_25","indian"
6,11,0.3535,1.01532795737696e-31,1,"Forest_disc_25","indian"
6,55.9,0.6385,1.01532795737696e-31,1,"Forest_disc_25","indian"
6,370.3,0.0077,1.01532795737696e-31,1,"Forest_disc_25","indian"
7,13,0.374,9.35482504019283e-31,1,"Forest_disc_25","indian"
7,53.6,0.5974,9.35482504019283e-31,1,"Forest_disc_25","indian"
7,216.8,0.0285,9.35482504019283e-31,1,"Forest_disc_25","indian"
8,3.92,0.0566,3.14379340110069e-19,1,"Forest_disc_25","indian"
8,5.99,0.5423,3.14379340110069e-19,1,"Forest_disc_25","indian"
8,7.8,0.401,3.14379340110069e-19,1,"Forest_disc_25","indian"
9,1.16,0.0376,1.0890069845514e-19,1,"Forest_disc_25","indian"
9,2.72,0.5753,1.0890069845514e-19,1,"Forest_disc_25","indian"
9,4.15,0.3874,1.0890069845514e-19,1,"Forest_disc_25","indian"
10,0.476,0.0698,1.0341657716898e-20,1,"Forest_disc_25","indian"
10,0.952,0.6653,1.0341657716898e-20,1,"Forest_disc_25","indian"
10,1.533,0.2649,1.0341657716898e-20,1,"Forest_disc_25","indian"
1,7,0.0712,4.46739198967267e-25,1,"Forest_disc_50","indian"
1,34.6,0.5731,4.46739198967267e-25,1,"Forest_disc_50","indian"
1,62,0.3556,4.46739198967267e-25,1,"Forest_disc_50","indian"
3,0.7,0.6793,1.51424252158852e-25,1,"Forest_disc_50","indian"
3,2.86,0.2994,1.51424252158852e-25,1,"Forest_disc_50","indian"
3,12.34,0.0213,1.51424252158852e-25,1,"Forest_disc_50","indian"
4,0.37,0.8316,1.24800534736111e-24,1,"Forest_disc_50","indian"
4,2.09,0.1561,1.24800534736111e-24,1,"Forest_disc_50","indian"
4,5.13,0.0121,1.24800534736111e-24,1,"Forest_disc_50","indian"
5,101,0.3067,1.81271636165603e-33,1,"Forest_disc_50","indian"
5,271,0.6521,1.81271636165603e-33,1,"Forest_disc_50","indian"
5,1400,0.0411,1.81271636165603e-33,1,"Forest_disc_50","indian"
6,11,0.3815,6.24848768481559e-32,1,"Forest_disc_50","indian"
6,55.5,0.6115,6.24848768481559e-32,1,"Forest_disc_50","indian"
6,324.4,0.0071,6.24848768481559e-32,1,"Forest_disc_50","indian"
7,13.5,0.3985,3.99100795150631e-32,1,"Forest_disc_50","indian"
7,60.8,0.5672,3.99100795150631e-32,1,"Forest_disc_50","indian"
7,215.6,0.0343,3.99100795150631e-32,1,"Forest_disc_50","indian"
8,3.91,0.0365,1.65818684147658e-18,1,"Forest_disc_50","indian"
8,6.04,0.6328,1.65818684147658e-18,1,"Forest_disc_50","indian"
8,7.93,0.3308,1.65818684147658e-18,1,"Forest_disc_50","indian"
9,1.58,0.0714,1.62804553839193e-19,1,"Forest_disc_50","indian"
9,2.9,0.5926,1.62804553839193e-19,1,"Forest_disc_50","indian"
9,4.22,0.3361,1.62804553839193e-19,1,"Forest_disc_50","indian"
10,0.361,0.0528,4.14853164418208e-18,1,"Forest_disc_50","indian"
10,0.908,0.6816,4.14853164418208e-18,1,"Forest_disc_50","indian"
10,1.46,0.2656,4.14853164418208e-18,1,"Forest_disc_50","indian"
1,5.5,0.0584,6.56276518324424e-25,1,"Forest_disc_75","indian"
1,33,0.565,6.56276518324424e-25,1,"Forest_disc_75","indian"
1,60.9,0.3768,6.56276518324424e-25,1,"Forest_disc_75","indian"
3,0.88,0.8316,1.60163656323179e-25,1,"Forest_disc_75","indian"
3,3.4,0.1505,1.60163656323179e-25,1,"Forest_disc_75","indian"
3,11.89,0.0179,1.60163656323179e-25,1,"Forest_disc_75","indian"
4,0.43,0.9054,1.32297009431146e-26,1,"Forest_disc_75","indian"
4,3.64,0.0864,1.32297009431146e-26,1,"Forest_disc_75","indian"
4,9.63,0.0079,1.32297009431146e-26,1,"Forest_disc_75","indian"
5,99,0.32,1.54246304632192e-32,1,"Forest_disc_75","indian"
5,286,0.6388,1.54246304632192e-32,1,"Forest_disc_75","indian"
5,1432,0.0412,1.54246304632192e-32,1,"Forest_disc_75","indian"
6,11,0.3982,3.84072528838521e-32,1,"Forest_disc_75","indian"
6,52.2,0.5984,3.84072528838521e-32,1,"Forest_disc_75","indian"
6,399.5,0.0033,3.84072528838521e-32,1,"Forest_disc_75","indian"
7,11.5,0.2936,1.094671031047e-29,1,"Forest_disc_75","indian"
7,49,0.6408,1.094671031047e-29,1,"Forest_disc_75","indian"
7,153.7,0.0657,1.094671031047e-29,1,"Forest_disc_75","indian"
8,3.95,0.0378,1.18117961986933e-18,1,"Forest_disc_75","indian"
8,5.98,0.6065,1.18117961986933e-18,1,"Forest_disc_75","indian"
8,7.7,0.3556,1.18117961986933e-18,1,"Forest_disc_75","indian"
9,1.54,0.072,9.11150842584544e-19,1,"Forest_disc_75","indian"
9,2.89,0.5914,9.11150842584544e-19,1,"Forest_disc_75","indian"
9,4.25,0.3366,9.11150842584544e-19,1,"Forest_disc_75","indian"
10,0.38,0.048,5.03330733777024e-18,1,"Forest_disc_75","indian"
10,0.937,0.6767,5.03330733777024e-18,1,"Forest_disc_75","indian"
10,1.515,0.2752,5.03330733777024e-18,1,"Forest_disc_75","indian"
1,5.5,0.068,5.1776871786906e-25,1,"Forest_disc_100","indian"
1,33,0.5796,5.1776871786906e-25,1,"Forest_disc_100","indian"
1,62.5,0.3524,5.1776871786906e-25,1,"Forest_disc_100","indian"
3,0.66,0.5505,3.07577892808208e-25,1,"Forest_disc_100","indian"
3,2.09,0.4139,3.07577892808208e-25,1,"Forest_disc_100","indian"
3,8.49,0.0358,3.07577892808208e-25,1,"Forest_disc_100","indian"
4,0.35,0.8256,1.37593807438986e-25,1,"Forest_disc_100","indian"
4,1.96,0.1562,1.37593807438986e-25,1,"Forest_disc_100","indian"
4,5.43,0.0183,1.37593807438986e-25,1,"Forest_disc_100","indian"
5,76.5,0.2504,1.02766255920764e-32,1,"Forest_disc_100","indian"
5,275.7,0.7019,1.02766255920764e-32,1,"Forest_disc_100","indian"
5,1474.5,0.0478,1.02766255920764e-32,1,"Forest_disc_100","indian"
6,11,0.3904,1.13398242745559e-33,1,"Forest_disc_100","indian"
6,53.7,0.6054,1.13398242745559e-33,1,"Forest_disc_100","indian"
6,395.3,0.0043,1.13398242745559e-33,1,"Forest_disc_100","indian"
7,12.5,0.4026,2.45661550907568e-31,1,"Forest_disc_100","indian"
7,64,0.5853,2.45661550907568e-31,1,"Forest_disc_100","indian"
7,323.6,0.0122,2.45661550907568e-31,1,"Forest_disc_100","indian"
8,3.95,0.04,1.8504940990021e-18,1,"Forest_disc_100","indian"
8,6.07,0.6476,1.8504940990021e-18,1,"Forest_disc_100","indian"
8,7.9,0.3123,1.8504940990021e-18,1,"Forest_disc_100","indian"
9,1.15,0.0276,1.02110526516839e-18,1,"Forest_disc_100","indian"
9,2.75,0.5747,1.02110526516839e-18,1,"Forest_disc_100","indian"
9,4.12,0.3976,1.02110526516839e-18,1,"Forest_disc_100","indian"
10,0.36,0.0448,1.09652720488394e-22,1,"Forest_disc_100","indian"
10,0.939,0.6808,1.09652720488394e-22,1,"Forest_disc_100","indian"
10,1.51,0.2743,1.09652720488394e-22,1,"Forest_disc_100","indian"
1,5.5,0.0636,6.54276918454255e-25,1,"Forest_disc_125","indian"
