"var","Split","freq","opt_value","iter","forest","name"
2,0.097456,0.232,1.90389288539243e-18,1,"Forest_disc_25","ion"
2,0.32025,0.4859,1.90389288539243e-18,1,"Forest_disc_25","ion"
2,0.802313,0.2821,1.90389288539243e-18,1,"Forest_disc_25","ion"
3,-0.867852,0.1496,7.44657288794357e-22,1,"Forest_disc_25","ion"
3,-0.171228,0.6497,7.44657288794357e-22,1,"Forest_disc_25","ion"
3,0.614765,0.2005,7.44657288794357e-22,1,"Forest_disc_25","ion"
4,-0.458686,0.0534,7.77706756361013e-21,1,"Forest_disc_25","ion"
4,0.125183,0.7937,7.77706756361013e-21,1,"Forest_disc_25","ion"
4,0.762865,0.1528,7.77706756361013e-21,1,"Forest_disc_25","ion"
5,-0.702777,0.2112,1.88375911957754e-22,1,"Forest_disc_25","ion"
5,0.084257,0.6667,1.88375911957754e-22,1,"Forest_disc_25","ion"
5,0.814685,0.122,1.88375911957754e-22,1,"Forest_disc_25","ion"
6,-0.079965,0.2252,3.97412805022885e-19,1,"Forest_disc_25","ion"
6,0.179388,0.4359,3.97412805022885e-19,1,"Forest_disc_25","ion"
6,0.790838,0.3389,3.97412805022885e-19,1,"Forest_disc_25","ion"
7,-0.869393,0.372,1.39513922371844e-21,1,"Forest_disc_25","ion"
7,0.027473,0.5207,1.39513922371844e-21,1,"Forest_disc_25","ion"
7,0.748027,0.1071,1.39513922371844e-21,1,"Forest_disc_25","ion"
8,0.169789,0.2765,4.35536869551741e-20,1,"Forest_disc_25","ion"
8,0.60246,0.3957,4.35536869551741e-20,1,"Forest_disc_25","ion"
8,0.900224,0.3276,4.35536869551741e-20,1,"Forest_disc_25","ion"
9,-0.755855,0.426,2.33619148898642e-22,1,"Forest_disc_25","ion"
9,-0.081234,0.4901,2.33619148898642e-22,1,"Forest_disc_25","ion"
9,0.590212,0.0839,2.33619148898642e-22,1,"Forest_disc_25","ion"
10,-0.066438,0.3288,1.36800217153616e-19,1,"Forest_disc_25","ion"
10,0.568527,0.2892,1.36800217153616e-19,1,"Forest_disc_25","ion"
10,0.973473,0.3819,1.36800217153616e-19,1,"Forest_disc_25","ion"
11,-0.635634,0.1992,6.64057807098535e-22,1,"Forest_disc_25","ion"
11,0.044052,0.5191,6.64057807098535e-22,1,"Forest_disc_25","ion"
11,0.663689,0.2817,6.64057807098535e-22,1,"Forest_disc_25","ion"
12,-0.35734,0.5,4.52276840329955e-23,1,"Forest_disc_25","ion"
12,0.288725,0.5,4.52276840329955e-23,1,"Forest_disc_25","ion"
13,-0.679153,0.411,9.36162778242593e-22,1,"Forest_disc_25","ion"
13,-0.015336,0.4782,9.36162778242593e-22,1,"Forest_disc_25","ion"
13,0.871114,0.111,9.36162778242593e-22,1,"Forest_disc_25","ion"
14,-0.700693,0.432,2.21195740345494e-20,1,"Forest_disc_25","ion"
14,0.208803,0.3055,2.21195740345494e-20,1,"Forest_disc_25","ion"
14,0.913922,0.2626,2.21195740345494e-20,1,"Forest_disc_25","ion"
15,-0.768927,0.3594,1.53061527180084e-20,1,"Forest_disc_25","ion"
15,0.15657,0.3824,1.53061527180084e-20,1,"Forest_disc_25","ion"
15,0.873361,0.258,1.53061527180084e-20,1,"Forest_disc_25","ion"
16,-0.060058,0.472,1.0944505786628e-19,1,"Forest_disc_25","ion"
16,0.228726,0.2791,1.0944505786628e-19,1,"Forest_disc_25","ion"
16,0.813061,0.2491,1.0944505786628e-19,1,"Forest_disc_25","ion"
17,-0.686245,0.448,2.61679379939123e-22,1,"Forest_disc_25","ion"
17,0.20956,0.4449,2.61679379939123e-22,1,"Forest_disc_25","ion"
17,0.96922,0.1069,2.61679379939123e-22,1,"Forest_disc_25","ion"
18,0.025991,0.3907,5.28070740841092e-19,1,"Forest_disc_25","ion"
18,0.616777,0.3151,5.28070740841092e-19,1,"Forest_disc_25","ion"
18,0.99657,0.2942,5.28070740841092e-19,1,"Forest_disc_25","ion"
19,-0.893537,0.3654,9.36204843655973e-22,1,"Forest_disc_25","ion"
19,0.030815,0.5342,9.36204843655973e-22,1,"Forest_disc_25","ion"
19,0.82462,0.1002,9.36204843655973e-22,1,"Forest_disc_25","ion"
20,0.042419,0.1704,2.31921491570701e-19,1,"Forest_disc_25","ion"
20,0.667144,0.4623,2.31921491570701e-19,1,"Forest_disc_25","ion"
20,0.937164,0.3673,2.31921491570701e-19,1,"Forest_disc_25","ion"
21,-0.870387,0.2345,7.99675085415795e-22,1,"Forest_disc_25","ion"
21,0.135347,0.4885,7.99675085415795e-22,1,"Forest_disc_25","ion"
21,0.960005,0.2768,7.99675085415795e-22,1,"Forest_disc_25","ion"
22,-0.55199,0.0816,9.342754231014e-19,1,"Forest_disc_25","ion"
22,0.30317,0.3838,9.342754231014e-19,1,"Forest_disc_25","ion"
22,0.898208,0.5345,9.342754231014e-19,1,"Forest_disc_25","ion"
23,-0.877705,0.2247,2.80106533607774e-21,1,"Forest_disc_25","ion"
23,-0.086387,0.4899,2.80106533607774e-21,1,"Forest_disc_25","ion"
23,0.674857,0.2856,2.80106533607774e-21,1,"Forest_disc_25","ion"
24,0.168945,0.2032,1.54286692950497e-19,1,"Forest_disc_25","ion"
24,0.557291,0.3401,1.54286692950497e-19,1,"Forest_disc_25","ion"
24,0.927175,0.4569,1.54286692950497e-19,1,"Forest_disc_25","ion"
25,-0.616101,0.4949,3.03690529741631e-22,1,"Forest_disc_25","ion"
25,0.060126,0.3376,3.03690529741631e-22,1,"Forest_disc_25","ion"
25,0.84191,0.1674,3.03690529741631e-22,1,"Forest_disc_25","ion"
26,0.004201,0.175,1.4820362032436e-19,1,"Forest_disc_25","ion"
26,0.603299,0.1637,1.4820362032436e-19,1,"Forest_disc_25","ion"
26,0.999945,0.6612,1.4820362032436e-19,1,"Forest_disc_25","ion"
27,-0.85826,0.1656,8.5197683322334e-23,1,"Forest_disc_25","ion"
27,0.097615,0.58,8.5197683322334e-23,1,"Forest_disc_25","ion"
27,0.4693,0.2543,8.5197683322334e-23,1,"Forest_disc_25","ion"
28,-0.683874,0.174,1.65664370080937e-21,1,"Forest_disc_25","ion"
28,0.118632,0.5658,1.65664370080937e-21,1,"Forest_disc_25","ion"
28,0.996994,0.2601,1.65664370080937e-21,1,"Forest_disc_25","ion"
29,-0.803528,0.2752,1.54685575694653e-22,1,"Forest_disc_25","ion"
29,-0.00243,0.5942,1.54685575694653e-22,1,"Forest_disc_25","ion"
29,0.743205,0.1305,1.54685575694653e-22,1,"Forest_disc_25","ion"
30,-0.71434,0.1365,9.62541508588993e-22,1,"Forest_disc_25","ion"
30,0.128901,0.7275,9.62541508588993e-22,1,"Forest_disc_25","ion"
30,0.845223,0.1361,9.62541508588993e-22,1,"Forest_disc_25","ion"
31,-0.805808,0.3228,4.58170858738477e-23,1,"Forest_disc_25","ion"
31,0.057959,0.538,4.58170858738477e-23,1,"Forest_disc_25","ion"
31,0.825925,0.1389,4.58170858738477e-23,1,"Forest_disc_25","ion"
32,-0.123519,0.446,6.52417806005858e-21,1,"Forest_disc_25","ion"
32,0.387072,0.3873,6.52417806005858e-21,1,"Forest_disc_25","ion"
32,0.983233,0.1668,6.52417806005858e-21,1,"Forest_disc_25","ion"
33,-0.730565,0.2248,7.55124804130708e-21,1,"Forest_disc_25","ion"
33,0.180754,0.3381,7.55124804130708e-21,1,"Forest_disc_25","ion"
33,0.946033,0.4368,7.55124804130708e-21,1,"Forest_disc_25","ion"
2,0.107148,0.254,1.74867143415912e-20,1,"Forest_disc_50","ion"
2,0.362841,0.4389,1.74867143415912e-20,1,"Forest_disc_50","ion"
2,0.816205,0.3071,1.74867143415912e-20,1,"Forest_disc_50","ion"
3,-0.53329,0.2913,1.53945413618393e-21,1,"Forest_disc_50","ion"
3,0.056642,0.4965,1.53945413618393e-21,1,"Forest_disc_50","ion"
3,0.751335,0.2122,1.53945413618393e-21,1,"Forest_disc_50","ion"
4,-0.004905,0.3311,4.14974927382499e-20,1,"Forest_disc_50","ion"
4,0.252103,0.5966,4.14974927382499e-20,1,"Forest_disc_50","ion"
4,0.874064,0.0722,4.14974927382499e-20,1,"Forest_disc_50","ion"
5,-0.892545,0.1375,6.37987734953922e-22,1,"Forest_disc_50","ion"
5,-0.213842,0.6568,6.37987734953922e-22,1,"Forest_disc_50","ion"
5,0.542859,0.2059,6.37987734953922e-22,1,"Forest_disc_50","ion"
6,-0.426906,0.0416,1.43085340895259e-20,1,"Forest_disc_50","ion"
6,0.07928,0.675,1.43085340895259e-20,1,"Forest_disc_50","ion"
6,0.812589,0.2835,1.43085340895259e-20,1,"Forest_disc_50","ion"
7,-0.935257,0.2786,5.51617806239263e-22,1,"Forest_disc_50","ion"
7,-0.173616,0.5582,5.51617806239263e-22,1,"Forest_disc_50","ion"
7,0.612375,0.1633,5.51617806239263e-22,1,"Forest_disc_50","ion"
8,-0.575179,0.1242,1.93839518181347e-19,1,"Forest_disc_50","ion"
8,0.538424,0.4027,1.93839518181347e-19,1,"Forest_disc_50","ion"
8,0.89081,0.4731,1.93839518181347e-19,1,"Forest_disc_50","ion"
9,-0.755855,0.4112,4.11011927616597e-22,1,"Forest_disc_50","ion"
9,-0.135436,0.4505,4.11011927616597e-22,1,"Forest_disc_50","ion"
9,0.646979,0.1384,4.11011927616597e-22,1,"Forest_disc_50","ion"
10,-0.772127,0.2958,4.04760967181758e-20,1,"Forest_disc_50","ion"
10,0.210469,0.3654,4.04760967181758e-20,1,"Forest_disc_50","ion"
10,0.986601,0.3389,4.04760967181758e-20,1,"Forest_disc_50","ion"
11,-0.580712,0.2232,1.50192509871644e-22,1,"Forest_disc_50","ion"
11,0.055491,0.7018,1.50192509871644e-22,1,"Forest_disc_50","ion"
11,0.98374,0.0752,1.50192509871644e-22,1,"Forest_disc_50","ion"
12,-0.68142,0.1616,2.52977750787072e-20,1,"Forest_disc_50","ion"
12,0.060369,0.3148,2.52977750787072e-20,1,"Forest_disc_50","ion"
12,0.71778,0.5237,2.52977750787072e-20,1,"Forest_disc_50","ion"
13,-0.75937,0.3275,3.43664253675651e-21,1,"Forest_disc_50","ion"
13,-0.294431,0.4759,3.43664253675651e-21,1,"Forest_disc_50","ion"
13,0.796394,0.1964,3.43664253675651e-21,1,"Forest_disc_50","ion"
14,-0.768168,0.1014,1.45846783321309e-20,1,"Forest_disc_50","ion"
14,0.088831,0.4403,1.45846783321309e-20,1,"Forest_disc_50","ion"
14,0.804017,0.4581,1.45846783321309e-20,1,"Forest_disc_50","ion"
15,-0.72846,0.3237,4.84399576902076e-21,1,"Forest_disc_50","ion"
15,0.16071,0.4621,4.84399576902076e-21,1,"Forest_disc_50","ion"
15,0.923553,0.2142,4.84399576902076e-21,1,"Forest_disc_50","ion"
16,-0.38287,0.1332,1.59493550099703e-19,1,"Forest_disc_50","ion"
16,0.120949,0.3948,1.59493550099703e-19,1,"Forest_disc_50","ion"
16,0.773956,0.4722,1.59493550099703e-19,1,"Forest_disc_50","ion"
17,-0.836999,0.3976,5.06046624872185e-22,1,"Forest_disc_50","ion"
17,-0.278312,0.4253,5.06046624872185e-22,1,"Forest_disc_50","ion"
17,0.497311,0.1773,5.06046624872185e-22,1,"Forest_disc_50","ion"
18,-0.541959,0.1757,2.30153334977156e-20,1,"Forest_disc_50","ion"
18,0.126647,0.5267,2.30153334977156e-20,1,"Forest_disc_50","ion"
18,0.958826,0.2975,2.30153334977156e-20,1,"Forest_disc_50","ion"
19,-0.784648,0.3864,7.14932893729905e-22,1,"Forest_disc_50","ion"
19,0.039586,0.4809,7.14932893729905e-22,1,"Forest_disc_50","ion"
19,0.865699,0.1327,7.14932893729905e-22,1,"Forest_disc_50","ion"
20,-0.024636,0.2916,2.27031056184859e-19,1,"Forest_disc_50","ion"
20,0.38761,0.4689,2.27031056184859e-19,1,"Forest_disc_50","ion"
20,0.822667,0.2395,2.27031056184859e-19,1,"Forest_disc_50","ion"
21,-0.941034,0.1253,1.62201123029852e-20,1,"Forest_disc_50","ion"
21,0.097362,0.4447,1.62201123029852e-20,1,"Forest_disc_50","ion"
21,0.851595,0.4302,1.62201123029852e-20,1,"Forest_disc_50","ion"
22,-0.607153,0.1038,7.44088887294148e-20,1,"Forest_disc_50","ion"
22,0.142273,0.5985,7.44088887294148e-20,1,"Forest_disc_50","ion"
22,0.925042,0.2977,7.44088887294148e-20,1,"Forest_disc_50","ion"
23,-0.93155,0.387,6.68721119677235e-22,1,"Forest_disc_50","ion"
23,-0.036503,0.4001,6.68721119677235e-22,1,"Forest_disc_50","ion"
23,0.76811,0.213,6.68721119677235e-22,1,"Forest_disc_50","ion"
24,-0.727045,0.1145,3.25207974875829e-20,1,"Forest_disc_50","ion"
24,0.146738,0.4639,3.25207974875829e-20,1,"Forest_disc_50","ion"
24,0.764195,0.4217,3.25207974875829e-20,1,"Forest_disc_50","ion"
25,-0.657848,0.2806,8.17250473190857e-22,1,"Forest_disc_50","ion"
25,-0.070352,0.5903,8.17250473190857e-22,1,"Forest_disc_50","ion"
25,0.846876,0.129,8.17250473190857e-22,1,"Forest_disc_50","ion"
