"accuracy","macroPrecision","macroRecall","macroF1","kappa","kappa_w","data","class_method","inconsistency","disc_method","NB_interval","exe_time","iter","modif_nb_inter","name","exetimepervar"
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,1,NA,"Iris",0
0.911111111111111,0.91553544494721,0.911111111111111,0.910714285714286,0.866666666666666,0.898305084745763,"test","RF",0,"cont",NA,0,1,NA,"Iris",0
0.971428571428571,0.971677559912854,0.971428571428571,0.971422739334558,0.957142857142857,0.967741935483871,"train","CART",0,"cont",NA,0,1,NA,"Iris",0
0.888888888888889,0.898148148148148,0.888888888888889,0.887766554433221,0.833333333333333,0.871794871794872,"test","CART",0,"cont",NA,0,1,NA,"Iris",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,1,NA,"Iris",0
0.911111111111111,0.91553544494721,0.911111111111111,0.910714285714286,0.866666666666666,0.898305084745763,"test","Boosting",0,"cont",NA,0,1,NA,"Iris",0
0.971428571428571,0.971677559912854,0.971428571428571,0.971422739334558,0.957142857142857,0.967741935483871,"train","SVM",0,"cont",NA,0,1,NA,"Iris",0
0.933333333333333,0.93452380952381,0.933333333333333,0.933259176863181,0.9,0.92436974789916,"test","SVM",0,"cont",NA,0,1,NA,"Iris",0
0.961904761904762,0.962871962871963,0.961904761904762,0.961873638344227,0.942857142857143,0.956834532374101,"train","NaiveBayes",0,"cont",NA,0,1,NA,"Iris",0
0.933333333333333,0.93452380952381,0.933333333333333,0.933259176863181,0.9,0.92436974789916,"test","NaiveBayes",0,"cont",NA,0,1,NA,"Iris",0
0.961904761904762,0.961904761904762,0.961904761904762,0.961904761904762,0.942857142857143,0.957142857142857,"train","KNN_Class",0,"cont",NA,0,1,NA,"Iris",0
0.977777777777778,0.979166666666667,0.977777777777778,0.977753058954394,0.966666666666666,0.974789915966387,"test","KNN_Class",0,"cont",NA,0,1,NA,"Iris",0
1,1,1,1,1,1,"train","RF",0.00952380952380952,"cont",NA,0,2,NA,"Iris",0
0.911111111111111,0.91553544494721,0.911111111111111,0.910714285714286,0.866666666666667,0.901639344262295,"test","RF",0,"cont",NA,0,2,NA,"Iris",0
0.980952380952381,0.981981981981982,0.980952380952381,0.980936819172113,0.971428571428571,0.978723404255319,"train","CART",0.00952380952380952,"cont",NA,0,2,NA,"Iris",0
0.888888888888889,0.898148148148148,0.888888888888889,0.887766554433221,0.833333333333333,0.878048780487805,"test","CART",0,"cont",NA,0,2,NA,"Iris",0
1,1,1,1,1,1,"train","Boosting",0.00952380952380952,"cont",NA,0,2,NA,"Iris",0
0.888888888888889,0.898148148148148,0.888888888888889,0.887766554433221,0.833333333333333,0.878048780487805,"test","Boosting",0,"cont",NA,0,2,NA,"Iris",0
0.990476190476191,0.990740740740741,0.990476190476191,0.990474246444853,0.985714285714286,0.98932384341637,"train","SVM",0.00952380952380952,"cont",NA,0,2,NA,"Iris",0
0.888888888888889,0.889880952380952,0.888888888888889,0.888765294771969,0.833333333333333,0.87603305785124,"test","SVM",0,"cont",NA,0,2,NA,"Iris",0
0.980952380952381,0.980952380952381,0.980952380952381,0.980952380952381,0.971428571428571,0.978571428571429,"train","NaiveBayes",0.00952380952380952,"cont",NA,0,2,NA,"Iris",0
0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.8,0.85,"test","NaiveBayes",0,"cont",NA,0,2,NA,"Iris",0
1,1,1,1,1,1,"train","KNN_Class",0.00952380952380952,"cont",NA,0,2,NA,"Iris",0
0.933333333333333,0.93452380952381,0.933333333333333,0.933259176863181,0.9,0.925619834710744,"test","KNN_Class",0,"cont",NA,0,2,NA,"Iris",0
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,3,NA,"Iris",0
0.955555555555556,0.96078431372549,0.955555555555556,0.955357142857143,0.933333333333333,0.950819672131147,"test","RF",0,"cont",NA,0,3,NA,"Iris",0
0.961904761904762,0.962871962871963,0.961904761904762,0.961873638344227,0.942857142857143,0.957446808510638,"train","CART",0,"cont",NA,0,3,NA,"Iris",0
0.955555555555556,0.96078431372549,0.955555555555556,0.955357142857143,0.933333333333333,0.950819672131147,"test","CART",0,"cont",NA,0,3,NA,"Iris",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,3,NA,"Iris",0
0.955555555555556,0.96078431372549,0.955555555555556,0.955357142857143,0.933333333333333,0.950819672131147,"test","Boosting",0,"cont",NA,0,3,NA,"Iris",0
0.980952380952381,0.980952380952381,0.980952380952381,0.980952380952381,0.971428571428571,0.978571428571429,"train","SVM",0,"cont",NA,0,3,NA,"Iris",0
0.933333333333333,0.93452380952381,0.933333333333333,0.933259176863181,0.9,0.925619834710744,"test","SVM",0,"cont",NA,0,3,NA,"Iris",0
0.952380952380952,0.952614379084967,0.952380952380952,0.952371232224263,0.928571428571428,0.946236559139785,"train","NaiveBayes",0,"cont",NA,0,3,NA,"Iris",0
0.933333333333333,0.93452380952381,0.933333333333333,0.933259176863181,0.9,0.925619834710744,"test","NaiveBayes",0,"cont",NA,0,3,NA,"Iris",0
0.980952380952381,0.980952380952381,0.980952380952381,0.980952380952381,0.971428571428571,0.978571428571429,"train","KNN_Class",0,"cont",NA,0,3,NA,"Iris",0
0.977777777777778,0.979166666666667,0.977777777777778,0.977753058954394,0.966666666666666,0.975206611570248,"test","KNN_Class",0,"cont",NA,0,3,NA,"Iris",0
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,4,NA,"Iris",0
0.977777777777778,0.979166666666667,0.977777777777778,0.977753058954394,0.966666666666666,0.974789915966387,"test","RF",0,"cont",NA,0,4,NA,"Iris",0
0.952380952380952,0.954495614035088,0.952380952380952,0.952293327881142,0.928571428571428,0.946996466431095,"train","CART",0,"cont",NA,0,4,NA,"Iris",0
