"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
1,2,2.33007304319758e-07,6.19,4.8,NA,NA,NA,NA,NA,NA,NA,NA,0.8733,0.1268,NA,NA,NA,NA,NA,NA,NA,NA,2.33007304319758e-07,2,1,"Forest_disc_NLD50","Iris"
1,3,2.52461488419577e-14,5.86,6.74,4.8,NA,NA,NA,NA,NA,NA,NA,0.7496,0.2178,0.0327,NA,NA,NA,NA,NA,NA,NA,2.52461488419577e-13,3,1,"Forest_disc_NLD50","Iris"
1,4,1.70921490348507e-13,5.83,6.29,6.83,4.8,NA,NA,NA,NA,NA,NA,0.6594,0.1577,0.151,0.0319,NA,NA,NA,NA,NA,NA,1.70921490348507e-11,4,1,"Forest_disc_NLD50","Iris"
1,5,3.96168502389407e-12,5.77,6.51,6.37,6.8,4.8,NA,NA,NA,NA,NA,0.6361,0.1244,0.1097,0.1084,0.0214,NA,NA,NA,NA,NA,3.96168502389407e-09,5,1,"Forest_disc_NLD50","Iris"
1,6,2.28798440272575e-13,5.83,6.43,6.89,6.76,6.21,4.8,NA,NA,NA,NA,0.6702,0.0947,0.0736,0.0649,0.0644,0.0322,NA,NA,NA,NA,2.28798440272575e-09,6,1,"Forest_disc_NLD50","Iris"
1,7,5.0088015096377e-12,5.76,6.67,6.17,6.72,5.83,6.55,4.8,NA,NA,NA,0.5409,0.1103,0.0912,0.0864,0.0835,0.0668,0.021,NA,NA,NA,5.0088015096377e-07,7,1,"Forest_disc_NLD50","Iris"
1,8,7.68968154967849e-12,5.94,6.11,6.86,6.47,7.06,5.67,4.8,5.38,NA,NA,0.6342,0.0905,0.0589,0.0565,0.0479,0.0458,0.0364,0.0298,NA,NA,7.68968154967849e-06,8,1,"Forest_disc_NLD50","Iris"
1,9,4.63307360106074e-10,5.87,6.7,5.96,5.49,6.5,6.57,5.22,5.97,4.8,NA,0.4003,0.1376,0.1294,0.0887,0.0788,0.067,0.0642,0.0322,0.0019,NA,0.00463307360106074,9,1,"Forest_disc_NLD50","Iris"
1,10,8.96009511732795e-12,6.05,5.9,6.22,5.51,5.6,7.02,6.38,6.86,4.8,5.99,0.3779,0.1337,0.1145,0.111,0.0962,0.0559,0.0439,0.0426,0.0243,0,8.96009511732795e-05,9,1,"Forest_disc_NLD50","Iris"
2,2,1.7295414735893e-07,3.09,2.55,NA,NA,NA,NA,NA,NA,NA,NA,0.7183,0.2818,NA,NA,NA,NA,NA,NA,NA,NA,1.7295414735893e-07,2,1,"Forest_disc_NLD50","Iris"
2,3,7.89072699252532e-12,2.82,3.32,2.55,NA,NA,NA,NA,NA,NA,NA,0.7001,0.2617,0.0382,NA,NA,NA,NA,NA,NA,NA,7.89072699252532e-11,3,1,"Forest_disc_NLD50","Iris"
2,4,1.54792036436539e-11,2.79,3.33,3.19,2.55,NA,NA,NA,NA,NA,NA,0.6817,0.1882,0.1297,4e-04,NA,NA,NA,NA,NA,NA,1.54792036436539e-09,4,1,"Forest_disc_NLD50","Iris"
2,5,4.33351907062629e-12,2.82,3.2,3.41,3.29,2.55,NA,NA,NA,NA,NA,0.6699,0.1255,0.0883,0.0733,0.0431,NA,NA,NA,NA,NA,4.33351907062629e-09,5,1,"Forest_disc_NLD50","Iris"
2,6,4.46174483468973e-10,2.77,3.09,3.37,3.3,2.55,3.08,NA,NA,NA,NA,0.5916,0.2101,0.1152,0.0703,0.012,8e-04,NA,NA,NA,NA,4.46174483468973e-06,6,1,"Forest_disc_NLD50","Iris"
2,7,7.41259705213129e-12,2.77,3.14,3.4,3.1,2.86,3.09,2.55,NA,NA,NA,0.5639,0.1636,0.1272,0.0545,0.051,0.0381,0.0017,NA,NA,NA,7.41259705213129e-07,7,1,"Forest_disc_NLD50","Iris"
2,8,1.32103103081395e-12,2.86,3.45,3.06,3.06,2.55,2.95,2.68,2.72,NA,NA,0.4397,0.1185,0.1159,0.1032,0.0743,0.0671,0.0434,0.0379,NA,NA,1.32103103081395e-07,7,1,"Forest_disc_NLD50","Iris"
2,9,5.96921032700936e-13,2.88,2.55,3.39,3.43,3.01,2.94,3.41,3.29,2.78,NA,0.6424,0.0964,0.0609,0.0572,0.0425,0.0348,0.0287,0.0255,0.0116,NA,5.96921032700936e-06,9,1,"Forest_disc_NLD50","Iris"
2,10,5.34240233791507e-12,2.89,2.55,3.41,3.5,3,2.98,3.02,3.35,3.07,2.97,0.6118,0.1126,0.0591,0.0476,0.0373,0.0332,0.0326,0.0304,0.0274,0.008,0.000534240233791507,10,1,"Forest_disc_NLD50","Iris"
3,2,4.34731502926403e-05,3.46,5.35,NA,NA,NA,NA,NA,NA,NA,NA,0.544,0.4547,NA,NA,NA,NA,NA,NA,NA,NA,4.34731502926403e-05,2,1,"Forest_disc_NLD50","Iris"
3,3,1.63949617993689e-31,4.96,2.3,2.93,NA,NA,NA,NA,NA,NA,NA,0.7186,0.1467,0.1348,NA,NA,NA,NA,NA,NA,NA,1.63949617993689e-30,3,1,"Forest_disc_NLD50","Iris"
3,4,1.10388490193569e-15,4.84,2.49,5.22,5.34,NA,NA,NA,NA,NA,NA,0.5956,0.2567,0.1141,0.0337,NA,NA,NA,NA,NA,NA,1.10388490193569e-13,4,1,"Forest_disc_NLD50","Iris"
3,5,9.79899168301052e-12,5.05,2.47,4.59,4.95,4.41,NA,NA,NA,NA,NA,0.4404,0.2522,0.187,0.1065,0.0139,NA,NA,NA,NA,NA,9.79899168301052e-09,5,1,"Forest_disc_NLD50","Iris"
3,6,4.77535440657811e-10,4.98,2.5,4.74,4.39,5.2,3.94,NA,NA,NA,NA,0.6128,0.2614,0.0827,0.0371,0.0059,0,NA,NA,NA,NA,4.77535440657811e-07,5,1,"Forest_disc_NLD50","Iris"
3,7,4.96447256816029e-07,4.98,2.67,2.32,2.58,3.63,4.64,2.42,NA,NA,NA,0.6949,0.2265,0.0349,0.0176,0.0152,0.0109,0,NA,NA,NA,0.00496447256816029,6,1,"Forest_disc_NLD50","Iris"
3,8,3.46636120186753e-32,4.98,2.45,4.13,2.6,3.38,2.31,2.6,3.89,NA,NA,0.6812,0.2199,0.0661,0.0159,0.007,0.0061,0.0031,6e-04,NA,NA,3.46636120186753e-27,7,1,"Forest_disc_NLD50","Iris"
3,9,2.43451550178601e-09,5.12,2.4,4.74,4.63,4.82,3.98,5.34,5.09,4.76,NA,0.3155,0.2308,0.2013,0.0646,0.0615,0.0584,0.0249,0.0222,0.0209,NA,0.0243451550178601,9,1,"Forest_disc_NLD50","Iris"
3,10,9.19693095210911e-14,4.97,2.33,2.45,2.7,4.93,3.52,2.35,4.78,5.14,4.93,0.602,0.0771,0.071,0.0652,0.0646,0.0476,0.0265,0.0209,0.0163,0.0088,9.19693095210911e-07,9,1,"Forest_disc_NLD50","Iris"
4,2,8.00274546609509e-09,1.69,0.79,NA,NA,NA,NA,NA,NA,NA,NA,0.6604,0.3396,NA,NA,NA,NA,NA,NA,NA,NA,8.00274546609509e-09,2,1,"Forest_disc_NLD50","Iris"
4,3,9.35781960643569e-32,1.64,0.77,1.85,NA,NA,NA,NA,NA,NA,NA,0.5783,0.3202,0.1014,NA,NA,NA,NA,NA,NA,NA,9.35781960643569e-31,3,1,"Forest_disc_NLD50","Iris"
4,4,7.78000610804216e-10,1.73,0.77,1.56,1.76,NA,NA,NA,NA,NA,NA,0.4166,0.321,0.2359,0.0265,NA,NA,NA,NA,NA,NA,7.78000610804215e-08,4,1,"Forest_disc_NLD50","Iris"
