"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
1,2,7.57536437532283e-08,4,29.1,NA,NA,NA,NA,NA,NA,NA,NA,0.9735,0.0265,NA,NA,NA,NA,NA,NA,NA,NA,7.57536437532283e-08,2,1,"Forest_disc_25","mammographic"
1,3,4.64652856019499e-26,4.8,2.8,30,NA,NA,NA,NA,NA,NA,NA,0.6129,0.3635,0.0235,NA,NA,NA,NA,NA,NA,NA,4.64652856019499e-25,3,1,"Forest_disc_25","mammographic"
1,4,2.66139252598084e-25,4.5,2.1,2.1,29.9,NA,NA,NA,NA,NA,NA,0.7935,0.0914,0.0914,0.0237,NA,NA,NA,NA,NA,NA,2.66139252598084e-24,3,1,"Forest_disc_25","mammographic"
1,5,3.04697418871087e-25,4.4,1.6,1.6,1.6,29.9,NA,NA,NA,NA,NA,0.8494,0.0422,0.0422,0.0422,0.0238,NA,NA,NA,NA,NA,3.04697418871087e-24,3,1,"Forest_disc_25","mammographic"
1,6,2.65702378207386e-25,4.4,1.4,1.4,1.4,1.4,29.9,NA,NA,NA,NA,0.8712,0.0262,0.0262,0.0262,0.0262,0.0239,NA,NA,NA,NA,2.65702378207386e-24,3,1,"Forest_disc_25","mammographic"
1,7,2.49990226589293e-25,4.3,29.9,1.2,1.2,1.2,1.2,1.2,NA,NA,NA,0.8803,0.0239,0.0191,0.0191,0.0191,0.0191,0.0191,NA,NA,NA,2.49990226589293e-24,3,1,"Forest_disc_25","mammographic"
1,8,1.85630091877254e-25,4.3,29.9,1,1,1,1,1,1,NA,NA,0.8936,0.024,0.0137,0.0137,0.0137,0.0137,0.0137,0.0137,NA,NA,1.85630091877254e-24,3,1,"Forest_disc_25","mammographic"
1,9,2.22752241426696e-25,4.3,29.9,1,1,1,1,1,1,1,NA,0.8947,0.024,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,NA,2.22752241426696e-24,3,1,"Forest_disc_25","mammographic"
1,10,4.06245567985117e-26,4.3,29.9,1,1,1,1,1,1,1,1,0.8947,0.024,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102,4.06245567985117e-25,3,1,"Forest_disc_25","mammographic"
2,2,2.27451285721682e-08,45.6,70.2,NA,NA,NA,NA,NA,NA,NA,NA,0.5013,0.4987,NA,NA,NA,NA,NA,NA,NA,NA,2.27451285721682e-08,2,1,"Forest_disc_25","mammographic"
2,3,3.48688422053359e-23,51.2,73,28.5,NA,NA,NA,NA,NA,NA,NA,0.5893,0.3601,0.0506,NA,NA,NA,NA,NA,NA,NA,3.48688422053359e-22,3,1,"Forest_disc_25","mammographic"
2,4,3.91069969347864e-23,51.2,73,28.5,28.5,NA,NA,NA,NA,NA,NA,0.5893,0.3601,0.0253,0.0253,NA,NA,NA,NA,NA,NA,3.91069969347864e-22,3,1,"Forest_disc_25","mammographic"
2,5,4.00557250587771e-23,51.2,73,28.5,28.5,28.5,NA,NA,NA,NA,NA,0.5893,0.3601,0.0169,0.0169,0.0169,NA,NA,NA,NA,NA,4.00557250587771e-22,3,1,"Forest_disc_25","mammographic"
2,6,3.08367046030261e-23,51.2,73,28.5,28.5,28.5,28.5,NA,NA,NA,NA,0.5893,0.3601,0.0127,0.0127,0.0127,0.0127,NA,NA,NA,NA,3.08367046030261e-22,3,1,"Forest_disc_25","mammographic"
2,7,3.95898435348092e-23,51.2,73,28.5,28.5,28.5,28.5,28.5,NA,NA,NA,0.5893,0.3601,0.0101,0.0101,0.0101,0.0101,0.0101,NA,NA,NA,3.95898435348092e-22,3,1,"Forest_disc_25","mammographic"
2,8,4.0436479511453e-23,51.2,73,28.5,28.5,28.5,28.5,28.5,28.5,NA,NA,0.5893,0.3601,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,NA,NA,4.0436479511453e-22,3,1,"Forest_disc_25","mammographic"
