"var","Split","freq","opt_value","iter","forest","name"
1,1,0.0816,4.06245567985117e-26,1,"Forest_disc_25","mammographic"
1,4.3,0.8947,4.06245567985117e-26,1,"Forest_disc_25","mammographic"
1,29.9,0.024,4.06245567985117e-26,1,"Forest_disc_25","mammographic"
2,28.5,0.0504,2.83452997145539e-23,1,"Forest_disc_25","mammographic"
2,51.2,0.5893,2.83452997145539e-23,1,"Forest_disc_25","mammographic"
2,73,0.3601,2.83452997145539e-23,1,"Forest_disc_25","mammographic"
3,1.5,0.3334,6.71622035091769e-19,1,"Forest_disc_25","mammographic"
3,2.5,0.3147,6.71622035091769e-19,1,"Forest_disc_25","mammographic"
3,3.5,0.352,6.71622035091769e-19,1,"Forest_disc_25","mammographic"
4,1.7,0.245,7.69482875951023e-20,1,"Forest_disc_25","mammographic"
4,3.3,0.4494,7.69482875951023e-20,1,"Forest_disc_25","mammographic"
4,4.5,0.3056,7.69482875951023e-20,1,"Forest_disc_25","mammographic"
5,1.5,0.0687,3.12636722097269e-17,1,"Forest_disc_25","mammographic"
5,2.4,0.6341,3.12636722097269e-17,1,"Forest_disc_25","mammographic"
5,3.5,0.2971,3.12636722097269e-17,1,"Forest_disc_25","mammographic"
1,1,0.0856,4.49207828562434e-26,1,"Forest_disc_50","mammographic"
1,4.2,0.8938,4.49207828562434e-26,1,"Forest_disc_50","mammographic"
1,29.9,0.021,4.49207828562434e-26,1,"Forest_disc_50","mammographic"
2,28.5,0.0504,2.71175290695816e-23,1,"Forest_disc_50","mammographic"
2,50.8,0.6116,2.71175290695816e-23,1,"Forest_disc_50","mammographic"
2,73.5,0.3378,2.71175290695816e-23,1,"Forest_disc_50","mammographic"
3,1.5,0.3162,2.31884509868305e-20,1,"Forest_disc_50","mammographic"
3,2.5,0.3492,2.31884509868305e-20,1,"Forest_disc_50","mammographic"
3,3.5,0.3347,2.31884509868305e-20,1,"Forest_disc_50","mammographic"
4,1.7,0.2508,2.40253756411872e-19,1,"Forest_disc_50","mammographic"
4,3.3,0.4429,2.40253756411872e-19,1,"Forest_disc_50","mammographic"
4,4.5,0.3064,2.40253756411872e-19,1,"Forest_disc_50","mammographic"
5,1.5,0.0936,5.37993777070403e-18,1,"Forest_disc_50","mammographic"
5,2.5,0.5967,5.37993777070403e-18,1,"Forest_disc_50","mammographic"
5,3.5,0.3096,5.37993777070403e-18,1,"Forest_disc_50","mammographic"
1,1,0.0935,7.25612508075155e-26,1,"Forest_disc_75","mammographic"
1,4.2,0.8954,7.25612508075155e-26,1,"Forest_disc_75","mammographic"
1,29.8,0.0109,7.25612508075155e-26,1,"Forest_disc_75","mammographic"
2,28.5,0.0511,2.18534565812144e-23,1,"Forest_disc_75","mammographic"
2,51.3,0.6135,2.18534565812144e-23,1,"Forest_disc_75","mammographic"
2,74,0.3354,2.18534565812144e-23,1,"Forest_disc_75","mammographic"
3,1.5,0.3324,1.50488054264101e-18,1,"Forest_disc_75","mammographic"
3,2.5,0.3381,1.50488054264101e-18,1,"Forest_disc_75","mammographic"
3,3.5,0.3296,1.50488054264101e-18,1,"Forest_disc_75","mammographic"
4,1.7,0.2518,3.62169183144669e-19,1,"Forest_disc_75","mammographic"
4,3.3,0.4402,3.62169183144669e-19,1,"Forest_disc_75","mammographic"
4,4.5,0.3079,3.62169183144669e-19,1,"Forest_disc_75","mammographic"
5,1.5,0.1312,2.17988557837211e-22,1,"Forest_disc_75","mammographic"
5,2.5,0.6248,2.17988557837211e-22,1,"Forest_disc_75","mammographic"
5,3.5,0.2442,2.17988557837211e-22,1,"Forest_disc_75","mammographic"
1,1,0.0996,1.36644874971566e-25,1,"Forest_disc_100","mammographic"
1,4.2,0.8832,1.36644874971566e-25,1,"Forest_disc_100","mammographic"
1,29.9,0.0174,1.36644874971566e-25,1,"Forest_disc_100","mammographic"
2,28.5,0.0496,1.01684581205067e-23,1,"Forest_disc_100","mammographic"
2,51.2,0.6287,1.01684581205067e-23,1,"Forest_disc_100","mammographic"
2,73.6,0.3218,1.01684581205067e-23,1,"Forest_disc_100","mammographic"
3,1.5,0.3168,4.73043583861229e-19,1,"Forest_disc_100","mammographic"
3,2.5,0.3389,4.73043583861229e-19,1,"Forest_disc_100","mammographic"
3,3.5,0.3445,4.73043583861229e-19,1,"Forest_disc_100","mammographic"
4,1.7,0.2312,8.78562794203475e-21,1,"Forest_disc_100","mammographic"
4,3.3,0.4397,8.78562794203475e-21,1,"Forest_disc_100","mammographic"
4,4.5,0.329,8.78562794203475e-21,1,"Forest_disc_100","mammographic"
5,1.5,0.0885,2.93570985300517e-17,1,"Forest_disc_100","mammographic"
5,2.5,0.6429,2.93570985300517e-17,1,"Forest_disc_100","mammographic"
5,3.5,0.2687,2.93570985300517e-17,1,"Forest_disc_100","mammographic"
1,1,0.099,1.53600687916963e-25,1,"Forest_disc_125","mammographic"
1,4.2,0.8825,1.53600687916963e-25,1,"Forest_disc_125","mammographic"
1,29.9,0.0186,1.53600687916963e-25,1,"Forest_disc_125","mammographic"
2,27.5,0.0425,5.39666115363706e-24,1,"Forest_disc_125","mammographic"
2,50.8,0.6096,5.39666115363706e-24,1,"Forest_disc_125","mammographic"
2,73,0.3481,5.39666115363706e-24,1,"Forest_disc_125","mammographic"
3,1.5,0.3325,3.3969252550855e-18,1,"Forest_disc_125","mammographic"
3,2.5,0.3302,3.3969252550855e-18,1,"Forest_disc_125","mammographic"
3,3.5,0.3373,3.3969252550855e-18,1,"Forest_disc_125","mammographic"
4,1.6,0.1964,4.79012105661613e-19,1,"Forest_disc_125","mammographic"
4,3,0.4162,4.79012105661613e-19,1,"Forest_disc_125","mammographic"
4,4.4,0.3875,4.79012105661613e-19,1,"Forest_disc_125","mammographic"
5,1.5,0.082,6.57663517365402e-19,1,"Forest_disc_125","mammographic"
5,2.5,0.6463,6.57663517365402e-19,1,"Forest_disc_125","mammographic"
5,3.5,0.2719,6.57663517365402e-19,1,"Forest_disc_125","mammographic"
1,1,0.0928,1.59353043703149e-25,1,"Forest_disc_150","mammographic"
1,4.2,0.8906,1.59353043703149e-25,1,"Forest_disc_150","mammographic"
1,29.9,0.0166,1.59353043703149e-25,1,"Forest_disc_150","mammographic"
2,28.5,0.0508,2.10713987463135e-23,1,"Forest_disc_150","mammographic"
2,51,0.6062,2.10713987463135e-23,1,"Forest_disc_150","mammographic"
2,73.5,0.3431,2.10713987463135e-23,1,"Forest_disc_150","mammographic"
3,1.5,0.324,2.68769266557954e-19,1,"Forest_disc_150","mammographic"
3,2.5,0.3443,2.68769266557954e-19,1,"Forest_disc_150","mammographic"
3,3.5,0.332,2.68769266557954e-19,1,"Forest_disc_150","mammographic"
4,1.7,0.2648,1.44356994467161e-19,1,"Forest_disc_150","mammographic"
4,3.3,0.436,1.44356994467161e-19,1,"Forest_disc_150","mammographic"
4,4.5,0.2993,1.44356994467161e-19,1,"Forest_disc_150","mammographic"
5,1.5,0.1145,1.92494844738655e-17,1,"Forest_disc_150","mammographic"
5,2.5,0.619,1.92494844738655e-17,1,"Forest_disc_150","mammographic"
5,3.5,0.2664,1.92494844738655e-17,1,"Forest_disc_150","mammographic"
1,1,0.0909,7.33459224893953e-26,1,"Forest_disc_175","mammographic"
1,4.2,0.8935,7.33459224893953e-26,1,"Forest_disc_175","mammographic"
