"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
1,2,0.00102682651423451,1.1905,-2.9973,"NA","NA","NA","NA","NA","NA","NA","NA",0.6746,0.3254,"NA","NA","NA","NA","NA","NA","NA","NA",0.00102682651423451,2,1,"Forest_disc_25","banknote"
1,3,4.33600152659275e-23,0.08,-3.4326,"2.3809","NA","NA","NA","NA","NA","NA","NA",0.5674,0.2174,"0.2152","NA","NA","NA","NA","NA","NA","NA",4.33600152659275e-22,3,1,"Forest_disc_25","banknote"
1,4,3.93648115192249e-24,-1.3381,1.7207,"-4.4387","-4.4387","NA","NA","NA","NA","NA","NA",0.4602,0.4584,"0.0407","0.0407","NA","NA","NA","NA","NA","NA",3.93648115192249e-23,3,1,"Forest_disc_25","banknote"
1,5,1.18987441038082e-23,-0.5508,1.9757,"-3.7349","-3.7349","-3.7349","NA","NA","NA","NA","NA",0.4879,0.349,"0.0544","0.0544","0.0544","NA","NA","NA","NA","NA",1.18987441038082e-22,3,1,"Forest_disc_25","banknote"
1,6,4.53596081711403e-24,-0.1219,2.2137,"-3.5182","-3.5182","-3.5182","-3.5182","NA","NA","NA","NA",0.5356,0.2636,"0.0502","0.0502","0.0502","0.0502","NA","NA","NA","NA",4.53596081711403e-23,3,1,"Forest_disc_25","banknote"
1,7,1.16811874731498e-24,0.5169,3.0337,"-3.2583","-3.2583","-3.2583","-3.2583","-3.2583","NA","NA","NA",0.6464,0.1001,"0.0507","0.0507","0.0507","0.0507","0.0507","NA","NA","NA",1.16811874731498e-23,3,1,"Forest_disc_25","banknote"
1,8,1.83372254439233e-24,0.7308,3.7184,"-3.1659","-3.1659","-3.1659","-3.1659","-3.1659","-3.1659","NA","NA",0.6771,0.0492,"0.0456","0.0456","0.0456","0.0456","0.0456","0.0456","NA","NA",1.83372254439233e-23,3,1,"Forest_disc_25","banknote"
1,9,7.81283977071573e-24,-0.834,1.8671,"-3.923","-3.923","-3.923","-3.923","-3.923","-3.923","-3.923","NA",0.4706,0.3939,"0.0194","0.0194","0.0194","0.0194","0.0194","0.0194","0.0194","NA",7.81283977071573e-23,3,1,"Forest_disc_25","banknote"
1,10,9.26532023611263e-24,-0.5222,1.9883,"-3.7184","-3.7184","-3.7184","-3.7184","-3.7184","-3.7184","-3.7184","-3.7184",0.4903,0.344,"0.0207","0.0207","0.0207","0.0207","0.0207","0.0207","0.0207","0.0207",9.26532023611263e-23,3,1,"Forest_disc_25","banknote"
2,2,0.00162213998333708,6.2533,-3.4752,"NA","NA","NA","NA","NA","NA","NA","NA",0.5413,0.4587,"NA","NA","NA","NA","NA","NA","NA","NA",0.00162213998333708,2,1,"Forest_disc_25","banknote"
2,3,2.29323383373162e-24,-1.1579,6.7047,"-7.9865","NA","NA","NA","NA","NA","NA","NA",0.4783,0.446,"0.0757","NA","NA","NA","NA","NA","NA","NA",2.29323383373162e-23,3,1,"Forest_disc_25","banknote"
2,4,7.7474001110299e-26,-1.2527,6.6827,"-8.1648","-8.1648","NA","NA","NA","NA","NA","NA",0.4801,0.4498,"0.0351","0.0351","NA","NA","NA","NA","NA","NA",7.7474001110299e-25,3,1,"Forest_disc_25","banknote"
2,5,2.14323171867926e-24,-1.2882,6.6745,"-8.2352","-8.2352","-8.2352","NA","NA","NA","NA","NA",0.4807,0.4512,"0.0227","0.0227","0.0227","NA","NA","NA","NA","NA",2.14323171867926e-23,3,1,"Forest_disc_25","banknote"
2,6,2.1365454346611e-24,-1.292,6.6736,"-8.2429","-8.2429","-8.2429","-8.2429","NA","NA","NA","NA",0.4808,0.4514,"0.017","0.017","0.017","0.017","NA","NA","NA","NA",2.1365454346611e-23,3,1,"Forest_disc_25","banknote"
2,7,2.13456786508167e-24,-1.2947,6.673,"-8.2483","-8.2483","-8.2483","-8.2483","-8.2483","NA","NA","NA",0.4808,0.4515,"0.0135","0.0135","0.0135","0.0135","0.0135","NA","NA","NA",2.13456786508167e-23,3,1,"Forest_disc_25","banknote"
2,8,1.13188398134989e-24,-1.2967,6.6725,"-8.2524","-8.2524","-8.2524","-8.2524","-8.2524","-8.2524","NA","NA",0.4808,0.4516,"0.0113","0.0113","0.0113","0.0113","0.0113","0.0113","NA","NA",1.13188398134989e-23,3,1,"Forest_disc_25","banknote"
2,9,2.13221830583794e-24,-1.2978,6.6723,"-8.2547","-8.2547","-8.2547","-8.2547","-8.2547","-8.2547","-8.2547","NA",0.4809,0.4516,"0.0096","0.0096","0.0096","0.0096","0.0096","0.0096","0.0096","NA",2.13221830583794e-23,3,1,"Forest_disc_25","banknote"
2,10,2.03989999583352e-24,-1.2986,6.6721,"-8.2562","-8.2562","-8.2562","-8.2562","-8.2562","-8.2562","-8.2562","-8.2562",0.4809,0.4516,"0.0084","0.0084","0.0084","0.0084","0.0084","0.0084","0.0084","0.0084",2.03989999583352e-23,3,1,"Forest_disc_25","banknote"
3,2,0.000660761387265753,-1.69916,6.91278,"NA","NA","NA","NA","NA","NA","NA","NA",0.5654,0.4346,"NA","NA","NA","NA","NA","NA","NA","NA",0.000660761387265753,2,1,"Forest_disc_25","banknote"
3,3,6.13087493892857e-24,0.47523,7.37768,"-4.3256","NA","NA","NA","NA","NA","NA","NA",0.4758,0.3513,"0.173","NA","NA","NA","NA","NA","NA","NA",6.13087493892858e-23,3,1,"Forest_disc_25","banknote"
3,4,1.40995646605184e-23,0.2941,7.33679,"-4.51227","-4.51227","NA","NA","NA","NA","NA","NA",0.4871,0.3579,"0.0775","0.0775","NA","NA","NA","NA","NA","NA",1.40995646605184e-22,3,1,"Forest_disc_25","banknote"
3,5,5.84539392537087e-24,0.14768,7.30414,"-4.68561","-4.68561","-4.68561","NA","NA","NA","NA","NA",0.4967,0.3632,"0.0467","0.0467","0.0467","NA","NA","NA","NA","NA",5.84539392537087e-23,3,1,"Forest_disc_25","banknote"
3,6,1.11777278496471e-23,0.06986,7.28686,"-4.7875","-4.7875","-4.7875","-4.7875","NA","NA","NA","NA",0.5019,0.366,"0.033","0.033","0.033","0.033","NA","NA","NA","NA",1.11777278496471e-22,3,1,"Forest_disc_25","banknote"
3,7,1.17548357050688e-23,0.12482,7.29906,"-4.71479","-4.71479","-4.71479","-4.71479","-4.71479","NA","NA","NA",0.4982,0.364,"0.0276","0.0276","0.0276","0.0276","0.0276","NA","NA","NA",1.17548357050688e-22,3,1,"Forest_disc_25","banknote"
3,8,7.41925826861786e-24,0.04963,7.28237,"-4.81523","-4.81523","-4.81523","-4.81523","-4.81523","-4.81523","NA","NA",0.5033,0.3667,"0.0217","0.0217","0.0217","0.0217","0.0217","0.0217","NA","NA",7.41925826861786e-23,3,1,"Forest_disc_25","banknote"
3,9,6.31431378918233e-24,0.03705,7.27958,"-4.83274","-4.83274","-4.83274","-4.83274","-4.83274","-4.83274","-4.83274","NA",0.5041,0.3672,"0.0184","0.0184","0.0184","0.0184","0.0184","0.0184","0.0184","NA",6.31431378918233e-23,3,1,"Forest_disc_25","banknote"
3,10,2.87426451860331e-24,0.02028,7.27585,"-4.85643","-4.85643","-4.85643","-4.85643","-4.85643","-4.85643","-4.85643","-4.85643",0.5053,0.3678,"0.0159","0.0159","0.0159","0.0159","0.0159","0.0159","0.0159","0.0159",2.87426451860331e-23,3,1,"Forest_disc_25","banknote"
