"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
1,2,2.64380133806554e-10,98.3,132,NA,NA,NA,NA,NA,NA,NA,NA,0.7045,0.2955,NA,NA,NA,NA,NA,NA,NA,NA,2.64380133806554e-10,2,1,"Forest_disc_25","newthyroid"
1,3,3.6215986218429e-22,103.5,134.6,90.5,NA,NA,NA,NA,NA,NA,NA,0.5721,0.2343,0.1936,NA,NA,NA,NA,NA,NA,NA,3.6215986218429e-21,3,1,"Forest_disc_25","newthyroid"
1,4,1.84109342217695e-22,103.5,134.6,90.5,90.5,NA,NA,NA,NA,NA,NA,0.5721,0.2343,0.0968,0.0968,NA,NA,NA,NA,NA,NA,1.84109342217695e-21,3,1,"Forest_disc_25","newthyroid"
1,5,3.24636294796432e-22,103.5,134.6,90.5,90.5,90.5,NA,NA,NA,NA,NA,0.5722,0.2343,0.0645,0.0645,0.0645,NA,NA,NA,NA,NA,3.24636294796432e-21,3,1,"Forest_disc_25","newthyroid"
1,6,3.48716976965591e-22,103.5,134.6,90.5,90.5,90.5,90.5,NA,NA,NA,NA,0.5722,0.2343,0.0484,0.0484,0.0484,0.0484,NA,NA,NA,NA,3.48716976965591e-21,3,1,"Forest_disc_25","newthyroid"
1,7,1.9061414310578e-22,103.5,134.6,90.5,90.5,90.5,90.5,90.5,NA,NA,NA,0.5722,0.2343,0.0387,0.0387,0.0387,0.0387,0.0387,NA,NA,NA,1.9061414310578e-21,3,1,"Forest_disc_25","newthyroid"
1,8,2.14684292142979e-22,103.5,134.6,90.5,90.5,90.5,90.5,90.5,90.5,NA,NA,0.5722,0.2343,0.0322,0.0322,0.0322,0.0322,0.0322,0.0322,NA,NA,2.14684292142979e-21,3,1,"Forest_disc_25","newthyroid"
1,9,3.41043478906722e-22,103.5,134.6,90.5,90.5,90.5,90.5,90.5,90.5,90.5,NA,0.5723,0.2343,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,NA,3.41043478906722e-21,3,1,"Forest_disc_25","newthyroid"
1,10,2.78375454645556e-22,103.5,134.6,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,0.5723,0.2344,0.0242,0.0242,0.0242,0.0242,0.0242,0.0242,0.0242,0.0242,2.78375454645556e-21,3,1,"Forest_disc_25","newthyroid"
2,2,2.79467753806931e-07,14.32,6.31,NA,NA,NA,NA,NA,NA,NA,NA,0.5016,0.4984,NA,NA,NA,NA,NA,NA,NA,NA,2.79467753806931e-07,2,1,"Forest_disc_25","newthyroid"
2,3,1.17122776371532e-21,8.74,14.98,3.91,NA,NA,NA,NA,NA,NA,NA,0.4537,0.3815,0.1648,NA,NA,NA,NA,NA,NA,NA,1.17122776371532e-20,3,1,"Forest_disc_25","newthyroid"
2,4,1.16160560190183e-21,8.73,14.98,3.9,3.9,NA,NA,NA,NA,NA,NA,0.454,0.3818,0.0821,0.0821,NA,NA,NA,NA,NA,NA,1.16160560190183e-20,3,1,"Forest_disc_25","newthyroid"
2,5,1.15428584141116e-21,8.73,14.98,3.9,3.9,3.9,NA,NA,NA,NA,NA,0.4543,0.382,0.0546,0.0546,0.0546,NA,NA,NA,NA,NA,1.15428584141116e-20,3,1,"Forest_disc_25","newthyroid"
2,6,9.77830422424055e-22,8.72,14.98,3.89,3.89,3.89,3.89,NA,NA,NA,NA,0.4545,0.3822,0.0408,0.0408,0.0408,0.0408,NA,NA,NA,NA,9.77830422424055e-21,3,1,"Forest_disc_25","newthyroid"
2,7,1.1422880258812e-21,8.72,14.98,3.89,3.89,3.89,3.89,3.89,NA,NA,NA,0.4547,0.3824,0.0326,0.0326,0.0326,0.0326,0.0326,NA,NA,NA,1.1422880258812e-20,3,1,"Forest_disc_25","newthyroid"
2,8,1.0805119307256e-21,8.71,14.98,3.89,3.89,3.89,3.89,3.89,3.89,NA,NA,0.4548,0.3826,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,NA,NA,1.0805119307256e-20,3,1,"Forest_disc_25","newthyroid"
2,9,1.12995798062978e-21,8.71,14.98,3.88,3.88,3.88,3.88,3.88,3.88,3.88,NA,0.455,0.3827,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,0.0232,NA,1.12995798062978e-20,3,1,"Forest_disc_25","newthyroid"
2,10,1.09523832068808e-21,8.71,14.98,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,0.4551,0.3828,0.0203,0.0203,0.0203,0.0203,0.0203,0.0203,0.0203,0.0203,1.09523832068808e-20,3,1,"Forest_disc_25","newthyroid"
3,2,1.09405193782586e-06,2.66,0.95,NA,NA,NA,NA,NA,NA,NA,NA,0.5208,0.4792,NA,NA,NA,NA,NA,NA,NA,NA,1.09405193782586e-06,2,1,"Forest_disc_25","newthyroid"
3,3,3.05852815113246e-18,2.83,1.87,0.72,NA,NA,NA,NA,NA,NA,NA,0.3471,0.335,0.3179,NA,NA,NA,NA,NA,NA,NA,3.05852815113246e-17,3,1,"Forest_disc_25","newthyroid"
3,4,1.1135037236332e-17,2.8,1.77,0.7,0.7,NA,NA,NA,NA,NA,NA,0.376,0.3276,0.1482,0.1482,NA,NA,NA,NA,NA,NA,1.1135037236332e-16,3,1,"Forest_disc_25","newthyroid"
3,5,1.48060135332295e-17,2.81,1.81,0.71,0.71,0.71,NA,NA,NA,NA,NA,0.3654,0.3293,0.1018,0.1018,0.1018,NA,NA,NA,NA,NA,1.48060135332295e-16,3,1,"Forest_disc_25","newthyroid"
3,6,7.19022248685634e-18,2.81,1.79,0.7,0.7,0.7,0.7,NA,NA,NA,NA,0.3716,0.3281,0.0751,0.0751,0.0751,0.0751,NA,NA,NA,NA,7.19022248685634e-17,3,1,"Forest_disc_25","newthyroid"
3,7,8.23553381494569e-18,2.8,1.76,0.7,0.7,0.7,0.7,0.7,NA,NA,NA,0.3783,0.3274,0.0588,0.0588,0.0588,0.0588,0.0588,NA,NA,NA,8.23553381494569e-17,3,1,"Forest_disc_25","newthyroid"
3,8,4.97465725160914e-18,2.79,1.74,0.69,0.69,0.69,0.69,0.69,0.69,NA,NA,0.3837,0.3273,0.0482,0.0482,0.0482,0.0482,0.0482,0.0482,NA,NA,4.97465725160914e-17,3,1,"Forest_disc_25","newthyroid"
3,9,5.03113083760589e-18,2.79,1.72,0.68,0.68,0.68,0.68,0.68,0.68,0.68,NA,0.3874,0.3276,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,0.0407,NA,5.03113083760589e-17,3,1,"Forest_disc_25","newthyroid"
3,10,7.08084623790395e-20,2.79,1.71,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.3898,0.3279,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,7.08084623790395e-19,3,1,"Forest_disc_25","newthyroid"
4,2,4.18258885957867e-06,2.3,10.29,NA,NA,NA,NA,NA,NA,NA,NA,0.8957,0.1043,NA,NA,NA,NA,NA,NA,NA,NA,4.18258885957867e-06,2,1,"Forest_disc_25","newthyroid"
4,3,1.18751703960478e-23,3.58,0.49,12.35,NA,NA,NA,NA,NA,NA,NA,0.6721,0.2802,0.0477,NA,NA,NA,NA,NA,NA,NA,1.18751703960478e-22,3,1,"Forest_disc_25","newthyroid"
4,4,1.51271693958261e-23,3.45,0.3,0.3,12.23,NA,NA,NA,NA,NA,NA,0.7085,0.1207,0.1207,0.0501,NA,NA,NA,NA,NA,NA,1.51271693958261e-22,3,1,"Forest_disc_25","newthyroid"
4,5,1.34953777824112e-23,3.44,0.28,0.28,0.28,12.21,NA,NA,NA,NA,NA,0.7135,0.0787,0.0787,0.0787,0.0504,NA,NA,NA,NA,NA,1.34953777824112e-22,3,1,"Forest_disc_25","newthyroid"
4,6,1.49174394821332e-23,3.43,0.27,0.27,0.27,0.27,12.21,NA,NA,NA,NA,0.7151,0.0586,0.0586,0.0586,0.0586,0.0505,NA,NA,NA,NA,1.49174394821332e-22,3,1,"Forest_disc_25","newthyroid"
4,7,1.43659644490519e-23,3.43,12.2,0.26,0.26,0.26,0.26,0.26,NA,NA,NA,0.7157,0.0506,0.0467,0.0467,0.0467,0.0467,0.0467,NA,NA,NA,1.43659644490519e-22,3,1,"Forest_disc_25","newthyroid"
4,8,1.48805083564468e-23,3.43,12.2,0.26,0.26,0.26,0.26,0.26,0.26,NA,NA,0.7159,0.0506,0.0389,0.0389,0.0389,0.0389,0.0389,0.0389,NA,NA,1.48805083564468e-22,3,1,"Forest_disc_25","newthyroid"
4,9,1.46916413674617e-23,3.43,12.2,0.26,0.26,0.26,0.26,0.26,0.26,0.26,NA,0.7167,0.0506,0.0332,0.0332,0.0332,0.0332,0.0332,0.0332,0.0332,NA,1.46916413674617e-22,3,1,"Forest_disc_25","newthyroid"
4,10,1.43597936954785e-23,3.43,12.2,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.7168,0.0506,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,0.0291,1.43597936954785e-22,3,1,"Forest_disc_25","newthyroid"
5,2,5.21045326781611e-06,2.61,16.68,NA,NA,NA,NA,NA,NA,NA,NA,0.9152,0.0848,NA,NA,NA,NA,NA,NA,NA,NA,5.21045326781611e-06,2,1,"Forest_disc_25","newthyroid"
5,3,6.13482012530725e-25,4.93,-0.05,20.81,NA,NA,NA,NA,NA,NA,NA,0.6283,0.3369,0.0348,NA,NA,NA,NA,NA,NA,NA,6.13482012530725e-24,3,1,"Forest_disc_25","newthyroid"
5,4,6.66417152052543e-25,4.91,-0.07,-0.07,20.79,NA,NA,NA,NA,NA,NA,0.6313,0.1669,0.1669,0.0349,NA,NA,NA,NA,NA,NA,6.66417152052543e-24,3,1,"Forest_disc_25","newthyroid"
5,5,6.64048733782153e-25,4.9,-0.09,-0.09,-0.09,20.77,NA,NA,NA,NA,NA,0.634,0.1103,0.1103,0.1103,0.0351,NA,NA,NA,NA,NA,6.64048733782153e-24,3,1,"Forest_disc_25","newthyroid"
5,6,3.65868268286626e-25,4.88,-0.1,-0.1,-0.1,-0.1,20.76,NA,NA,NA,NA,0.6363,0.0821,0.0821,0.0821,0.0821,0.0352,NA,NA,NA,NA,3.65868268286626e-24,3,1,"Forest_disc_25","newthyroid"
5,7,6.53261607778374e-25,4.87,-0.12,-0.12,-0.12,-0.12,-0.12,20.75,NA,NA,NA,0.6384,0.0653,0.0653,0.0653,0.0653,0.0653,0.0353,NA,NA,NA,6.53261607778374e-24,3,1,"Forest_disc_25","newthyroid"
5,8,6.50550381155505e-25,4.86,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,20.74,NA,NA,0.6401,0.0541,0.0541,0.0541,0.0541,0.0541,0.0541,0.0354,NA,NA,6.50550381155505e-24,3,1,"Forest_disc_25","newthyroid"
5,9,5.97775347898419e-25,4.85,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,-0.14,20.73,NA,0.6417,0.0461,0.0461,0.0461,0.0461,0.0461,0.0461,0.0461,0.0354,NA,5.97775347898419e-24,3,1,"Forest_disc_25","newthyroid"
5,10,6.42028595595069e-25,4.85,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,20.72,0.643,0.0402,0.0402,0.0402,0.0402,0.0402,0.0402,0.0402,0.0402,0.0355,6.42028595595069e-24,3,1,"Forest_disc_25","newthyroid"
1,2,1.4506404319278e-10,97.9,122.4,NA,NA,NA,NA,NA,NA,NA,NA,0.7785,0.2215,NA,NA,NA,NA,NA,NA,NA,NA,1.4506404319278e-10,2,1,"Forest_disc_50","newthyroid"
1,3,6.53191496292123e-22,102.3,88.5,128.3,NA,NA,NA,NA,NA,NA,NA,0.7405,0.1442,0.1153,NA,NA,NA,NA,NA,NA,NA,6.53191496292123e-21,3,1,"Forest_disc_50","newthyroid"
1,4,6.57936247735401e-22,102.3,128.3,88.5,88.5,NA,NA,NA,NA,NA,NA,0.7405,0.1153,0.0721,0.0721,NA,NA,NA,NA,NA,NA,6.57936247735401e-21,3,1,"Forest_disc_50","newthyroid"
1,5,6.60678190457798e-22,102.3,128.3,88.5,88.5,88.5,NA,NA,NA,NA,NA,0.7405,0.1153,0.0481,0.0481,0.0481,NA,NA,NA,NA,NA,6.60678190457798e-21,3,1,"Forest_disc_50","newthyroid"
1,6,5.1435173118998e-22,102.3,128.3,88.5,88.5,88.5,88.5,NA,NA,NA,NA,0.7406,0.1153,0.036,0.036,0.036,0.036,NA,NA,NA,NA,5.1435173118998e-21,3,1,"Forest_disc_50","newthyroid"
