"var","Split","freq","opt_value","iter","forest","name"
1,1.5,0.6468,7.41339036848167e-33,1,"Forest_disc_25","pageblocks"
1,54.2,0.3411,7.41339036848167e-33,1,"Forest_disc_25","pageblocks"
1,476.5,0.012,7.41339036848167e-33,1,"Forest_disc_25","pageblocks"
2,1.5,0.5974,1.06598797304894e-31,1,"Forest_disc_25","pageblocks"
2,93.6,0.3414,1.06598797304894e-31,1,"Forest_disc_25","pageblocks"
2,440.2,0.0612,1.06598797304894e-31,1,"Forest_disc_25","pageblocks"
3,7.5,0.8496,4.15300315448319e-36,1,"Forest_disc_25","pageblocks"
3,12477.1,0.1367,4.15300315448319e-36,1,"Forest_disc_25","pageblocks"
3,42662.8,0.0136,4.15300315448319e-36,1,"Forest_disc_25","pageblocks"
4,0.0507,0.6528,8.42591649936192e-31,1,"Forest_disc_25","pageblocks"
4,28.5104,0.3351,8.42591649936192e-31,1,"Forest_disc_25","pageblocks"
4,145.4353,0.0122,8.42591649936192e-31,1,"Forest_disc_25","pageblocks"
5,0.0581,0.1086,8.60745919231787e-19,1,"Forest_disc_25","pageblocks"
5,0.3257,0.6156,8.60745919231787e-19,1,"Forest_disc_25","pageblocks"
5,0.8414,0.2757,8.60745919231787e-19,1,"Forest_disc_25","pageblocks"
6,0.2296,0.2555,3.92889961920413e-18,1,"Forest_disc_25","pageblocks"
6,0.5814,0.5439,3.92889961920413e-18,1,"Forest_disc_25","pageblocks"
6,0.9423,0.2005,3.92889961920413e-18,1,"Forest_disc_25","pageblocks"
7,1.07,0.6691,2.26147275876157e-31,1,"Forest_disc_25","pageblocks"
7,25.811,0.3161,2.26147275876157e-31,1,"Forest_disc_25","pageblocks"
7,196.017,0.0148,2.26147275876157e-31,1,"Forest_disc_25","pageblocks"
8,7.5,0.8848,5.63325417090713e-36,1,"Forest_disc_25","pageblocks"
8,4410.6,0.0963,5.63325417090713e-36,1,"Forest_disc_25","pageblocks"
8,16012.3,0.0189,5.63325417090713e-36,1,"Forest_disc_25","pageblocks"
9,7.5,0.8332,1.02982376401807e-33,1,"Forest_disc_25","pageblocks"
9,8863.3,0.1395,1.02982376401807e-33,1,"Forest_disc_25","pageblocks"
9,25253.8,0.0272,1.02982376401807e-33,1,"Forest_disc_25","pageblocks"
10,1.5,0.7735,2.44715785223305e-33,1,"Forest_disc_25","pageblocks"
10,243.4,0.1808,2.44715785223305e-33,1,"Forest_disc_25","pageblocks"
10,1101.4,0.0457,2.44715785223305e-33,1,"Forest_disc_25","pageblocks"
1,1.5,0.6248,7.36997548792821e-32,1,"Forest_disc_50","pageblocks"
1,58.9,0.3638,7.36997548792821e-32,1,"Forest_disc_50","pageblocks"
1,395.4,0.0115,7.36997548792821e-32,1,"Forest_disc_50","pageblocks"
2,1.5,0.5929,5.97899135705606e-31,1,"Forest_disc_50","pageblocks"
2,91.1,0.3496,5.97899135705606e-31,1,"Forest_disc_50","pageblocks"
2,442.7,0.0575,5.97899135705606e-31,1,"Forest_disc_50","pageblocks"
3,7.5,0.836,5.5176926031724e-36,1,"Forest_disc_50","pageblocks"
3,15415.8,0.1593,5.5176926031724e-36,1,"Forest_disc_50","pageblocks"
3,98676,0.0048,5.5176926031724e-36,1,"Forest_disc_50","pageblocks"
4,0.0763,0.6321,8.10869533312929e-30,1,"Forest_disc_50","pageblocks"
4,17.0135,0.3416,8.10869533312929e-30,1,"Forest_disc_50","pageblocks"
4,90.4944,0.0261,8.10869533312929e-30,1,"Forest_disc_50","pageblocks"
5,0.0669,0.1464,3.52717650437865e-19,1,"Forest_disc_50","pageblocks"
5,0.3204,0.6456,3.52717650437865e-19,1,"Forest_disc_50","pageblocks"
5,0.8576,0.208,3.52717650437865e-19,1,"Forest_disc_50","pageblocks"
6,0.2116,0.2279,1.5237965318093e-18,1,"Forest_disc_50","pageblocks"
6,0.57,0.5765,1.5237965318093e-18,1,"Forest_disc_50","pageblocks"
6,0.9103,0.1955,1.5237965318093e-18,1,"Forest_disc_50","pageblocks"
7,1.052,0.633,1.88323037208696e-30,1,"Forest_disc_50","pageblocks"
7,22.797,0.3537,1.88323037208696e-30,1,"Forest_disc_50","pageblocks"
7,182.88,0.0134,1.88323037208696e-30,1,"Forest_disc_50","pageblocks"
8,7.5,0.861,1.01403688687969e-35,1,"Forest_disc_50","pageblocks"
8,3679.8,0.0958,1.01403688687969e-35,1,"Forest_disc_50","pageblocks"
8,13508.4,0.0436,1.01403688687969e-35,1,"Forest_disc_50","pageblocks"
9,7.5,0.8772,1.02217020710763e-36,1,"Forest_disc_50","pageblocks"
9,7143.7,0.111,1.02217020710763e-36,1,"Forest_disc_50","pageblocks"
9,23003.2,0.0115,1.02217020710763e-36,1,"Forest_disc_50","pageblocks"
10,1.5,0.759,1.47126817396846e-34,1,"Forest_disc_50","pageblocks"
10,177.3,0.1852,1.47126817396846e-34,1,"Forest_disc_50","pageblocks"
10,973.1,0.056,1.47126817396846e-34,1,"Forest_disc_50","pageblocks"
1,1.5,0.5672,7.05486729580077e-31,1,"Forest_disc_75","pageblocks"
1,44.2,0.4176,7.05486729580077e-31,1,"Forest_disc_75","pageblocks"
1,266.6,0.0152,7.05486729580077e-31,1,"Forest_disc_75","pageblocks"
2,1.5,0.588,8.55140145222084e-33,1,"Forest_disc_75","pageblocks"
2,85.2,0.3527,8.55140145222084e-33,1,"Forest_disc_75","pageblocks"
2,442,0.0593,8.55140145222084e-33,1,"Forest_disc_75","pageblocks"
3,7.5,0.8347,6.88755501216187e-36,1,"Forest_disc_75","pageblocks"
3,14665.6,0.1583,6.88755501216187e-36,1,"Forest_disc_75","pageblocks"
3,56961.6,0.0071,6.88755501216187e-36,1,"Forest_disc_75","pageblocks"
4,0.0533,0.7406,5.50296063203634e-31,1,"Forest_disc_75","pageblocks"
4,32.1749,0.2493,5.50296063203634e-31,1,"Forest_disc_75","pageblocks"
4,228.8372,0.0099,5.50296063203634e-31,1,"Forest_disc_75","pageblocks"
5,0.0547,0.1166,8.54927274193035e-20,1,"Forest_disc_75","pageblocks"
5,0.3263,0.6451,8.54927274193035e-20,1,"Forest_disc_75","pageblocks"
5,0.8532,0.2384,8.54927274193035e-20,1,"Forest_disc_75","pageblocks"
6,0.2,0.1975,2.29393818592524e-19,1,"Forest_disc_75","pageblocks"
6,0.5568,0.5881,2.29393818592524e-19,1,"Forest_disc_75","pageblocks"
6,0.9278,0.2141,2.29393818592524e-19,1,"Forest_disc_75","pageblocks"
7,1.046,0.616,7.89341019029341e-32,1,"Forest_disc_75","pageblocks"
7,22.558,0.3731,7.89341019029341e-32,1,"Forest_disc_75","pageblocks"
7,178.829,0.0108,7.89341019029341e-32,1,"Forest_disc_75","pageblocks"
8,7.5,0.8638,6.12449703651933e-36,1,"Forest_disc_75","pageblocks"
8,3945.1,0.1077,6.12449703651933e-36,1,"Forest_disc_75","pageblocks"
8,14247.4,0.0285,6.12449703651933e-36,1,"Forest_disc_75","pageblocks"
9,7.5,0.8576,1.29633828882464e-35,1,"Forest_disc_75","pageblocks"
9,5846.1,0.1186,1.29633828882464e-35,1,"Forest_disc_75","pageblocks"
9,20274.7,0.024,1.29633828882464e-35,1,"Forest_disc_75","pageblocks"
10,1.5,0.8418,1.21962388652718e-35,1,"Forest_disc_75","pageblocks"
10,448.1,0.1455,1.21962388652718e-35,1,"Forest_disc_75","pageblocks"
10,1704.9,0.0126,1.21962388652718e-35,1,"Forest_disc_75","pageblocks"
1,1.5,0.6216,7.6784458678739e-32,1,"Forest_disc_100","pageblocks"
1,56.2,0.3699,7.6784458678739e-32,1,"Forest_disc_100","pageblocks"
1,444.4,0.0082,7.6784458678739e-32,1,"Forest_disc_100","pageblocks"
2,1.5,0.594,1.73800896015959e-31,1,"Forest_disc_100","pageblocks"
2,92.9,0.344,1.73800896015959e-31,1,"Forest_disc_100","pageblocks"
2,463.5,0.062,1.73800896015959e-31,1,"Forest_disc_100","pageblocks"
3,7.5,0.8364,4.30236696413399e-36,1,"Forest_disc_100","pageblocks"
3,13176.2,0.1461,4.30236696413399e-36,1,"Forest_disc_100","pageblocks"
3,44866.4,0.0177,4.30236696413399e-36,1,"Forest_disc_100","pageblocks"
4,0.049,0.6756,1.94929415275823e-30,1,"Forest_disc_100","pageblocks"
4,26.3242,0.3079,1.94929415275823e-30,1,"Forest_disc_100","pageblocks"
4,129.2985,0.0164,1.94929415275823e-30,1,"Forest_disc_100","pageblocks"
5,0.0599,0.143,5.27720268762345e-19,1,"Forest_disc_100","pageblocks"
5,0.3178,0.6232,5.27720268762345e-19,1,"Forest_disc_100","pageblocks"
5,0.857,0.2339,5.27720268762345e-19,1,"Forest_disc_100","pageblocks"
6,0.1658,0.1533,3.47764321224094e-18,1,"Forest_disc_100","pageblocks"
6,0.5224,0.5977,3.47764321224094e-18,1,"Forest_disc_100","pageblocks"
6,0.8843,0.2488,3.47764321224094e-18,1,"Forest_disc_100","pageblocks"
7,1.048,0.6315,3.18276046462639e-31,1,"Forest_disc_100","pageblocks"
7,22.681,0.3555,3.18276046462639e-31,1,"Forest_disc_100","pageblocks"
7,176.496,0.0129,3.18276046462639e-31,1,"Forest_disc_100","pageblocks"
8,7.5,0.8582,5.3238681605365e-36,1,"Forest_disc_100","pageblocks"
8,4510.5,0.1126,5.3238681605365e-36,1,"Forest_disc_100","pageblocks"
8,15501.1,0.029,5.3238681605365e-36,1,"Forest_disc_100","pageblocks"
9,7.5,0.8568,1.02531846775494e-36,1,"Forest_disc_100","pageblocks"
9,5813.2,0.1142,1.02531846775494e-36,1,"Forest_disc_100","pageblocks"
9,18796.4,0.029,1.02531846775494e-36,1,"Forest_disc_100","pageblocks"
10,1.5,0.8141,1.90998115947385e-35,1,"Forest_disc_100","pageblocks"
10,389.5,0.151,1.90998115947385e-35,1,"Forest_disc_100","pageblocks"
10,1373,0.0352,1.90998115947385e-35,1,"Forest_disc_100","pageblocks"
1,1.5,0.591,1.49504037529897e-32,1,"Forest_disc_125","pageblocks"
1,51.1,0.4016,1.49504037529897e-32,1,"Forest_disc_125","pageblocks"
1,393.8,0.0074,1.49504037529897e-32,1,"Forest_disc_125","pageblocks"
2,1.5,0.5934,6.4817344085404e-33,1,"Forest_disc_125","pageblocks"
2,91.8,0.3518,6.4817344085404e-33,1,"Forest_disc_125","pageblocks"
2,449.5,0.0549,6.4817344085404e-33,1,"Forest_disc_125","pageblocks"
3,7.5,0.8478,3.30434329959675e-36,1,"Forest_disc_125","pageblocks"
3,14362.1,0.1463,3.30434329959675e-36,1,"Forest_disc_125","pageblocks"
3,66170.4,0.0056,3.30434329959675e-36,1,"Forest_disc_125","pageblocks"
4,0.0448,0.7148,1.52529807446234e-31,1,"Forest_disc_125","pageblocks"
4,32.0513,0.2782,1.52529807446234e-31,1,"Forest_disc_125","pageblocks"
4,201.9536,0.007,1.52529807446234e-31,1,"Forest_disc_125","pageblocks"
5,0.072,0.1515,4.90556504396033e-19,1,"Forest_disc_125","pageblocks"
5,0.3313,0.6058,4.90556504396033e-19,1,"Forest_disc_125","pageblocks"
5,0.8501,0.2427,4.90556504396033e-19,1,"Forest_disc_125","pageblocks"
6,0.1764,0.1626,8.25500383357298e-19,1,"Forest_disc_125","pageblocks"
6,0.5233,0.5992,8.25500383357298e-19,1,"Forest_disc_125","pageblocks"
6,0.8948,0.2378,8.25500383357298e-19,1,"Forest_disc_125","pageblocks"
7,1.043,0.6104,2.13845954956583e-31,1,"Forest_disc_125","pageblocks"
7,23.153,0.378,2.13845954956583e-31,1,"Forest_disc_125","pageblocks"
7,161.97,0.0116,2.13845954956583e-31,1,"Forest_disc_125","pageblocks"
8,7.5,0.8496,9.53153291097018e-35,1,"Forest_disc_125","pageblocks"
8,3990.9,0.1193,9.53153291097018e-35,1,"Forest_disc_125","pageblocks"
8,14215.3,0.031,9.53153291097018e-35,1,"Forest_disc_125","pageblocks"
9,7.5,0.8684,9.6048884619031e-36,1,"Forest_disc_125","pageblocks"
9,5869.3,0.1109,9.6048884619031e-36,1,"Forest_disc_125","pageblocks"
9,20955.1,0.0209,9.6048884619031e-36,1,"Forest_disc_125","pageblocks"
10,1.5,0.7985,2.97924066200029e-35,1,"Forest_disc_125","pageblocks"
10,237.8,0.1683,2.97924066200029e-35,1,"Forest_disc_125","pageblocks"
10,1076.9,0.0332,2.97924066200029e-35,1,"Forest_disc_125","pageblocks"
1,1.5,0.5964,1.53208745010342e-31,1,"Forest_disc_150","pageblocks"
1,49.8,0.3928,1.53208745010342e-31,1,"Forest_disc_150","pageblocks"
1,366.7,0.0107,1.53208745010342e-31,1,"Forest_disc_150","pageblocks"
2,1.5,0.5949,9.19819298742613e-32,1,"Forest_disc_150","pageblocks"
2,96.3,0.3381,9.19819298742613e-32,1,"Forest_disc_150","pageblocks"
2,447.7,0.0669,9.19819298742613e-32,1,"Forest_disc_150","pageblocks"
3,7.5,0.842,1.78005949377108e-36,1,"Forest_disc_150","pageblocks"
3,13889.5,0.148,1.78005949377108e-36,1,"Forest_disc_150","pageblocks"
3,55755.7,0.01,1.78005949377108e-36,1,"Forest_disc_150","pageblocks"
4,0.0474,0.7231,1.18294100521587e-30,1,"Forest_disc_150","pageblocks"
4,34.2385,0.2689,1.18294100521587e-30,1,"Forest_disc_150","pageblocks"
4,217.5875,0.0081,1.18294100521587e-30,1,"Forest_disc_150","pageblocks"
5,0.0535,0.1242,2.68302559808577e-18,1,"Forest_disc_150","pageblocks"
5,0.3248,0.6372,2.68302559808577e-18,1,"Forest_disc_150","pageblocks"
