"accuracy","macroPrecision","macroRecall","macroF1","kappa","kappa_w","data","class_method","inconsistency","disc_method","NB_interval","exe_time","iter","modif_nb_inter","name","exetimepervar"
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,1,NA,"Penbased",0
0.991212121212121,0.991450845183996,0.99128215504318,0.99135798313849,0.990233850799773,0.991107511272153,"test","RF",0,"cont",NA,0,1,NA,"Penbased",0
0.833463338533541,0.839809376427048,0.832639126679132,0.832955199728104,0.814925873257931,0.81770801366983,"train","CART",0,"cont",NA,0,1,NA,"Penbased",0
0.832727272727273,0.839886110011285,0.831893388270135,0.83248170730016,0.814106401430164,0.813527203564458,"test","CART",0,"cont",NA,0,1,NA,"Penbased",0
0.81721268850754,0.820287617683174,0.816290009170211,0.816431598134873,0.796864551461603,0.937926727649015,"train","Boosting",0,"cont",NA,0,1,NA,"Penbased",0
0.75030303030303,0.754280579983073,0.74886278982075,0.748490924681108,0.722488985592737,0.902922303314021,"test","Boosting",0,"cont",NA,0,1,NA,"Penbased",0
0.995579823192928,0.995604289251158,0.995550657221837,0.995570574510048,0.995087782632391,0.996655017910557,"train","SVM",0,"cont",NA,0,1,NA,"Penbased",0
0.994848484848485,0.994910879618357,0.994876346212212,0.994888438490015,0.994275091935288,0.995232205220113,"test","SVM",0,"cont",NA,0,1,NA,"Penbased",0
0.856214248569943,0.861683419744473,0.855071694570192,0.851772137990008,0.840203254102509,0.844929029990749,"train","NaiveBayes",0,"cont",NA,0,1,NA,"Penbased",0
0.86,0.867623483455643,0.858491138681701,0.855561371313489,0.844405645076683,0.846704143164844,"test","NaiveBayes",0,"cont",NA,0,1,NA,"Penbased",0
0.997269890795632,0.997262445255357,0.997238977461781,0.997249157008009,0.996965990570965,0.997325029340468,"train","KNN_Class",0,"cont",NA,0,1,NA,"Penbased",0
0.995757575757576,0.995758633842592,0.995870542899449,0.995807298650702,0.995285444882565,0.995965976624557,"test","KNN_Class",0,"cont",NA,0,1,NA,"Penbased",0
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,2,NA,"Penbased",0
0.991212121212121,0.99157217079356,0.99128215504318,0.991333163815468,0.990233876712133,0.993485028634731,"test","RF",0,"cont",NA,0,2,NA,"Penbased",0
0.826703068122725,0.830508893391708,0.827001633715705,0.826670247714857,0.807453658406142,0.808268231629273,"train","CART",0,"cont",NA,0,2,NA,"Penbased",0
0.81,0.815072097827715,0.810170972399776,0.809506163941366,0.788888328853847,0.785676288811967,"test","CART",0,"cont",NA,0,2,NA,"Penbased",0
