"var","Split","freq","opt_value","iter","forest","name"
1,51,0.0387,2.75169878918391e-30,1,"Forest_disc_NLD50","sat"
1,53.4,0.0611,2.75169878918391e-30,1,"Forest_disc_NLD50","sat"
1,69.4,0.5295,2.75169878918391e-30,1,"Forest_disc_NLD50","sat"
1,85.4,0.3707,2.75169878918391e-30,1,"Forest_disc_NLD50","sat"
2,53.8,0.1717,2.41036571759447e-31,1,"Forest_disc_NLD50","sat"
2,69,0.0346,2.41036571759447e-31,1,"Forest_disc_NLD50","sat"
2,84.6,0.5032,2.41036571759447e-31,1,"Forest_disc_NLD50","sat"
2,89.1,0.0495,2.41036571759447e-31,1,"Forest_disc_NLD50","sat"
2,102.1,0.0254,2.41036571759447e-31,1,"Forest_disc_NLD50","sat"
2,107.2,0.0714,2.41036571759447e-31,1,"Forest_disc_NLD50","sat"
2,108.5,0.0718,2.41036571759447e-31,1,"Forest_disc_NLD50","sat"
2,111.9,0.0724,2.41036571759447e-31,1,"Forest_disc_NLD50","sat"
3,66.5,0.0479,8.53572151352423e-31,1,"Forest_disc_NLD50","sat"
3,89.2,0.5693,8.53572151352423e-31,1,"Forest_disc_NLD50","sat"
3,111.5,0.3828,8.53572151352423e-31,1,"Forest_disc_NLD50","sat"
4,52.5,0.0529,3.22131088818987e-32,1,"Forest_disc_NLD50","sat"
4,74.5,0.7185,3.22131088818987e-32,1,"Forest_disc_NLD50","sat"
4,88.1,0.1204,3.22131088818987e-32,1,"Forest_disc_NLD50","sat"
4,94.3,0.0461,3.22131088818987e-32,1,"Forest_disc_NLD50","sat"
4,107.7,0.0622,3.22131088818987e-32,1,"Forest_disc_NLD50","sat"
5,52.3,0.1139,7.37437655054157e-12,1,"Forest_disc_NLD50","sat"
5,66.6,0.3523,7.37437655054157e-12,1,"Forest_disc_NLD50","sat"
5,71.6,0.2099,7.37437655054157e-12,1,"Forest_disc_NLD50","sat"
5,85.5,0.3239,7.37437655054157e-12,1,"Forest_disc_NLD50","sat"
6,56.9,0.2074,2.45548982347372e-32,1,"Forest_disc_NLD50","sat"
6,64.5,0.0107,2.45548982347372e-32,1,"Forest_disc_NLD50","sat"
6,83.3,0.5308,2.45548982347372e-32,1,"Forest_disc_NLD50","sat"
6,103.7,0.0963,2.45548982347372e-32,1,"Forest_disc_NLD50","sat"
6,106.8,0.0985,2.45548982347372e-32,1,"Forest_disc_NLD50","sat"
6,113.2,0.0563,2.45548982347372e-32,1,"Forest_disc_NLD50","sat"
7,65.5,0.0251,3.08815358373195e-30,1,"Forest_disc_NLD50","sat"
7,88.7,0.5711,3.08815358373195e-30,1,"Forest_disc_NLD50","sat"
7,88.9,0.015,3.08815358373195e-30,1,"Forest_disc_NLD50","sat"
7,103.4,0.0813,3.08815358373195e-30,1,"Forest_disc_NLD50","sat"
7,107.6,1e-04,3.08815358373195e-30,1,"Forest_disc_NLD50","sat"
7,108.6,0.0962,3.08815358373195e-30,1,"Forest_disc_NLD50","sat"
7,108.9,0.0887,3.08815358373195e-30,1,"Forest_disc_NLD50","sat"
7,115.6,0.1227,3.08815358373195e-30,1,"Forest_disc_NLD50","sat"
8,50,0.0342,6.68937021995059e-32,1,"Forest_disc_NLD50","sat"
8,74.5,0.7047,6.68937021995059e-32,1,"Forest_disc_NLD50","sat"
8,83.3,0.0508,6.68937021995059e-32,1,"Forest_disc_NLD50","sat"
8,92.9,0.0185,6.68937021995059e-32,1,"Forest_disc_NLD50","sat"
8,99,0.1918,6.68937021995059e-32,1,"Forest_disc_NLD50","sat"
9,54.3,0.1576,2.58932390553247e-33,1,"Forest_disc_NLD50","sat"
9,69.5,0.5236,2.58932390553247e-33,1,"Forest_disc_NLD50","sat"
9,84.8,0.3188,2.58932390553247e-33,1,"Forest_disc_NLD50","sat"
10,55.1,0.2531,7.96611051502792e-32,1,"Forest_disc_NLD50","sat"
10,85.5,0.4763,7.96611051502792e-32,1,"Forest_disc_NLD50","sat"
10,98.3,0.2282,7.96611051502792e-32,1,"Forest_disc_NLD50","sat"
10,116.6,0.0424,7.96611051502792e-32,1,"Forest_disc_NLD50","sat"
11,72.3,0.0975,1.6649987369603e-32,1,"Forest_disc_NLD50","sat"
11,90.9,0.585,1.6649987369603e-32,1,"Forest_disc_NLD50","sat"
11,110.7,0.3142,1.6649987369603e-32,1,"Forest_disc_NLD50","sat"
11,125,0.0033,1.6649987369603e-32,1,"Forest_disc_NLD50","sat"
12,47,0.0215,1.74226090626304e-33,1,"Forest_disc_NLD50","sat"
12,63.5,0.131,1.74226090626304e-33,1,"Forest_disc_NLD50","sat"
12,69.7,0.0037,1.74226090626304e-33,1,"Forest_disc_NLD50","sat"
12,74.4,0.0111,1.74226090626304e-33,1,"Forest_disc_NLD50","sat"
12,78.4,0.7172,1.74226090626304e-33,1,"Forest_disc_NLD50","sat"
12,84.1,0.0099,1.74226090626304e-33,1,"Forest_disc_NLD50","sat"
12,108.5,0.1055,1.74226090626304e-33,1,"Forest_disc_NLD50","sat"
13,55.7,0.1802,0,1,"Forest_disc_NLD50","sat"
