"var","Split","freq","opt_value","iter","forest","name"
1,43.5,0.0264,2.26339525125246e-24,1,"Forest_disc_25","sat"
1,65.8,0.4917,2.26339525125246e-24,1,"Forest_disc_25","sat"
1,84.5,0.4816,2.26339525125246e-24,1,"Forest_disc_25","sat"
2,34.5,0.0255,4.83183589890539e-24,1,"Forest_disc_25","sat"
2,71.8,0.5541,4.83183589890539e-24,1,"Forest_disc_25","sat"
2,104,0.4204,4.83183589890539e-24,1,"Forest_disc_25","sat"
3,66.5,0.0563,6.05492753695741e-23,1,"Forest_disc_25","sat"
3,89.1,0.6011,6.05492753695741e-23,1,"Forest_disc_25","sat"
3,112,0.3426,6.05492753695741e-23,1,"Forest_disc_25","sat"
4,53.5,0.0524,8.57156410900678e-23,1,"Forest_disc_25","sat"
4,73.5,0.6871,8.57156410900678e-23,1,"Forest_disc_25","sat"
4,93.6,0.2605,8.57156410900678e-23,1,"Forest_disc_25","sat"
5,44.5,0.0285,8.33306297400606e-23,1,"Forest_disc_25","sat"
5,64.8,0.5382,8.33306297400606e-23,1,"Forest_disc_25","sat"
5,84.4,0.4334,8.33306297400606e-23,1,"Forest_disc_25","sat"
6,41.5,0.042,1.21963301564636e-23,1,"Forest_disc_25","sat"
6,73,0.556,1.21963301564636e-23,1,"Forest_disc_25","sat"
6,104.3,0.402,1.21963301564636e-23,1,"Forest_disc_25","sat"
7,70,0.0558,1.74128630768806e-22,1,"Forest_disc_25","sat"
7,91.2,0.6526,1.74128630768806e-22,1,"Forest_disc_25","sat"
7,112.6,0.2918,1.74128630768806e-22,1,"Forest_disc_25","sat"
8,50,0.0364,1.66462867846146e-23,1,"Forest_disc_25","sat"
8,75.3,0.7583,1.66462867846146e-23,1,"Forest_disc_25","sat"
8,100.8,0.2053,1.66462867846146e-23,1,"Forest_disc_25","sat"
9,49.5,0.0623,2.65980350472179e-23,1,"Forest_disc_25","sat"
9,65.8,0.5121,2.65980350472179e-23,1,"Forest_disc_25","sat"
9,83.4,0.4257,2.65980350472179e-23,1,"Forest_disc_25","sat"
10,38.5,0.0504,1.7547479584943e-24,1,"Forest_disc_25","sat"
