"var","Split","freq","opt_value","iter","forest","name"
1,0.096,0.0938,2.79858802896733e-19,1,"Forest_disc_25","thyroid"
1,0.445,0.4784,2.79858802896733e-19,1,"Forest_disc_25","thyroid"
1,0.765,0.4278,2.79858802896733e-19,1,"Forest_disc_25","thyroid"
17,0.00306,0.3938,1.02404553526505e-17,1,"Forest_disc_25","thyroid"
17,0.00634,0.1969,1.02404553526505e-17,1,"Forest_disc_25","thyroid"
17,0.02069,0.384,1.02404553526505e-17,1,"Forest_disc_25","thyroid"
17,0.10827,0.0253,1.02404553526505e-17,1,"Forest_disc_25","thyroid"
18,0.00075,0.0306,1.3881072858475e-17,1,"Forest_disc_25","thyroid"
18,0.01489,0.7333,1.3881072858475e-17,1,"Forest_disc_25","thyroid"
18,0.02869,0.2362,1.3881072858475e-17,1,"Forest_disc_25","thyroid"
19,0.0428,0.2916,1.5666606636888e-16,1,"Forest_disc_25","thyroid"
19,0.0928,0.572,1.5666606636888e-16,1,"Forest_disc_25","thyroid"
19,0.1464,0.1364,1.5666606636888e-16,1,"Forest_disc_25","thyroid"
20,0.0515,0.044,4.38490355529477e-15,1,"Forest_disc_25","thyroid"
20,0.0941,0.7258,4.38490355529477e-15,1,"Forest_disc_25","thyroid"
20,0.1385,0.2305,4.38490355529477e-15,1,"Forest_disc_25","thyroid"
21,0.0179,0.065,4.8774614897499e-17,1,"Forest_disc_25","thyroid"
21,0.0715,0.7017,4.8774614897499e-17,1,"Forest_disc_25","thyroid"
21,0.1299,0.2331,4.8774614897499e-17,1,"Forest_disc_25","thyroid"
1,0.07,0.0776,2.32122662546867e-20,1,"Forest_disc_50","thyroid"
1,0.413,0.4919,2.32122662546867e-20,1,"Forest_disc_50","thyroid"
1,0.745,0.4304,2.32122662546867e-20,1,"Forest_disc_50","thyroid"
17,0.00327,0.2689,8.16817103645673e-15,1,"Forest_disc_50","thyroid"
17,0.0049,0.2689,8.16817103645673e-15,1,"Forest_disc_50","thyroid"
17,0.02069,0.4324,8.16817103645673e-15,1,"Forest_disc_50","thyroid"
17,0.09919,0.0299,8.16817103645673e-15,1,"Forest_disc_50","thyroid"
18,0.00075,0.0372,9.08538362070789e-18,1,"Forest_disc_50","thyroid"
18,0.01469,0.73,9.08538362070789e-18,1,"Forest_disc_50","thyroid"
18,0.0289,0.2328,9.08538362070789e-18,1,"Forest_disc_50","thyroid"
19,0.0412,0.2895,4.94179984217399e-18,1,"Forest_disc_50","thyroid"
19,0.0959,0.5843,4.94179984217399e-18,1,"Forest_disc_50","thyroid"
19,0.1563,0.1264,4.94179984217399e-18,1,"Forest_disc_50","thyroid"
20,0.039,0.0288,3.16235954368074e-15,1,"Forest_disc_50","thyroid"
20,0.0921,0.7674,3.16235954368074e-15,1,"Forest_disc_50","thyroid"
20,0.1416,0.2039,3.16235954368074e-15,1,"Forest_disc_50","thyroid"
21,0.00975,0.0579,4.70327781646074e-16,1,"Forest_disc_50","thyroid"
21,0.07536,0.7301,4.70327781646074e-16,1,"Forest_disc_50","thyroid"
21,0.13839,0.212,4.70327781646074e-16,1,"Forest_disc_50","thyroid"
1,0.081,0.076,1.86164023018515e-19,1,"Forest_disc_75","thyroid"
1,0.406,0.4978,1.86164023018515e-19,1,"Forest_disc_75","thyroid"
1,0.746,0.4262,1.86164023018515e-19,1,"Forest_disc_75","thyroid"
17,0.00312,0.6089,3.04512847961982e-19,1,"Forest_disc_75","thyroid"
17,0.03075,0.3805,3.04512847961982e-19,1,"Forest_disc_75","thyroid"
17,0.18675,0.0105,3.04512847961982e-19,1,"Forest_disc_75","thyroid"
18,0.00125,0.0258,1.72025909957178e-17,1,"Forest_disc_75","thyroid"
18,0.01485,0.7317,1.72025909957178e-17,1,"Forest_disc_75","thyroid"
18,0.02955,0.2425,1.72025909957178e-17,1,"Forest_disc_75","thyroid"
19,0.0271,0.1473,3.01281941046167e-16,1,"Forest_disc_75","thyroid"
