"var","Split","freq","opt_value","iter","forest","name"
1,30.5,0.1356,4.03500571972224e-24,1,"Forest_disc_25","vertebral"
1,49.4,0.6525,4.03500571972224e-24,1,"Forest_disc_25","vertebral"
1,75.7,0.2122,4.03500571972224e-24,1,"Forest_disc_25","vertebral"
2,7.17,0.1206,4.46692409194932e-23,1,"Forest_disc_25","vertebral"
2,15.48,0.6877,4.46692409194932e-23,1,"Forest_disc_25","vertebral"
2,26.52,0.1915,4.46692409194932e-23,1,"Forest_disc_25","vertebral"
3,17.3,0.0756,5.16903867408149e-25,1,"Forest_disc_25","vertebral"
3,42,0.7707,5.16903867408149e-25,1,"Forest_disc_25","vertebral"
3,76.7,0.1537,5.16903867408149e-25,1,"Forest_disc_25","vertebral"
4,18.1,0.0944,1.43427422111316e-23,1,"Forest_disc_25","vertebral"
4,33.9,0.714,1.43427422111316e-23,1,"Forest_disc_25","vertebral"
4,55.2,0.192,1.43427422111316e-23,1,"Forest_disc_25","vertebral"
5,93.9,0.054,9.53936278412248e-22,1,"Forest_disc_25","vertebral"
5,114.9,0.785,9.53936278412248e-22,1,"Forest_disc_25","vertebral"
5,134.1,0.161,9.53936278412248e-22,1,"Forest_disc_25","vertebral"
6,-7.084,0.053,2.41613701626695e-25,1,"Forest_disc_25","vertebral"
6,3.009,0.5709,2.41613701626695e-25,1,"Forest_disc_25","vertebral"
6,16.86,0.376,2.41613701626695e-25,1,"Forest_disc_25","vertebral"
1,28.5,0.0768,1.60334139205223e-23,1,"Forest_disc_50","vertebral"
1,49.3,0.6427,1.60334139205223e-23,1,"Forest_disc_50","vertebral"
1,72.9,0.2805,1.60334139205223e-23,1,"Forest_disc_50","vertebral"
2,-6.17,0.01,3.49116507145392e-24,1,"Forest_disc_50","vertebral"
2,12.53,0.5866,3.49116507145392e-24,1,"Forest_disc_50","vertebral"
2,23.26,0.4032,3.49116507145392e-24,1,"Forest_disc_50","vertebral"
3,16.5,0.0643,4.87466747210844e-25,1,"Forest_disc_50","vertebral"
3,39.1,0.7649,4.87466747210844e-25,1,"Forest_disc_50","vertebral"
3,71.7,0.1708,4.87466747210844e-25,1,"Forest_disc_50","vertebral"
4,16.4,0.0609,5.58102485138758e-25,1,"Forest_disc_50","vertebral"
4,34.3,0.7768,5.58102485138758e-25,1,"Forest_disc_50","vertebral"
4,56.5,0.1624,5.58102485138758e-25,1,"Forest_disc_50","vertebral"
5,94.8,0.042,2.10854463520447e-21,1,"Forest_disc_50","vertebral"
5,114.5,0.7489,2.10854463520447e-21,1,"Forest_disc_50","vertebral"
5,133,0.2091,2.10854463520447e-21,1,"Forest_disc_50","vertebral"
6,-8.694,0.0828,2.41352049615998e-26,1,"Forest_disc_50","vertebral"
6,8.404,0.7861,2.41352049615998e-26,1,"Forest_disc_50","vertebral"
6,30.546,0.1312,2.41352049615998e-26,1,"Forest_disc_50","vertebral"
1,31,0.088,2.04541261241345e-23,1,"Forest_disc_75","vertebral"
1,49.9,0.6079,2.04541261241345e-23,1,"Forest_disc_75","vertebral"
