"var","Split","freq","opt_value","iter","forest","name"
1,-2.224,0.0948,2.50647712660698e-23,1,"Forest_disc_25","wave"
1,-0.545,0.5716,2.50647712660698e-23,1,"Forest_disc_25","wave"
1,1.395,0.3335,2.50647712660698e-23,1,"Forest_disc_25","wave"
2,-2.053,0.0642,7.13990410000184e-23,1,"Forest_disc_25","wave"
2,-0.156,0.5988,7.13990410000184e-23,1,"Forest_disc_25","wave"
2,1.851,0.3371,7.13990410000184e-23,1,"Forest_disc_25","wave"
3,-3.422,0.0162,4.72908540755739e-23,1,"Forest_disc_25","wave"
3,-0.079,0.6391,4.72908540755739e-23,1,"Forest_disc_25","wave"
3,2.622,0.3444,4.72908540755739e-23,1,"Forest_disc_25","wave"
4,-2.237,0.0562,3.20940006145188e-23,1,"Forest_disc_25","wave"
4,0.298,0.6588,3.20940006145188e-23,1,"Forest_disc_25","wave"
4,3.287,0.2849,3.20940006145188e-23,1,"Forest_disc_25","wave"
5,-2.26,0.0584,4.52873251201329e-23,1,"Forest_disc_25","wave"
5,0.477,0.6728,4.52873251201329e-23,1,"Forest_disc_25","wave"
5,4.004,0.2689,4.52873251201329e-23,1,"Forest_disc_25","wave"
6,-0.226,0.3195,4.4082208904066e-23,1,"Forest_disc_25","wave"
6,2.25,0.5086,4.4082208904066e-23,1,"Forest_disc_25","wave"
6,5.449,0.1718,4.4082208904066e-23,1,"Forest_disc_25","wave"
7,-1.583,0.0584,2.18557238340322e-23,1,"Forest_disc_25","wave"
7,1.718,0.6436,2.18557238340322e-23,1,"Forest_disc_25","wave"
7,5.768,0.2979,2.18557238340322e-23,1,"Forest_disc_25","wave"
8,-0.317,0.182,1.59429598994324e-22,1,"Forest_disc_25","wave"
8,2.521,0.5471,1.59429598994324e-22,1,"Forest_disc_25","wave"
8,5.048,0.2709,1.59429598994324e-22,1,"Forest_disc_25","wave"
9,-1.507,0.0616,1.22216738051985e-23,1,"Forest_disc_25","wave"
9,1.603,0.4969,1.22216738051985e-23,1,"Forest_disc_25","wave"
9,4.429,0.4416,1.22216738051985e-23,1,"Forest_disc_25","wave"
10,-0.988,0.051,4.22729852832744e-22,1,"Forest_disc_25","wave"
10,2.103,0.6799,4.22729852832744e-22,1,"Forest_disc_25","wave"
10,5.213,0.2694,4.22729852832744e-22,1,"Forest_disc_25","wave"
11,-0.27,0.043,4.55026761154783e-22,1,"Forest_disc_25","wave"
11,2.478,0.748,4.55026761154783e-22,1,"Forest_disc_25","wave"
11,5.949,0.2091,4.55026761154783e-22,1,"Forest_disc_25","wave"
12,1.054,0.3777,7.24729227503208e-22,1,"Forest_disc_25","wave"
12,3.73,0.5796,7.24729227503208e-22,1,"Forest_disc_25","wave"
12,6.949,0.0427,7.24729227503208e-22,1,"Forest_disc_25","wave"
13,-1.994,0.033,1.89271014331143e-22,1,"Forest_disc_25","wave"
13,1.333,0.513,1.89271014331143e-22,1,"Forest_disc_25","wave"
13,4.407,0.4542,1.89271014331143e-22,1,"Forest_disc_25","wave"
14,-2.031,0.0496,2.86124520098514e-24,1,"Forest_disc_25","wave"
14,1.665,0.5594,2.86124520098514e-24,1,"Forest_disc_25","wave"
14,5.027,0.3911,2.86124520098514e-24,1,"Forest_disc_25","wave"
15,-1.869,0.0498,4.56801428866781e-23,1,"Forest_disc_25","wave"
15,1.645,0.6501,4.56801428866781e-23,1,"Forest_disc_25","wave"
15,5.578,0.3001,4.56801428866781e-23,1,"Forest_disc_25","wave"
16,-2.261,0.0448,4.37637666110531e-23,1,"Forest_disc_25","wave"
16,0.991,0.6504,4.37637666110531e-23,1,"Forest_disc_25","wave"
16,4.849,0.3047,4.37637666110531e-23,1,"Forest_disc_25","wave"
17,-2.867,0.0354,2.88572805616299e-23,1,"Forest_disc_25","wave"
17,0.432,0.672,2.88572805616299e-23,1,"Forest_disc_25","wave"
17,3.94,0.2925,2.88572805616299e-23,1,"Forest_disc_25","wave"
18,-2.158,0.072,2.48638115219466e-24,1,"Forest_disc_25","wave"
18,0.341,0.68,2.48638115219466e-24,1,"Forest_disc_25","wave"
18,3.511,0.248,2.48638115219466e-24,1,"Forest_disc_25","wave"
19,-2.727,0.0268,5.38930097180789e-24,1,"Forest_disc_25","wave"
19,-0.054,0.6744,5.38930097180789e-24,1,"Forest_disc_25","wave"
19,2.428,0.2989,5.38930097180789e-24,1,"Forest_disc_25","wave"
20,-2.626,0.038,1.37484910249405e-23,1,"Forest_disc_25","wave"
20,-0.331,0.6101,1.37484910249405e-23,1,"Forest_disc_25","wave"
20,1.954,0.3518,1.37484910249405e-23,1,"Forest_disc_25","wave"
21,-2.527,0.0624,1.6153992738162e-23,1,"Forest_disc_25","wave"
21,-0.623,0.6093,1.6153992738162e-23,1,"Forest_disc_25","wave"
21,1.35,0.3284,1.6153992738162e-23,1,"Forest_disc_25","wave"
1,-2.491,0.0604,2.0486289074466e-23,1,"Forest_disc_50","wave"
1,-0.663,0.5949,2.0486289074466e-23,1,"Forest_disc_50","wave"
1,1.276,0.3448,2.0486289074466e-23,1,"Forest_disc_50","wave"
2,-1.204,0.2816,1.49981699257154e-23,1,"Forest_disc_50","wave"
2,0.764,0.5956,1.49981699257154e-23,1,"Forest_disc_50","wave"
2,2.463,0.1229,1.49981699257154e-23,1,"Forest_disc_50","wave"
3,-3.475,0.0168,2.7625735800243e-23,1,"Forest_disc_50","wave"
3,-0.129,0.6412,2.7625735800243e-23,1,"Forest_disc_50","wave"
3,2.452,0.3419,2.7625735800243e-23,1,"Forest_disc_50","wave"
4,-2.039,0.0528,1.36948720377206e-23,1,"Forest_disc_50","wave"
4,0.422,0.6706,1.36948720377206e-23,1,"Forest_disc_50","wave"
4,3.31,0.2767,1.36948720377206e-23,1,"Forest_disc_50","wave"
5,-1.592,0.1098,5.91125793050473e-23,1,"Forest_disc_50","wave"
5,0.691,0.6478,5.91125793050473e-23,1,"Forest_disc_50","wave"
5,4.221,0.2424,5.91125793050473e-23,1,"Forest_disc_50","wave"
6,-2.46,0.0322,1.64543550829897e-23,1,"Forest_disc_50","wave"
6,0.968,0.6832,1.64543550829897e-23,1,"Forest_disc_50","wave"
6,4.708,0.2846,1.64543550829897e-23,1,"Forest_disc_50","wave"
7,-2.684,0.0266,1.69207719062971e-23,1,"Forest_disc_50","wave"
7,1.378,0.6545,1.69207719062971e-23,1,"Forest_disc_50","wave"
7,5.617,0.3185,1.69207719062971e-23,1,"Forest_disc_50","wave"
8,-1.644,0.0485,6.47925453659416e-24,1,"Forest_disc_50","wave"
8,1.691,0.5715,6.47925453659416e-24,1,"Forest_disc_50","wave"
8,4.886,0.3802,6.47925453659416e-24,1,"Forest_disc_50","wave"
9,-1.981,0.0336,4.58782140864044e-22,1,"Forest_disc_50","wave"
9,1.38,0.4913,4.58782140864044e-22,1,"Forest_disc_50","wave"
9,4.36,0.4751,4.58782140864044e-22,1,"Forest_disc_50","wave"
10,-1.207,0.0378,4.58260451303e-23,1,"Forest_disc_50","wave"
10,1.995,0.6873,4.58260451303e-23,1,"Forest_disc_50","wave"
10,5.244,0.2751,4.58260451303e-23,1,"Forest_disc_50","wave"
11,-0.827,0.0259,4.57319300758415e-22,1,"Forest_disc_50","wave"
11,2.405,0.754,4.57319300758415e-22,1,"Forest_disc_50","wave"
11,5.812,0.2199,4.57319300758415e-22,1,"Forest_disc_50","wave"
12,-0.716,0.0504,1.56800413033037e-24,1,"Forest_disc_50","wave"
12,2.249,0.7,1.56800413033037e-24,1,"Forest_disc_50","wave"
12,5.452,0.2493,1.56800413033037e-24,1,"Forest_disc_50","wave"
13,-1.882,0.042,7.68738810205635e-24,1,"Forest_disc_50","wave"
13,1.348,0.4986,7.68738810205635e-24,1,"Forest_disc_50","wave"
13,4.477,0.4594,7.68738810205635e-24,1,"Forest_disc_50","wave"
14,-1.516,0.0634,9.72740037261123e-24,1,"Forest_disc_50","wave"
14,1.827,0.5921,9.72740037261123e-24,1,"Forest_disc_50","wave"
14,5.119,0.3445,9.72740037261123e-24,1,"Forest_disc_50","wave"
15,-2.291,0.0455,1.35485118174731e-24,1,"Forest_disc_50","wave"
15,1.431,0.6707,1.35485118174731e-24,1,"Forest_disc_50","wave"
15,5.659,0.2837,1.35485118174731e-24,1,"Forest_disc_50","wave"
16,-2.009,0.0477,2.15517412335732e-24,1,"Forest_disc_50","wave"
16,0.956,0.7105,2.15517412335732e-24,1,"Forest_disc_50","wave"
16,4.595,0.2417,2.15517412335732e-24,1,"Forest_disc_50","wave"
17,-2.422,0.051,1.98809121794452e-24,1,"Forest_disc_50","wave"
17,0.541,0.6631,1.98809121794452e-24,1,"Forest_disc_50","wave"
17,3.893,0.286,1.98809121794452e-24,1,"Forest_disc_50","wave"
18,-2.778,0.0318,5.79577482547978e-24,1,"Forest_disc_50","wave"
18,0.328,0.7077,5.79577482547978e-24,1,"Forest_disc_50","wave"
18,3.382,0.2605,5.79577482547978e-24,1,"Forest_disc_50","wave"
19,-2.591,0.0368,1.38843539555997e-23,1,"Forest_disc_50","wave"
19,-0.094,0.6572,1.38843539555997e-23,1,"Forest_disc_50","wave"
19,2.493,0.3063,1.38843539555997e-23,1,"Forest_disc_50","wave"
20,-2.443,0.0414,4.64616802979507e-24,1,"Forest_disc_50","wave"
20,-0.18,0.6503,4.64616802979507e-24,1,"Forest_disc_50","wave"
20,2.025,0.3082,4.64616802979507e-24,1,"Forest_disc_50","wave"
21,-2.998,0.0354,4.83854395895033e-24,1,"Forest_disc_50","wave"
21,-0.705,0.6073,4.83854395895033e-24,1,"Forest_disc_50","wave"
21,1.359,0.357,4.83854395895033e-24,1,"Forest_disc_50","wave"
1,-2.419,0.0702,1.87524195926614e-23,1,"Forest_disc_75","wave"
1,-0.693,0.5904,1.87524195926614e-23,1,"Forest_disc_75","wave"
1,1.235,0.3394,1.87524195926614e-23,1,"Forest_disc_75","wave"
2,-2.333,0.0432,2.32234366570619e-23,1,"Forest_disc_75","wave"
2,-0.265,0.597,2.32234366570619e-23,1,"Forest_disc_75","wave"
2,1.815,0.3598,2.32234366570619e-23,1,"Forest_disc_75","wave"
3,-3.217,0.0187,5.34679228925635e-24,1,"Forest_disc_75","wave"
3,-0.079,0.6467,5.34679228925635e-24,1,"Forest_disc_75","wave"
3,2.563,0.3346,5.34679228925635e-24,1,"Forest_disc_75","wave"
4,-1.933,0.0672,3.27556705040591e-24,1,"Forest_disc_75","wave"
4,0.424,0.6473,3.27556705040591e-24,1,"Forest_disc_75","wave"
4,3.277,0.2855,3.27556705040591e-24,1,"Forest_disc_75","wave"
5,-2.068,0.068,2.72057244837665e-23,1,"Forest_disc_75","wave"
5,0.486,0.6945,2.72057244837665e-23,1,"Forest_disc_75","wave"
5,4.046,0.2377,2.72057244837665e-23,1,"Forest_disc_75","wave"
6,-1.973,0.0455,2.78377965406845e-23,1,"Forest_disc_75","wave"
6,1.113,0.6739,2.78377965406845e-23,1,"Forest_disc_75","wave"
6,4.886,0.2809,2.78377965406845e-23,1,"Forest_disc_75","wave"
7,0.207,0.35,2.86863974499943e-23,1,"Forest_disc_75","wave"
7,3.183,0.499,2.86863974499943e-23,1,"Forest_disc_75","wave"
7,6.444,0.1511,2.86863974499943e-23,1,"Forest_disc_75","wave"
8,-1.787,0.0432,2.69270090925171e-22,1,"Forest_disc_75","wave"
8,1.633,0.5611,2.69270090925171e-22,1,"Forest_disc_75","wave"
8,4.856,0.3957,2.69270090925171e-22,1,"Forest_disc_75","wave"
9,-1.976,0.0408,4.32198792972369e-22,1,"Forest_disc_75","wave"
9,1.328,0.477,4.32198792972369e-22,1,"Forest_disc_75","wave"
9,4.374,0.4819,4.32198792972369e-22,1,"Forest_disc_75","wave"
10,-1.5,0.0252,6.20961963854283e-22,1,"Forest_disc_75","wave"
10,2.002,0.674,6.20961963854283e-22,1,"Forest_disc_75","wave"
10,4.989,0.3006,6.20961963854283e-22,1,"Forest_disc_75","wave"
11,-0.661,0.0318,5.67974002638774e-25,1,"Forest_disc_75","wave"
11,2.476,0.758,5.67974002638774e-25,1,"Forest_disc_75","wave"
11,6.024,0.21,5.67974002638774e-25,1,"Forest_disc_75","wave"
12,0.34,0.1682,2.53869972067415e-22,1,"Forest_disc_75","wave"
12,2.691,0.6592,2.53869972067415e-22,1,"Forest_disc_75","wave"
12,5.616,0.1726,2.53869972067415e-22,1,"Forest_disc_75","wave"
13,-1.632,0.0471,7.46881226630098e-24,1,"Forest_disc_75","wave"
13,1.437,0.5042,7.46881226630098e-24,1,"Forest_disc_75","wave"
13,4.501,0.4486,7.46881226630098e-24,1,"Forest_disc_75","wave"
14,-2.568,0.0306,1.78561105645483e-23,1,"Forest_disc_75","wave"
