"accuracy","macroPrecision","macroRecall","macroF1","kappa","kappa_w","data","class_method","inconsistency","disc_method","NB_interval","exe_time","iter","modif_nb_inter","name","exetimepervar"
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,1,NA,"wdbc",0
0.947368421052632,0.948137108792847,0.939106308411215,0.94326267281106,0.886562983710474,0.886562983710474,"test","RF",0,"cont",NA,0,1,NA,"wdbc",0
0.959798994974874,0.953273998728544,0.962486486486486,0.95742404792469,0.914884516680924,0.914884516680924,"train","CART",0,"cont",NA,0,1,NA,"wdbc",0
0.964912280701754,0.962543808411215,0.962543808411215,0.962543808411215,0.92508761682243,0.92508761682243,"test","CART",0,"cont",NA,0,1,NA,"wdbc",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,1,NA,"wdbc",0
0.941520467836257,0.935497835497835,0.94071261682243,0.937953555878084,0.875925119721376,0.875925119721376,"test","Boosting",0,"cont",NA,0,1,NA,"wdbc",0
0.989949748743719,0.992125984251969,0.986486486486487,0.989182430963253,0.97836721382759,0.97836721382759,"train","SVM",0,"cont",NA,0,1,NA,"wdbc",0
0.982456140350877,0.986363636363636,0.9765625,0.981087557603687,0.962187661236825,0.962187661236825,"test","SVM",0,"cont",NA,0,1,NA,"wdbc",0
0.934673366834171,0.934911406423034,0.924567567567568,0.929270559930009,0.858602973327503,0.858602973327503,"train","NaiveBayes",0,"cont",NA,0,1,NA,"wdbc",0
0.95906432748538,0.964739709443099,0.948452102803738,0.955562980287337,0.9112083673318,0.9112083673318,"test","NaiveBayes",0,"cont",NA,0,1,NA,"wdbc",0
0.989949748743719,0.992125984251969,0.986486486486487,0.989182430963253,0.97836721382759,0.97836721382759,"train","KNN_Class",0,"cont",NA,0,1,NA,"wdbc",0
0.994152046783626,0.99537037037037,0.9921875,0.993737410730635,0.987475280158207,0.987475280158207,"test","KNN_Class",0,"cont",NA,0,1,NA,"wdbc",0
