"accuracy","macroPrecision","macroRecall","macroF1","kappa","kappa_w","data","class_method","inconsistency","disc_method","NB_interval","exe_time","iter","modif_nb_inter","name","exetimepervar"
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,1,NA,"wine",0
0.981132075471698,0.977777777777778,0.984126984126984,0.980375665825624,0.971428571428571,0.977702986958351,"test","RF",0,"cont",NA,0,1,NA,"wine",0
0.952,0.951851851851852,0.96,0.953695718762517,0.927578215527231,0.943870678042209,"train","CART",0,"cont",NA,0,1,NA,"wine",0
0.849056603773585,0.842606516290727,0.849206349206349,0.844360902255639,0.771305285868393,0.822296730930428,"test","CART",0,"cont",NA,0,1,NA,"wine",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,1,NA,"wine",0
0.924528301886792,0.93691389599318,0.923280423280423,0.928779862113195,0.884657236126224,0.908225108225108,"test","Boosting",0,"cont",NA,0,1,NA,"wine",0
1,1,1,1,1,1,"train","SVM",0,"cont",NA,0,1,NA,"wine",0
0.981132075471698,0.977777777777778,0.984126984126984,0.980375665825624,0.971428571428571,0.977702986958351,"test","SVM",0,"cont",NA,0,1,NA,"wine",0
0.976,0.977404295051354,0.977073170731707,0.976934758693261,0.963542679370017,0.971257760404691,"train","NaiveBayes",0,"cont",NA,0,1,NA,"wine",0
0.943396226415094,0.941666666666667,0.94973544973545,0.943863724351529,0.914470145239376,0.933333333333333,"test","NaiveBayes",0,"cont",NA,0,1,NA,"wine",0
0.984,0.982539682539682,0.986666666666667,0.98435029678014,0.975758751090856,0.981026108075288,"train","KNN_Class",0,"cont",NA,0,1,NA,"wine",0
0.981132075471698,0.982456140350877,0.984126984126984,0.982860909690178,0.971366828741221,0.977627691008864,"test","KNN_Class",0,"cont",NA,0,1,NA,"wine",0
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,2,NA,"wine",0
1,1,1,1,1,1,"test","RF",0,"cont",NA,0,2,NA,"wine",0
0.896,0.912865497076023,0.890329985652798,0.898715692653496,0.8406394037462,0.872238383520717,"train","CART",0,"cont",NA,0,2,NA,"wine",0
0.792452830188679,0.865079365079365,0.772486772486772,0.793140807047457,0.676290949472515,0.729967577582214,"test","CART",0,"cont",NA,0,2,NA,"wine",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,2,NA,"wine",0
0.981132075471698,0.984848484848485,0.976190476190476,0.979902383003158,0.971211298207496,0.977223893425011,"test","Boosting",0,"cont",NA,0,2,NA,"wine",0
1,1,1,1,1,1,"train","SVM",0,"cont",NA,0,2,NA,"wine",0
0.981132075471698,0.984848484848485,0.981481481481482,0.982724252491694,0.971273712737127,0.977301927194861,"test","SVM",0,"cont",NA,0,2,NA,"wine",0
0.992,0.990476190476191,0.993333333333333,0.9918020787586,0.987868788819876,0.990481991928729,"train","NaiveBayes",0,"cont",NA,0,2,NA,"wine",0
0.981132075471698,0.984848484848485,0.981481481481482,0.982724252491694,0.971273712737127,0.977301927194861,"test","NaiveBayes",0,"cont",NA,0,2,NA,"wine",0
0.992,0.992063492063492,0.993333333333333,0.992616932375968,0.987860541905409,0.990471834743502,"train","KNN_Class",0,"cont",NA,0,2,NA,"wine",0
1,1,1,1,1,1,"test","KNN_Class",0,"cont",NA,0,2,NA,"wine",0
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,3,NA,"wine",0
1,1,1,1,1,1,"test","RF",0,"cont",NA,0,3,NA,"wine",0
0.944,0.945284041375085,0.950406504065041,0.947304575498211,0.915229606665375,0.933807398441637,"train","CART",0,"cont",NA,0,3,NA,"wine",0
0.981132075471698,0.984848484848485,0.976190476190476,0.979902383003158,0.971211298207496,0.977223893425011,"test","CART",0,"cont",NA,0,3,NA,"wine",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,3,NA,"wine",0
0.981132075471698,0.984848484848485,0.976190476190476,0.979902383003158,0.971211298207496,0.977223893425011,"test","Boosting",0,"cont",NA,0,3,NA,"wine",0
1,1,1,1,1,1,"train","SVM",0,"cont",NA,0,3,NA,"wine",0
0.981132075471698,0.984848484848485,0.976190476190476,0.979902383003158,0.971211298207496,0.977223893425011,"test","SVM",0,"cont",NA,0,3,NA,"wine",0
0.976,0.977404295051354,0.977073170731707,0.976934758693261,0.963542679370017,0.971257760404691,"train","NaiveBayes",0,"cont",NA,0,3,NA,"wine",0
1,1,1,1,1,1,"test","NaiveBayes",0,"cont",NA,0,3,NA,"wine",0
0.984,0.982539682539682,0.986666666666667,0.98435029678014,0.975758751090856,0.981026108075288,"train","KNN_Class",0,"cont",NA,0,3,NA,"wine",0
1,1,1,1,1,1,"test","KNN_Class",0,"cont",NA,0,3,NA,"wine",0
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,4,NA,"wine",0
0.981132075471698,0.977777777777778,0.984126984126984,0.980375665825624,0.971428571428571,0.977702986958351,"test","RF",0,"cont",NA,0,4,NA,"wine",0
0.904,0.92640880776474,0.892185557149689,0.903109490148895,0.852333136444182,0.870939560003177,"train","CART",0,"cont",NA,0,4,NA,"wine",0
0.773584905660377,0.840613026819923,0.756613756613757,0.776829161176987,0.647450110864745,0.707720588235294,"test","CART",0,"cont",NA,0,4,NA,"wine",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,4,NA,"wine",0
0.943396226415094,0.941979949874687,0.944444444444444,0.942791223279028,0.914100486223663,0.932883073026594,"test","Boosting",0,"cont",NA,0,4,NA,"wine",0
1,1,1,1,1,1,"train","SVM",0,"cont",NA,0,4,NA,"wine",0
0.962264150943396,0.961904761904762,0.965608465608466,0.963108921729611,0.942764578833693,0.955084745762712,"test","SVM",0,"cont",NA,0,4,NA,"wine",0
0.984,0.983809523809524,0.98520325203252,0.984387189121489,0.975716367168528,0.980901451489687,"train","NaiveBayes",0,"cont",NA,0,4,NA,"wine",0
0.943396226415094,0.947474747474747,0.947089947089947,0.945642090035694,0.914007571660357,0.93213828425096,"test","NaiveBayes",0,"cont",NA,0,4,NA,"wine",0
0.984,0.982539682539682,0.986666666666667,0.98435029678014,0.975758751090856,0.981026108075288,"train","KNN_Class",0,"cont",NA,0,4,NA,"wine",0
1,1,1,1,1,1,"test","KNN_Class",0,"cont",NA,0,4,NA,"wine",0
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,5,NA,"wine",0
0.981132075471698,0.982456140350877,0.984126984126984,0.982860909690178,0.971366828741221,0.977627691008864,"test","RF",0,"cont",NA,0,5,NA,"wine",0
0.928,0.92750433506736,0.929124820659971,0.928237012220003,0.890744877148684,0.914246512691516,"train","CART",0,"cont",NA,0,5,NA,"wine",0
0.886792452830189,0.89573268921095,0.878306878306878,0.884744884744885,0.826608505997819,0.861859252823632,"test","CART",0,"cont",NA,0,5,NA,"wine",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,5,NA,"wine",0
0.962264150943396,0.966666666666667,0.968253968253968,0.965789473684211,0.942826321467098,0.955574182732607,"test","Boosting",0,"cont",NA,0,5,NA,"wine",0
1,1,1,1,1,1,"train","SVM",0,"cont",NA,0,5,NA,"wine",0
1,1,1,1,1,1,"test","SVM",0,"cont",NA,0,5,NA,"wine",0
0.968,0.968148148148148,0.970406504065041,0.968809523809524,0.951465734808775,0.961843711843712,"train","NaiveBayes",0,"cont",NA,0,5,NA,"wine",0
1,1,1,1,1,1,"test","NaiveBayes",0,"cont",NA,0,5,NA,"wine",0
0.992,0.990476190476191,0.993333333333333,0.9918020787586,0.987868788819876,0.990481991928729,"train","KNN_Class",0,"cont",NA,0,5,NA,"wine",0
0.962264150943396,0.966666666666667,0.968253968253968,0.965789473684211,0.942826321467098,0.955574182732607,"test","KNN_Class",0,"cont",NA,0,5,NA,"wine",0
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,6,NA,"wine",0
0.981132075471698,0.977777777777778,0.984126984126984,0.980375665825624,0.971428571428571,0.977702986958351,"test","RF",0,"cont",NA,0,6,NA,"wine",0
0.968,0.971245421245421,0.968943089430894,0.969438958852666,0.951347669553372,0.961550292217779,"train","CART",0,"cont",NA,0,6,NA,"wine",0
0.886792452830189,0.886480908152735,0.899470899470899,0.889170506912442,0.829581993569132,0.86804979253112,"test","CART",0,"cont",NA,0,6,NA,"wine",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,6,NA,"wine",0
0.924528301886792,0.925146198830409,0.933862433862434,0.928145386766076,0.885898815931109,0.911445279866333,"test","Boosting",0,"cont",NA,0,6,NA,"wine",0
1,1,1,1,1,1,"train","SVM",0,"cont",NA,0,6,NA,"wine",0
0.962264150943396,0.961904761904762,0.965608465608466,0.963108921729611,0.942764578833693,0.955084745762712,"test","SVM",0,"cont",NA,0,6,NA,"wine",0
1,1,1,1,1,1,"train","NaiveBayes",0,"cont",NA,0,6,NA,"wine",0
0.962264150943396,0.961904761904762,0.965608465608466,0.963108921729611,0.942764578833693,0.955084745762712,"test","NaiveBayes",0,"cont",NA,0,6,NA,"wine",0
0.976,0.974972314507198,0.98,0.976923295838581,0.963669831428018,0.971631742189273,"train","KNN_Class",0,"cont",NA,0,6,NA,"wine",0
1,1,1,1,1,1,"test","KNN_Class",0,"cont",NA,0,6,NA,"wine",0
1,1,1,1,1,1,"train","RF",0,"cont",NA,0,7,NA,"wine",0
0.981132075471698,0.977777777777778,0.984126984126984,0.980375665825624,0.971428571428571,0.977702986958351,"test","RF",0,"cont",NA,0,7,NA,"wine",0
0.952,0.964285714285714,0.949545671927308,0.954511929448567,0.926664711058962,0.941424554826617,"train","CART",0,"cont",NA,0,7,NA,"wine",0
0.867924528301887,0.875505050505051,0.878306878306878,0.875418651823199,0.799351000540833,0.841655996585574,"test","CART",0,"cont",NA,0,7,NA,"wine",0
1,1,1,1,1,1,"train","Boosting",0,"cont",NA,0,7,NA,"wine",0
0.924528301886792,0.93015873015873,0.936507936507937,0.927777002187166,0.886266094420601,0.912685337726524,"test","Boosting",0,"cont",NA,0,7,NA,"wine",0
1,1,1,1,1,1,"train","SVM",0,"cont",NA,0,7,NA,"wine",0
0.981132075471698,0.984848484848485,0.976190476190476,0.979902383003158,0.971211298207496,0.977223893425011,"test","SVM",0,"cont",NA,0,7,NA,"wine",0
0.984,0.982539682539682,0.986666666666667,0.98435029678014,0.975758751090856,0.981026108075288,"train","NaiveBayes",0,"cont",NA,0,7,NA,"wine",0
0.981132075471698,0.977777777777778,0.984126984126984,0.980375665825624,0.971428571428571,0.977702986958351,"test","NaiveBayes",0,"cont",NA,0,7,NA,"wine",0
0.984,0.982539682539682,0.986666666666667,0.98435029678014,0.975758751090856,0.981026108075288,"train","KNN_Class",0,"cont",NA,0,7,NA,"wine",0
0.981132075471698,0.982456140350877,0.984126984126984,0.982860909690178,0.971366828741221,0.977627691008864,"test","KNN_Class",0,"cont",NA,0,7,NA,"wine",0
