"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
1,2,2.39768909959255e-15,13,12.4,NA,NA,NA,NA,NA,NA,NA,NA,0.7025,0.2975,NA,NA,NA,NA,NA,NA,NA,NA,2.39768909959255e-15,2,1,"Forest_disc_25","wine"
1,3,1.2153079509125e-15,13.1,12.7,12.3,NA,NA,NA,NA,NA,NA,NA,0.5589,0.2696,0.1715,NA,NA,NA,NA,NA,NA,NA,1.2153079509125e-14,3,1,"Forest_disc_25","wine"
1,4,1.06288285960945e-15,13.1,12.7,12.3,12.3,NA,NA,NA,NA,NA,NA,0.5822,0.2895,0.0642,0.0642,NA,NA,NA,NA,NA,NA,1.06288285960945e-14,3,1,"Forest_disc_25","wine"
1,5,1.01748149501305e-15,13.1,12.6,12.2,12.2,12.2,NA,NA,NA,NA,NA,0.5963,0.3001,0.0345,0.0345,0.0345,NA,NA,NA,NA,NA,1.01748149501305e-14,3,1,"Forest_disc_25","wine"
1,6,9.9303964028705e-16,13.1,12.6,12.2,12.2,12.2,12.2,NA,NA,NA,NA,0.6039,0.3073,0.0222,0.0222,0.0222,0.0222,NA,NA,NA,NA,9.9303964028705e-15,3,1,"Forest_disc_25","wine"
1,7,9.78453120531802e-16,13.1,12.6,12.2,12.2,12.2,12.2,12.2,NA,NA,NA,0.6085,0.312,0.0159,0.0159,0.0159,0.0159,0.0159,NA,NA,NA,9.78453120531802e-15,3,1,"Forest_disc_25","wine"
1,8,9.75822123675684e-16,13.1,12.6,12.2,12.2,12.2,12.2,12.2,12.2,NA,NA,0.6122,0.3146,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,NA,NA,9.75822123675684e-15,3,1,"Forest_disc_25","wine"
1,9,9.75967952661425e-16,13.1,12.6,12.2,12.2,12.2,12.2,12.2,12.2,12.2,NA,0.615,0.3164,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,NA,9.75967952661425e-15,3,1,"Forest_disc_25","wine"
1,10,9.75550311148471e-16,13.1,12.6,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,0.6171,0.3177,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,9.75550311148471e-15,3,1,"Forest_disc_25","wine"
2,2,2.52773303251379e-07,3.23,1.47,NA,NA,NA,NA,NA,NA,NA,NA,0.5179,0.4821,NA,NA,NA,NA,NA,NA,NA,NA,2.52773303251379e-07,2,1,"Forest_disc_25","wine"
2,3,6.63449786154931e-19,3.41,2.35,1.21,NA,NA,NA,NA,NA,NA,NA,0.3526,0.3473,0.3001,NA,NA,NA,NA,NA,NA,NA,6.6344978615493e-18,3,1,"Forest_disc_25","wine"
2,4,1.27354701197747e-17,2.41,3.42,1.23,1.23,NA,NA,NA,NA,NA,NA,0.3515,0.337,0.1557,0.1557,NA,NA,NA,NA,NA,NA,1.27354701197747e-16,3,1,"Forest_disc_25","wine"
2,5,3.53317783381883e-17,2.51,3.46,1.25,1.25,1.25,NA,NA,NA,NA,NA,0.3655,0.3054,0.1097,0.1097,0.1097,NA,NA,NA,NA,NA,3.53317783381883e-16,3,1,"Forest_disc_25","wine"
2,6,3.12963279874853e-22,2.51,3.46,1.25,1.25,1.25,1.25,NA,NA,NA,NA,0.3663,0.3039,0.0824,0.0824,0.0824,0.0824,NA,NA,NA,NA,3.12963279874853e-21,3,1,"Forest_disc_25","wine"
2,7,1.14752283601145e-17,2.5,3.46,1.25,1.25,1.25,1.25,1.25,NA,NA,NA,0.3652,0.3061,0.0657,0.0657,0.0657,0.0657,0.0657,NA,NA,NA,1.14752283601145e-16,3,1,"Forest_disc_25","wine"
2,8,4.22323907625266e-20,2.48,3.45,1.24,1.24,1.24,1.24,1.24,1.24,NA,NA,0.3613,0.3136,0.0542,0.0542,0.0542,0.0542,0.0542,0.0542,NA,NA,4.22323907625266e-19,3,1,"Forest_disc_25","wine"
2,9,1.31757163190545e-17,2.47,3.44,1.24,1.24,1.24,1.24,1.24,1.24,1.24,NA,0.3594,0.3177,0.0461,0.0461,0.0461,0.0461,0.0461,0.0461,0.0461,NA,1.31757163190545e-16,3,1,"Forest_disc_25","wine"
2,10,5.19695422594793e-18,2.48,3.45,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,0.3607,0.3149,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,0.0405,5.19695422594793e-17,3,1,"Forest_disc_25","wine"
3,2,1.79395637458899e-11,2.57,2.09,NA,NA,NA,NA,NA,NA,NA,NA,0.5744,0.4256,NA,NA,NA,NA,NA,NA,NA,NA,1.79395637458899e-11,2,1,"Forest_disc_25","wine"
3,3,2.54122654254597e-12,2.61,2.06,2.4,NA,NA,NA,NA,NA,NA,NA,0.4097,0.3527,0.2376,NA,NA,NA,NA,NA,NA,NA,2.54122654254597e-11,3,1,"Forest_disc_25","wine"
3,4,1.25783071335856e-11,2.59,2.09,2.09,2.48,NA,NA,NA,NA,NA,NA,0.4471,0.2046,0.2046,0.1437,NA,NA,NA,NA,NA,NA,1.25783071335856e-10,3,1,"Forest_disc_25","wine"
3,5,9.8643644019561e-12,2.59,2.47,2.08,2.08,2.08,NA,NA,NA,NA,NA,0.4141,0.1864,0.1332,0.1332,0.1332,NA,NA,NA,NA,NA,9.8643644019561e-11,3,1,"Forest_disc_25","wine"
3,6,8.72550442323583e-18,2.6,2.03,2.31,2.31,2.31,2.31,NA,NA,NA,NA,0.4429,0.2686,0.0721,0.0721,0.0721,0.0721,NA,NA,NA,NA,8.72550442323583e-17,3,1,"Forest_disc_25","wine"
3,7,1.37843912199378e-14,2.61,2.34,2.04,2.04,2.04,2.04,2.04,NA,NA,NA,0.4211,0.2865,0.0586,0.0585,0.0584,0.0584,0.0584,NA,NA,NA,1.37843912199378e-13,3,1,"Forest_disc_25","wine"
3,8,2.97269690002262e-13,2.6,2.29,2.03,2.03,2.03,2.03,2.03,2.03,NA,NA,0.4702,0.2665,0.0439,0.0439,0.0439,0.0439,0.0439,0.0439,NA,NA,2.97269690002262e-12,3,1,"Forest_disc_25","wine"
3,9,3.69441143952233e-14,2.6,2.28,2.02,2.02,2.02,2.02,2.02,2.02,2.02,NA,0.4695,0.288,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,0.0346,NA,3.69441143952233e-13,3,1,"Forest_disc_25","wine"
3,10,9.40599324014804e-14,2.59,2.26,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,0.4835,0.2959,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,9.40599324014804e-13,3,1,"Forest_disc_25","wine"
4,2,1.67729822985525e-09,17.7,24.2,NA,NA,NA,NA,NA,NA,NA,NA,0.6379,0.3621,NA,NA,NA,NA,NA,NA,NA,NA,1.67729822985525e-09,2,1,"Forest_disc_25","wine"
4,3,1.59921122012549e-19,19.4,25.2,15.8,NA,NA,NA,NA,NA,NA,NA,0.5712,0.2333,0.1954,NA,NA,NA,NA,NA,NA,NA,1.59921122012549e-18,3,1,"Forest_disc_25","wine"
4,4,1.56600043394195e-19,19.4,25.2,15.7,15.7,NA,NA,NA,NA,NA,NA,0.5734,0.2342,0.0962,0.0962,NA,NA,NA,NA,NA,NA,1.56600043394195e-18,3,1,"Forest_disc_25","wine"
4,5,1.5368259100723e-19,19.4,25.1,15.7,15.7,15.7,NA,NA,NA,NA,NA,0.5753,0.2351,0.0632,0.0632,0.0632,NA,NA,NA,NA,NA,1.5368259100723e-18,3,1,"Forest_disc_25","wine"
