"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest","name"
1,2,7.68414411767043e-10,-44.4,-57.3,NA,NA,NA,NA,NA,NA,NA,NA,0.569,0.431,NA,NA,NA,NA,NA,NA,NA,NA,7.68414411767043e-10,2,1,"Forest_disc_25","wireless"
1,3,2.36740619694295e-21,-54.2,-42.4,-69.5,NA,NA,NA,NA,NA,NA,NA,0.588,0.3889,0.0231,NA,NA,NA,NA,NA,NA,NA,2.36740619694295e-20,3,1,"Forest_disc_25","wireless"
1,4,2.36820937992068e-21,-54.2,-42.4,-69.5,-69.5,NA,NA,NA,NA,NA,NA,0.588,0.3889,0.0116,0.0116,NA,NA,NA,NA,NA,NA,2.36820937992068e-20,3,1,"Forest_disc_25","wireless"
1,5,2.62124790327877e-21,-54.2,-42.4,-69.5,-69.5,-69.5,NA,NA,NA,NA,NA,0.5879,0.3891,0.0077,0.0077,0.0077,NA,NA,NA,NA,NA,2.62124790327877e-20,3,1,"Forest_disc_25","wireless"
1,6,9.67776448580875e-22,-54.2,-42.4,-69.5,-69.5,-69.5,-69.5,NA,NA,NA,NA,0.5879,0.3891,0.0057,0.0057,0.0057,0.0057,NA,NA,NA,NA,9.67776448580875e-21,3,1,"Forest_disc_25","wireless"
1,7,2.63930344787138e-21,-54.2,-42.4,-69.5,-69.5,-69.5,-69.5,-69.5,NA,NA,NA,0.5879,0.3891,0.0046,0.0046,0.0046,0.0046,0.0046,NA,NA,NA,2.63930344787138e-20,3,1,"Forest_disc_25","wireless"
1,8,2.44464733163949e-21,-54.2,-42.4,-69.5,-69.5,-69.5,-69.5,-69.5,-69.5,NA,NA,0.5879,0.3892,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,NA,NA,2.44464733163949e-20,3,1,"Forest_disc_25","wireless"
1,9,2.60360340330408e-21,-54.2,-42.4,-69.5,-69.5,-69.5,-69.5,-69.5,-69.5,-69.5,NA,0.5879,0.3891,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,NA,2.60360340330408e-20,3,1,"Forest_disc_25","wireless"
1,10,2.59232896146308e-23,-54.2,-42.4,-69.5,-69.5,-69.5,-69.5,-69.5,-69.5,-69.5,-69.5,0.5879,0.3892,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,0.0029,2.59232896146308e-22,3,1,"Forest_disc_25","wireless"
2,2,1.42462331173971e-11,-52.2,-59.9,NA,NA,NA,NA,NA,NA,NA,NA,0.5889,0.4111,NA,NA,NA,NA,NA,NA,NA,NA,1.42462331173971e-11,2,1,"Forest_disc_25","wireless"
2,3,1.11450954864371e-20,-57.2,-50.7,-65.5,NA,NA,NA,NA,NA,NA,NA,0.6187,0.3358,0.0455,NA,NA,NA,NA,NA,NA,NA,1.11450954864371e-19,3,1,"Forest_disc_25","wireless"
2,4,4.43688801942716e-20,-57.2,-50.7,-65.5,-65.5,NA,NA,NA,NA,NA,NA,0.6186,0.3361,0.0227,0.0227,NA,NA,NA,NA,NA,NA,4.43688801942716e-19,3,1,"Forest_disc_25","wireless"
2,5,3.48318403654727e-19,-57.2,-50.7,-65.5,-65.5,-65.5,NA,NA,NA,NA,NA,0.6189,0.3355,0.0152,0.0152,0.0152,NA,NA,NA,NA,NA,3.48318403654727e-18,3,1,"Forest_disc_25","wireless"
2,6,1.66219582189355e-20,-57.2,-50.7,-65.5,-65.5,-65.5,-65.5,NA,NA,NA,NA,0.6185,0.3362,0.0113,0.0113,0.0113,0.0113,NA,NA,NA,NA,1.66219582189355e-19,3,1,"Forest_disc_25","wireless"
2,7,9.8561065924061e-20,-57.2,-50.7,-65.5,-65.5,-65.5,-65.5,-65.5,NA,NA,NA,0.6185,0.3361,0.0091,0.0091,0.0091,0.0091,0.0091,NA,NA,NA,9.8561065924061e-19,3,1,"Forest_disc_25","wireless"
2,8,7.16145148827569e-20,-57.2,-50.7,-65.5,-65.5,-65.5,-65.5,-65.5,-65.5,NA,NA,0.6185,0.3363,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,NA,NA,7.16145148827569e-19,3,1,"Forest_disc_25","wireless"
2,9,7.22942823311096e-20,-57.2,-50.7,-65.5,-65.5,-65.5,-65.5,-65.5,-65.5,-65.5,NA,0.6185,0.3362,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,0.0065,NA,7.22942823311096e-19,3,1,"Forest_disc_25","wireless"
2,10,1.50139842974966e-19,-57.2,-50.7,-65.5,-65.5,-65.5,-65.5,-65.5,-65.5,-65.5,-65.5,0.6185,0.3362,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,0.0057,1.50139842974966e-18,3,1,"Forest_disc_25","wireless"
3,2,1.95202085067475e-11,-51.2,-57.7,NA,NA,NA,NA,NA,NA,NA,NA,0.5709,0.4291,NA,NA,NA,NA,NA,NA,NA,NA,1.95202085067475e-11,2,1,"Forest_disc_25","wireless"
3,3,5.15582951097211e-20,-55.4,-48.9,-66.5,NA,NA,NA,NA,NA,NA,NA,0.739,0.2428,0.0182,NA,NA,NA,NA,NA,NA,NA,5.15582951097211e-19,3,1,"Forest_disc_25","wireless"
3,4,1.38193265902998e-20,-55.4,-48.9,-66.5,-66.5,NA,NA,NA,NA,NA,NA,0.7389,0.2429,0.0091,0.0091,NA,NA,NA,NA,NA,NA,1.38193265902998e-19,3,1,"Forest_disc_25","wireless"
