"accuracy","macroPrecision","macroRecall","macroF1","kappa","kappa_w","data","class_method","inconsistency","disc_method","NB_interval","exe_time","iter","modif_nb_inter","name","exetimepervar"
1,1,1,1,1,1,"train","RF",0.0146443514644351,"cont",NA,0,1,NA,"wisconsin",0
0.975609756097561,0.974721463107,0.971647869674185,0.973154186637333,0.94630977947724,0.94630977947724,"test","RF",0.0146341463414634,"cont",NA,0,1,NA,"wisconsin",0
0.968619246861925,0.964900153609831,0.96618017983326,0.965534645612517,0.931069622565325,0.931069622565325,"train","CART",0.0146443514644351,"cont",NA,0,1,NA,"wisconsin",0
0.951219512195122,0.952393731215114,0.940110693400167,0.945767195767196,0.891580283477893,0.891580283477893,"test","CART",0.0146341463414634,"cont",NA,0,1,NA,"wisconsin",0
1,1,1,1,1,1,"train","Boosting",0.0146443514644351,"cont",NA,0,1,NA,"wisconsin",0
0.95609756097561,0.953174269497582,0.950240183792815,0.951677535947199,0.903357603059033,0.903357603059033,"test","Boosting",0.0146341463414634,"cont",NA,0,1,NA,"wisconsin",0
0.972803347280335,0.969489247311828,0.970781908851108,0.970130026197515,0.940260339556615,0.940260339556615,"train","SVM",0.0146443514644351,"cont",NA,0,1,NA,"wisconsin",0
0.975609756097561,0.971876297218763,0.974832915622389,0.973324658425504,0.946650705251653,0.946650705251653,"test","SVM",0.0146341463414634,"cont",NA,0,1,NA,"wisconsin",0
0.9581589958159,0.949321470803536,0.960914184492751,0.954590363277094,0.909223844882922,0.909223844882922,"train","NaiveBayes",0.0146443514644351,"cont",NA,0,1,NA,"wisconsin",0
0.980487804878049,0.973684210526316,0.984962406015038,0.978852898700227,0.957723241905547,0.957723241905547,"test","NaiveBayes",0.0146341463414634,"cont",NA,0,1,NA,"wisconsin",0
0.98744769874477,0.986194812946454,0.986194812946454,0.986194812946454,0.972389625892909,0.972389625892909,"train","KNN_Class",0.0146443514644351,"cont",NA,0,1,NA,"wisconsin",0
0.980487804878049,0.9759129358366,0.981777360066834,0.978725612287256,0.957455639721905,0.957455639721905,"test","KNN_Class",0.0146341463414634,"cont",NA,0,1,NA,"wisconsin",0
1,1,1,1,1,1,"train","RF",0.0271966527196653,"cont",NA,0,2,NA,"wisconsin",0
0.970731707317073,0.963229294165647,0.974258563074353,0.96827934805034,0.936584862858321,0.936584862858321,"test","RF",0.0146341463414634,"cont",NA,0,2,NA,"wisconsin",0
0.976987447698745,0.971842225262198,0.978156227737451,0.974861710723216,0.949729429986424,0.949729429986424,"train","CART",0.0271966527196653,"cont",NA,0,2,NA,"wisconsin",0
0.941463414634146,0.930496668685645,0.945332080200501,0.936923076923077,0.873962496157393,0.873962496157393,"test","CART",0.0146341463414634,"cont",NA,0,2,NA,"wisconsin",0
1,1,1,1,1,1,"train","Boosting",0.0271966527196653,"cont",NA,0,2,NA,"wisconsin",0
0.951219512195122,0.942319461444308,0.952850877192982,0.947132246750567,0.894308104763869,0.894308104763869,"test","Boosting",0.0146341463414634,"cont",NA,0,2,NA,"wisconsin",0
0.981171548117155,0.978667434715822,0.979985366886805,0.97932078736751,0.958641773539195,0.958641773539195,"train","SVM",0.0271966527196653,"cont",NA,0,2,NA,"wisconsin",0
0.965853658536585,0.955696202531646,0.973684210526316,0.963307678539467,0.926707186271005,0.926707186271005,"test","SVM",0.0146341463414634,"cont",NA,0,2,NA,"wisconsin",0
0.964435146443515,0.95644566526189,0.9671236305524,0.961352427244494,0.922734620138823,0.922734620138823,"train","NaiveBayes",0.0271966527196653,"cont",NA,0,2,NA,"wisconsin",0
0.946341463414634,0.933734939759036,0.958646616541353,0.942947501581278,0.886243252787166,0.886243252787166,"test","NaiveBayes",0.0146341463414634,"cont",NA,0,2,NA,"wisconsin",0
0.98744769874477,0.986194812946454,0.986194812946454,0.986194812946454,0.972389625892909,0.972389625892909,"train","KNN_Class",0.0271966527196653,"cont",NA,0,2,NA,"wisconsin",0
0.985365853658537,0.98,0.988721804511278,0.984092496314115,0.968192397207137,0.968192397207137,"test","KNN_Class",0.0146341463414634,"cont",NA,0,2,NA,"wisconsin",0
1,1,1,1,1,1,"train","RF",0.0188284518828452,"cont",NA,0,3,NA,"wisconsin",0
0.965853658536585,0.957132711038961,0.970499164578112,0.96310010542827,0.926247622963458,0.926247622963458,"test","RF",0.0195121951219512,"cont",NA,0,3,NA,"wisconsin",0
0.96652719665272,0.957549373143252,0.971503937462695,0.963763858618402,0.927577129221038,0.927577129221038,"train","CART",0.0188284518828452,"cont",NA,0,3,NA,"wisconsin",0
0.946341463414634,0.935101466747036,0.952276524644946,0.942340637704876,0.884825578425864,0.884825578425864,"test","CART",0.0195121951219512,"cont",NA,0,3,NA,"wisconsin",0
1,1,1,1,1,1,"train","Boosting",0.0188284518828452,"cont",NA,0,3,NA,"wisconsin",0
0.960975609756098,0.951191197254189,0.966739766081871,0.957948717948718,0.915974997438262,0.915974997438262,"test","Boosting",0.0195121951219512,"cont",NA,0,3,NA,"wisconsin",0
0.976987447698745,0.974078341013825,0.975383637868957,0.974725406782513,0.949451056547905,0.949451056547905,"train","SVM",0.0188284518828452,"cont",NA,0,3,NA,"wisconsin",0
0.975609756097561,0.96948717948718,0.978017961570593,0.973487493856858,0.946987328678562,0.946987328678562,"test","SVM",0.0195121951219512,"cont",NA,0,3,NA,"wisconsin",0
0.964435146443515,0.955674157303371,0.968509925486647,0.961450698545981,0.922945627643233,0.922945627643233,"train","NaiveBayes",0.0188284518828452,"cont",NA,0,3,NA,"wisconsin",0
0.960975609756098,0.951191197254189,0.966739766081871,0.957948717948718,0.915974997438262,0.915974997438262,"test","NaiveBayes",0.0195121951219512,"cont",NA,0,3,NA,"wisconsin",0
0.98326359832636,0.981593083928606,0.981593083928606,0.981593083928606,0.963186167857212,0.963186167857212,"train","KNN_Class",0.0188284518828452,"cont",NA,0,3,NA,"wisconsin",0
0.980487804878049,0.9759129358366,0.981777360066834,0.978725612287256,0.957455639721905,0.957455639721905,"test","KNN_Class",0.0195121951219512,"cont",NA,0,3,NA,"wisconsin",0
1,1,1,1,1,1,"train","RF",0.0188284518828452,"cont",NA,0,4,NA,"wisconsin",0
0.975609756097561,0.978047740835465,0.968462823725982,0.972975823248702,0.945964468343086,0.945964468343086,"test","RF",0.0195121951219512,"cont",NA,0,4,NA,"wisconsin",0
0.96234309623431,0.961067289901646,0.955811848970869,0.958350275922161,0.916707003039749,0.916707003039749,"train","CART",0.0188284518828452,"cont",NA,0,4,NA,"wisconsin",0
0.951219512195122,0.956071506431219,0.936925647451963,0.945385763000853,0.890876184392633,0.890876184392633,"test","CART",0.0195121951219512,"cont",NA,0,4,NA,"wisconsin",0
1,1,1,1,1,1,"train","Boosting",0.0188284518828452,"cont",NA,0,4,NA,"wisconsin",0
0.975609756097561,0.978047740835465,0.968462823725982,0.972975823248702,0.945964468343086,0.945964468343086,"test","Boosting",0.0195121951219512,"cont",NA,0,4,NA,"wisconsin",0
0.97489539748954,0.969070406519473,0.97654851069565,0.972612681436211,0.945234776298956,0.945234776298956,"train","SVM",0.0188284518828452,"cont",NA,0,4,NA,"wisconsin",0
0.980487804878049,0.981746031746032,0.975407268170426,0.978452806390582,0.95691014188124,0.95691014188124,"test","SVM",0.0195121951219512,"cont",NA,0,4,NA,"wisconsin",0
0.96234309623431,0.952434101605372,0.968288503379094,0.959335299455536,0.918745868353952,0.918745868353952,"train","NaiveBayes",0.0188284518828452,"cont",NA,0,4,NA,"wisconsin",0
0.965853658536585,0.961239103362391,0.964129072681704,0.962654521795706,0.925310987352313,0.925310987352313,"test","NaiveBayes",0.0195121951219512,"cont",NA,0,4,NA,"wisconsin",0
0.97489539748954,0.972389625892909,0.972389625892909,0.972389625892909,0.944779251785818,0.944779251785818,"train","KNN_Class",0.0188284518828452,"cont",NA,0,4,NA,"wisconsin",0
0.995121951219512,0.993150684931507,0.996240601503759,0.994664931685101,0.98933014105033,0.98933014105033,"test","KNN_Class",0.0195121951219512,"cont",NA,0,4,NA,"wisconsin",0
1,1,1,1,1,1,"train","RF",0.0209205020920502,"cont",NA,0,5,NA,"wisconsin",0
0.975609756097561,0.967532467532467,0.981203007518797,0.973642932448764,0.947319730688184,0.947319730688184,"test","RF",0.0048780487804878,"cont",NA,0,5,NA,"wisconsin",0
0.9581589958159,0.953982709821515,0.953982709821515,0.953982709821515,0.907965419643029,0.907965419643029,"train","CART",0.0209205020920502,"cont",NA,0,5,NA,"wisconsin",0
0.917073170731707,0.906410256410256,0.913794903926483,0.909857479113318,0.819756917507112,0.819756917507112,"test","CART",0.0048780487804878,"cont",NA,0,5,NA,"wisconsin",0
1,1,1,1,1,1,"train","Boosting",0.0209205020920502,"cont",NA,0,5,NA,"wisconsin",0
0.95609756097561,0.945398834639341,0.962980367585631,0.952824158122171,0.905766382348434,0.905766382348434,"test","Boosting",0.0048780487804878,"cont",NA,0,5,NA,"wisconsin",0
0.97907949790795,0.976991354910757,0.976991354910757,0.976991354910757,0.953982709821515,0.953982709821515,"train","SVM",0.0209205020920502,"cont",NA,0,5,NA,"wisconsin",0
0.970731707317073,0.963229294165647,0.974258563074353,0.96827934805034,0.936584862858321,0.936584862858321,"test","SVM",0.0048780487804878,"cont",NA,0,5,NA,"wisconsin",0
0.960251046025105,0.951198501872659,0.963908196468799,0.956915486610214,0.913880407365966,0.913880407365966,"train","NaiveBayes",0.0209205020920502,"cont",NA,0,5,NA,"wisconsin",0
0.960975609756098,0.951191197254189,0.966739766081871,0.957948717948718,0.915974997438262,0.915974997438262,"test","NaiveBayes",0.0048780487804878,"cont",NA,0,5,NA,"wisconsin",0
0.97907949790795,0.975776028800674,0.978377649845005,0.977054531490015,0.954109944125497,0.954109944125497,"train","KNN_Class",0.0209205020920502,"cont",NA,0,5,NA,"wisconsin",0
0.980487804878049,0.97859231411863,0.97859231411863,0.97859231411863,0.95718462823726,0.95718462823726,"test","KNN_Class",0.0048780487804878,"cont",NA,0,5,NA,"wisconsin",0
1,1,1,1,1,1,"train","RF",0.0167364016736402,"cont",NA,0,6,NA,"wisconsin",0
0.975609756097561,0.96948717948718,0.978017961570593,0.973487493856858,0.946987328678562,0.946987328678562,"test","RF",0.00975609756097561,"cont",NA,0,6,NA,"wisconsin",0
0.964435146443515,0.957293557168784,0.965737335618153,0.961252175571609,0.922522453805229,0.922522453805229,"train","CART",0.0167364016736402,"cont",NA,0,6,NA,"wisconsin",0
0.960975609756098,0.95,0.969924812030075,0.958180334557324,0.916496945010183,0.916496945010183,"test","CART",0.00975609756097561,"cont",NA,0,6,NA,"wisconsin",0
1,1,1,1,1,1,"train","Boosting",0.0167364016736402,"cont",NA,0,6,NA,"wisconsin",0
0.960975609756098,0.952774377804978,0.963554720133667,0.957705797400454,0.915446483811095,0.915446483811095,"test","Boosting",0.00975609756097561,"cont",NA,0,6,NA,"wisconsin",0
0.97489539748954,0.970093529154047,0.975162215761403,0.972539782845982,0.94508377213978,0.94508377213978,"train","SVM",0.0167364016736402,"cont",NA,0,6,NA,"wisconsin",0
0.975609756097561,0.96948717948718,0.978017961570593,0.973487493856858,0.946987328678562,0.946987328678562,"test","SVM",0.00975609756097561,"cont",NA,0,6,NA,"wisconsin",0
0.964435146443515,0.95644566526189,0.9671236305524,0.961352427244494,0.922734620138823,0.922734620138823,"train","NaiveBayes",0.0167364016736402,"cont",NA,0,6,NA,"wisconsin",0
0.960975609756098,0.951191197254189,0.966739766081871,0.957948717948718,0.915974997438262,0.915974997438262,"test","NaiveBayes",0.00975609756097561,"cont",NA,0,6,NA,"wisconsin",0
0.97907949790795,0.975776028800674,0.978377649845005,0.977054531490015,0.954109944125497,0.954109944125497,"train","KNN_Class",0.0167364016736402,"cont",NA,0,6,NA,"wisconsin",0
0.980487804878049,0.97859231411863,0.97859231411863,0.97859231411863,0.95718462823726,0.95718462823726,"test","KNN_Class",0.00975609756097561,"cont",NA,0,6,NA,"wisconsin",0
1,1,1,1,1,1,"train","RF",0.0146443514644351,"cont",NA,0,7,NA,"wisconsin",0
0.980487804878049,0.9759129358366,0.981777360066834,0.978725612287256,0.957455639721905,0.957455639721905,"test","RF",0.0048780487804878,"cont",NA,0,7,NA,"wisconsin",0
0.951882845188284,0.944596443228454,0.95054585363036,0.94743812242127,0.894888808153431,0.894888808153431,"train","CART",0.0146443514644351,"cont",NA,0,7,NA,"wisconsin",0
0.951219512195122,0.942319461444308,0.952850877192982,0.947132246750567,0.894308104763869,0.894308104763869,"test","CART",0.0048780487804878,"cont",NA,0,7,NA,"wisconsin",0
1,1,1,1,1,1,"train","Boosting",0.0146443514644351,"cont",NA,0,7,NA,"wisconsin",0
0.965853658536585,0.961239103362391,0.964129072681704,0.962654521795706,0.925310987352313,0.925310987352313,"test","Boosting",0.0048780487804878,"cont",NA,0,7,NA,"wisconsin",0
